model,RMSE,MAE,DM_stat,mean_loss_diff
lags_only,1.2867496389907445,0.6477144167722784,,
lags+network,1.2809182858588295,0.6336816714563348,,
DM base_vs_net,,,2.0479287371594346,0.01497297839528956
