exchange_rate,cpi,central_bank_rate,private_credit,CIPI_ALL
0.03548106697310369,6.540660144010711e-05,0.025519864818643632,0.02011081722230052,0.9188228443845121
0.09334357530417399,0.00016998668692156253,0.023694879197974417,0.020204362480505555,0.8625871963304246
0.09428852170188225,0.0009976781356658363,0.020712982973336555,0.017576486433443263,0.8664243307556723
0.10789371013207283,0.0009848955440414024,0.020256294001796165,0.017797718007229592,0.8530673823148601
0.10793566493901645,0.0011323531791820156,0.019894866626316603,0.017458891769652953,0.853578223485832
0.10976859427339643,0.001129827573752574,0.01984036733221097,0.017556926123659507,0.8517042846969806
0.10982711767009613,0.0011416051054520212,0.019798643199078113,0.01750929456246258,0.8517233394629113
0.11003432756204552,0.0011413076924015524,0.0197933947386042,0.017529510118231426,0.8515014598887174
0.11005502924785768,0.0011423846520685927,0.019787499718440706,0.01752276111732874,0.8514923252643043
0.11007595554982551,0.0011423719739089093,0.0197870578526126,0.017525669107531786,0.8514689455161212
0.11008126679306511,0.0011425217071495423,0.01978613366442679,0.017524800406902286,0.8514652774284563
0.11008311990315242,0.0011425191311380334,0.019786093912415932,0.017525143069093068,0.8514631239842007
0.11008425520046727,0.0011425438283079966,0.019785954006289578,0.017525042101015752,0.8514622048639195
0.11008437458703804,0.0011425431903028702,0.019785948308255617,0.01752507759354998,0.8514620563208536
0.11008458885159011,0.0011425469209232235,0.01978592840270285,0.017525067246073004,0.851461868578711
0.11008458820181259,0.0011425468957937997,0.019785927215227195,0.017525070333996196,0.8514618673531704
0.11008462497729285,0.0011425473894535654,0.019785924537246223,0.017525069544583372,0.8514618335514242
0.11008462297434123,0.0011425474090398762,0.019785924276954386,0.01752506969271952,0.8514618356469452
0.1100846288211572,0.0011425474682319823,0.019785923934119338,0.01752506969199939,0.8514618300844923
0.11008462837636065,0.001142547475088089,0.019785923880078604,0.017525069669904046,0.8514618305985688
0.11008462924729177,0.0011425474817308848,0.01978592383828078,0.017525069686465406,0.8514618297462314
0.11008462917958499,0.0011425474833116922,0.019785923827758907,0.017525069677320086,0.8514618298320247
0.1100846293018099,0.0011425474840095807,0.019785923822926824,0.017525069681881802,0.8514618297093721
0.11008462929422837,0.001142547484322449,0.019785923820996826,0.017525069679834762,0.8514618297206179
