exchange_rate,cpi,central_bank_rate,private_credit,CIPI_ALL
0.0,0.0,0.0,0.0,1.0
18.16922652555275,-0.1097397543872846,0.6267240895428484,-2.15436310979058,0.2082412201963957
-2.9801834787264365,0.8992787590030753,-1.4739507576434006,-4.988457508442866,-0.41730134199901187
-10.246564427007405,-0.4136670882357995,-0.858468894058286,1.7192326166255076,-0.0958533225357768
0.9977480363790074,-0.2925451099828712,1.0959396869512705,2.7051262539127254,0.15705291543844224
4.08640166599452,0.1945182104408282,0.41704588354313077,-1.178442983242248,0.026141722747103656
-0.5060247961905754,0.0472125937920119,-0.5061447271567509,-1.0048513672452801,-0.058706239250142324
-1.506397526788224,-0.05532551619975649,-0.11610116609277688,0.5996733682068738,-0.003969597805512273
0.2886141002477107,-0.00316021847613579,0.2036810668654066,0.3086744448865282,0.021872087674137574
0.5347644293364942,0.01250058436651166,0.019739364616573673,-0.25793327831626245,-0.0008093908282278423
-0.15543852510897363,-0.00016840844567438812,-0.07623848384272276,-0.08527872545961057,-0.008075297594443642
-0.18486491555650053,-0.0031715739689666695,0.0010480459139424088,0.10260261455545763,0.0011205076235129092
0.07642052669417486,-4.866893150010272e-05,0.027789115070743824,0.021553761601154575,0.0029342849085109493
0.062005686822017896,0.0011775088866217889,-0.003091518165778283,-0.039782978318764164,-0.0007072483156083585
-0.034921610872728,1.0024997416493552e-05,-0.010049578443819946,-0.004490398093806589,-0.0010427657417870233
-0.020002800009721773,-0.0005127507031153493,0.0020764648522234954,0.01530400537815758,0.000366291919619537
0.015127214668139377,4.3245515466949964e-05,0.0035990928123804927,0.0003246102666186997,0.00036004709689562515
0.0061077150827920194,0.00020927527587063014,-0.0011128990282012435,-0.0058203390233331825,-0.00017250729146772793
-0.00629834029599974,-4.215674261728598e-05,-0.0012616149269164662,0.00041525126628703794,-0.0001198515171676795
-0.001709634334667678,-7.716733908750363e-05,0.0005394505777809673,0.002168925534440131,7.654751705756011e-05
0.002541586352470759,2.5103709834524716e-05,0.0004275381540810343,-0.0003633017262792862,3.8031980000699435e-05
0.00040515264130194627,2.63830546973507e-05,-0.0002449320090434539,-0.0007870066534426204,-3.2529764097092415e-05
-0.0009984965806974508,-1.2191655231738229e-05,-0.0001384664453430664,0.000212930823040499,-1.127542862067791e-05
-5.841576420802347e-05,-8.605479399302295e-06,0.00010586587029910583,0.0002771639125218806,1.3358315313462494e-05
0.00038271925618392824,5.378889777391781e-06,4.220387877649612e-05,-0.00010699766577523071,2.988943445744045e-06
