,AGG,BRICK,CEM,CLAY,DIESEL,IRON,LABOUR,LIME,PAINT,PIPES,SAND,STEEL,TILES,TIMBER
AGG,47.14230379563151,4.232242327831848,22.613453511615766,1.3603907497974541,3.1741785420804622,2.2680772274786327,1.4914740714615837,1.4980487814388137,8.180940150173177,0.4304533799386029,1.7780374032640707,1.5161503856861756,2.2233883652672484,2.0908613083346506
BRICK,3.2564577757790127,72.66440297557585,3.7813955324061723,0.5050316700605078,5.672985873894331,0.4200723181632703,1.5489068241245638,2.3267796987222136,1.9432970945554153,0.2663035643145029,2.742788754084125,1.5903237882003634,1.9775445191509027,1.303709610968775
CEM,1.9157946208886736,3.1592528222337846,70.49745196370033,0.5701581889045378,2.635649129973901,1.9047567103592604,2.2740519917171467,0.6627006733142884,6.453623411988617,0.3038501333125819,4.178548358607878,0.4401957417678305,0.5940837055494905,4.409882547681686
CLAY,2.5440414854558453,0.5398034908367618,1.893646950313195,84.94325952118041,0.557023688723213,1.7277009596807238,0.8953317790348587,0.2550195403693835,0.9989310850038761,1.2703517335765897,0.5596637742451063,1.8322161875883585,1.14674081982123,0.8362689841704556
DIESEL,2.4357901464158354,1.3949368817301557,12.699069780507912,2.679173144738366,67.59297430790424,1.6453117323697661,0.9673358391823159,0.5491404708832637,0.5764385388329368,0.8369532328008173,0.9683792454717495,4.227174316924514,3.2853254007062063,0.14199696153191715
IRON,4.7850124592232035,1.3865540147443516,7.948633619614287,0.6580568221537986,6.138121994346697,60.166958175531946,2.6780257933601788,0.8711417532233772,0.9260676161440667,2.070964979509721,2.48260839727762,6.090972699290922,3.6307597940654945,0.16612188151435023
LABOUR,4.816092570504956,2.504268505357304,10.601111555649318,0.8515251550489902,11.247227904938747,1.6991788253956994,60.0271255464611,0.6002180948499027,0.9825634433603955,1.2598382171654785,1.2959542030851592,1.0510074441689623,0.4562305610767593,2.6076579729372193
LIME,1.7800819155995775,10.467720628409198,36.9806912724071,0.3502258985530254,1.9977268532057033,2.3420759645964444,3.3711862438080207,31.53372081382328,5.197835606462858,0.7282863123520885,0.6973796983626953,0.46101951957096743,0.7472028500208799,3.344846422828143
PAINT,3.5343557320369263,4.332227813448583,27.497595661278595,2.2933142124906096,2.870480606134471,6.0150413086328856,2.538349129822238,2.5639084111391384,35.41352256201194,0.5781540606650121,2.6568551731239607,6.409589560659248,1.6820358818545877,1.6145698867018137
PIPES,2.342169943913275,1.365734569097262,0.8256437747093457,0.42427267141330205,0.7489464502488686,1.4193717900852891,3.1097767919178447,2.491207401977679,4.665891652520402,80.69483118216297,0.2116702151307551,1.4138067247953623,0.18552201793060827,0.10115481409703792
SAND,6.760600419228502,5.547351294524998,10.99687110173929,0.44587892821347636,6.368901297479758,5.124797672600217,2.9231077722624126,3.6666106356051538,9.05293874464119,2.432719791354991,41.78057728829867,1.6879940999032468,2.0900175769998555,1.1216333771482336
STEEL,13.023523131038539,4.926575268370243,11.750847119990945,2.0473912120806523,5.3823085831714375,1.3735984121390912,4.228379272357395,1.713475608368973,4.018187746851655,2.417225422384022,3.276003187206269,43.18350351615885,1.9391390428169768,0.7198424770649557
TILES,1.6970873031011413,0.23122686615597454,2.479994017592796,30.954355924246986,1.882565213855869,1.4854092231977545,1.2018828465772204,0.5886565606614913,1.1421602557767359,1.420125341923769,1.124367107777644,4.54897856105783,50.28583694641928,0.9573538316555134
TIMBER,1.2146554622859302,0.8245472756730482,2.7219781199373845,2.7957753859473535,2.659856544198449,3.3382704507899588,1.7795700398028462,13.343291295977789,3.056809161457486,5.739365340708431,1.9492471088687755,3.350991886945932,0.920089982949617,56.305551944457
