"Date","Year","Quarter","FY","QFY","Month","GDP_FCE_CP","GDP_FCE_GOV_CP","GDP_FCE_NPISH_CP","GDP_FCE_HH_CP","GDP_GFCF_CP","GDP_GFCF_PUB_CP","GDP_GFCF_PRV_CP","GDP_GFCF_CON_DW_CP","GDP_GFCF_CON_DW_PUB_CP","GDP_GFCF_CON_DW_PRV_CP","GDP_GFCF_CON_OB_CP","GDP_GFCF_CON_OB_PUB_CP","GDP_GFCF_CON_OB_PRV_CP","GDP_GFCF_CON_OS_CP","GDP_GFCF_CON_OS_PUB_CP","GDP_GFCF_CON_OS_PRV_CP","GDP_GFCF_TRA_CP","GDP_GFCF_TRA_PUB_CP","GDP_GFCF_TRA_PRV_CP","GDP_GFCF_ICT_CP","GDP_GFCF_ICT_PUB_CP","GDP_GFCF_ICT_PRV_CP","GDP_GFCF_OMA_CP","GDP_GFCF_OMA_PUB_CP","GDP_GFCF_OMA_PRV_CP","GDP_GFCF_BR_CP","GDP_GFCF_BR_PUB_CP","GDP_GFCF_BR_PRV_CP","GDP_GFCF_RD_CP","GDP_GFCF_RD_PUB_CP","GDP_GFCF_RD_PRV_CP","GDP_GFCF_MPE_CP","GDP_GFCF_MPE_PUB_CP","GDP_GFCF_MPE_PRV_CP","GDP_CINV_CP","GDP_ALDV_CP","GDP_TB_CP","GDP_EX_CP","GDP_EX_G_CP","GDP_EX_S_CP","GDP_IM_CP","GDP_IM_G_CP","GDP_IM_S_CP","GDP_SD_CP","GDP_CP"
2009-07-01,2009,"Q3","2009/10","Q1","July",45719.1134551223,4477.36512942945,2506.30416797162,38884.299811432,12573.2278584768,2672.94682979889,11748.7656350303,136.011812541825,0,136.011812541825,2260.12252006719,385.569990587346,1874.55252947985,3976.7854214189,1002.75892791008,2974.02649350882,1195.96507656336,20.1775714979617,1175.7875050654,609.043155757965,0,609.043155757965,4977.59716534634,834.682862511481,4142.91430283485,329.169748720327,0,329.169748720327,819.117190325868,429.757477292021,389.359713033847,117.900374087398,0,117.900374087398,243.43196802072,2.76858800496819,-5747.40437309813,7481.42880707112,6688.81628436707,1406.45117631219,13228.8331801692,15060.2769184498,1227.10863277376,1177.24852045508,54117.2416706925
2010-07-01,2010,"Q3","2010/11","Q1","July",56209.8561860792,9971.55350145889,2683.36892867494,43788.2023445261,16102.0794955452,3025.9077389061,14058.4165582628,186.572107488626,0,186.572107488626,2977.21476587652,507.903734891942,2469.31103098457,4590.60340772131,1157.53506004972,3433.06834767159,2380.35119616044,40.1597901075847,2340.19140605285,833.245446363318,0,833.245446363318,4571.89770518124,766.651968190123,3805.24573699111,313.842786076874,0,313.842786076874,1055.26987263774,553.657185666738,501.612686970999,175.327009662848,0,175.327009662848,234.509056779243,7.58041960675677,-9094.69183746557,8325.31319262267,5845.06342620837,2362.17654826422,17420.0050300882,18106.6954603178,1996.19809456559,1066.98091210571,64759.5828212314
2011-07-01,2011,"Q3","2011/12","Q1","July",59529.5471502554,5302.8492664209,2817.15148710423,51404.0536731575,17052.6999735941,3225.95195777585,14775.3988482579,203.566365563353,0,203.566365563353,3173.47858499025,541.385742268281,2632.09284272197,5114.68594237367,1289.68411635884,3825.00182601483,2240.11446412007,37.7938040576274,2202.32066006244,796.026135333518,0,796.026135333518,4890.27746513044,820.040404532506,4070.23706059793,361.243682862794,0,361.243682862794,1023.61257785835,537.047890558591,486.56468729976,198.345587801289,0,198.345587801289,269.844976266924,7.06650548227776,-8741.1916514003,10817.1288453788,6862.85455426155,3523.89626673524,19558.3204967791,20008.4923407333,2318.38572820455,1712.71445934275,69825.1886899684
2012-07-01,2012,"Q3","2012/13","Q1","July",59550.0965364672,5318.17888929346,3043.66732212357,51318.7915781574,20579.026603189,4140.09837703519,19435.8504550871,217.290132136274,0,217.290132136274,3482.95155689612,594.180884923306,2888.77067197281,5678.00825929642,1431.72760694872,4246.2806523477,2807.63861769955,47.3687150730692,2760.26990262648,657.864031936064,0,657.864031936064,8934.92388511732,1498.27870697789,7436.64517813943,487.570624010045,0,487.570624010045,1083.64119200413,568.5424631122,515.098728891931,226.060533026405,0,226.060533026405,376.945015334478,3.33956381063475,-7554.66488666331,12372.2520378885,8320.75002759687,3730.00807487049,19926.9169245518,19396.8998569363,2612.09713893139,1838.86847092629,74924.1525561715
2013-07-01,2013,"Q3","2013/14","Q1","July",63187.7849438228,6148.99321850425,3280.83976738415,53852.7235759519,21524.3306876084,3944.82692623039,17767.3348763785,283.609162325237,0,283.609162325237,4364.37021308082,744.548212336398,3619.82200074442,6887.16958620569,1736.62143132038,5150.54815488531,2704.781712096,45.6333779737298,2659.14833412227,716.452623288297,0,716.452623288297,4629.90030394267,776.378302716418,3853.52200122625,649.944612357868,0,649.944612357868,1222.97567900744,641.645601883462,581.330077123974,252.957910304845,0,252.957910304845,514.223154570062,0.549115286526371,-5063.92654153497,12372.8176691808,7838.6847340062,4038.06443297537,17436.7442107157,15278.7549345072,2764.88909211144,2513.49459888873,82771.2275766591
2014-07-01,2014,"Q3","2014/15","Q1","July",78739.6880430707,8200.75096561825,3580.18327108224,66709.8025813455,21293.1231732337,4033.82873430835,17270.8322086429,293.813392081673,0,293.813392081673,4557.95319210512,777.572876591348,3780.38031551377,7019.76982400469,1770.05699753921,5249.71282646548,1964.58264585962,33.1452043017807,1931.43744155784,321.926164617948,0,321.926164617948,4906.78502106637,822.80852207677,4083.9764989896,723.909223129073,0,723.909223129073,1201.24640173135,630.245133799239,571.001267932113,314.675078355434,0,314.675078355434,545.677942189314,0.963774241063926,-10930.0019165374,11793.3259430922,7184.72041841864,4042.67976705461,22723.3278596296,15311.0384811487,5249.13102313637,2181.60794289202,91582.1077340647
2015-07-01,2015,"Q3","2015/16","Q1","July",79569.1160997445,7392.27429078218,3860.84427905362,68315.9975299087,25007.5352699227,2846.83319099234,22160.7020789304,339.269332546448,0,339.269332546448,5224.77245012524,561.919604606798,4662.85284551844,8185.79180423419,1343.15505353849,6842.6367506957,2067.90677654245,35.6423972516882,2032.26437929076,662.978110925931,0,662.978110925931,6009.77512810711,821.416509416363,5188.35861869074,873.794279120736,0,873.794279120736,1269.74614911253,84.699626179,1185.04652293353,373.501239208106,0,373.501239208106,545.677942189314,1.48488759446398,-6389.89229364346,12495.3308252973,9183.73650985285,3311.5943154445,18885.2231189408,15586.2569535918,3298.96616534897,1814.60555382427,100548.527459632
2016-07-01,2016,"Q3","2016/17","Q1","July",85621.5496932653,8691.68198305649,4262.12008538767,72667.7476248211,26101.2181104543,4724.19847800547,21377.0196324489,330.134618465364,0,330.134618465364,5979.58723346233,1020.09929676456,4959.48793669777,9377.292588782,2364.51376339816,7012.77882538384,1880.3909329423,31.7247746084601,1848.66615833384,746.032271397767,0,746.032271397767,5700.97001724524,955.983743765913,4744.98627347933,987.142891156442,0,987.142891156442,670.67691072949,351.876899468373,318.800011261117,428.99064627339,0,428.99064627339,607.494855652482,1.96394827889901,-3814.18568952541,18080.3312433696,11543.7595107612,6536.57173260838,21894.516932895,14490.2958760591,7404.22105683593,3.3475662348792e-06,108518.040921473
2017-07-01,2017,"Q3","2017/18","Q1","July",97509.0507740381,10405.1530098205,4962.6296732379,82141.2680909796,28615.6707898026,6673.42286927336,21942.2479205292,397.050276589708,0,397.050276589708,6518.04311868473,913.465944914131,5604.5771737706,10067.5194485837,3974.95612569089,6092.56332289284,2412.49908984088,8.879314779,2403.61977506188,594.805019715896,0,594.805019715896,6248.85672155862,1357.75236280105,4891.10435875756,1075.86860696475,0,1075.86860696475,727.22643920011,418.369121088287,308.857318111823,573.802068664126,0,573.802068664126,693.962665686775,2.62488300123421,-7788.49684016115,18177.6023055003,11217.4982964018,6960.1040090985,25966.0991456615,17643.0381437977,8323.06100186374,1451.9651830162,120484.777455384
2018-07-01,2018,"Q3","2018/19","Q1","July",105594.472263747,11590.2982757078,5696.12487690385,88308.0491111357,32893.5983801672,7544.8510568804,25348.7473232868,448.435932789963,0,448.435932789963,7487.9820582089,1043.83473521421,6444.14732299469,12003.6108061697,4952.14071672277,7051.47008944692,2691.48649459391,297.249806030842,2394.23668856307,625.344539246468,0,625.344539246468,7168.84576721003,867.46952119063,6301.3762460194,1235.62907161999,0,1235.62907161999,664.199662350728,384.156277721947,280.043384628781,568.064047977485,0,568.064047977485,825.113167652831,3.09570066622834,-6793.29513073276,22599.3162030675,15317.0838314537,7282.23237161376,29392.6113338002,19145.0321084763,10247.579225324,-433.209592315805,132089.774789185
