"Date","Year","Quarter","FY","QFY","Month","EXP_SEC","EXP_RAW","EXP_AGR","EXP_EDU","EXP_HEA","EXP_WAE","EXP_JLO","EXP_ACC","EXP_EAM","EXP_TTI","EXP_LHUD","EXP_SD","EXP_ICT","EXP_PSM","EXP_PAD","EXP_PARL","EXP_STD","EXP_TOU","EXP_LGOV","EXP_I","EXP_I_DOM","EXP_I_EXT","EXP_CEN_TOT","EXP_LGP_TOT","EXP_I_TOT","EXP"
2000-04-01,2000,"Q2","1999/00","Q4","April",,,,,,,,,,,,,,,,,,,,10.846153,7.107796,3.738357,101.945388333333,27.198233,10.846153,139.989774333333
2000-05-01,2000,"Q2","1999/00","Q4","May",,,,,,,,,,,,,,,,,,,,6.681397,2.24244,4.438957,126.553262833333,27.924753,6.681397,161.159412833333
2000-06-01,2000,"Q2","1999/00","Q4","June",,,,,,,,,,,,,,,,,,,,5.2544948,2.373846,2.8806488,227.222756275333,30.051353,5.2544948,262.528604075333
2000-07-01,2000,"Q3","2000/01","Q1","July",,,,,,,,,,,,,,,,,,,,4.4348618,2.295659,2.1392028,75.846911245111,33.3445022683889,4.4348618,113.6262753135
2000-08-01,2000,"Q3","2000/01","Q1","August",,,,,,,,,,,,,,,,,,,,10.572477,3.230283,7.342194,109.517634945108,41.829579568392,10.572477,161.9196915135
2000-09-01,2000,"Q3","2000/01","Q1","September",,,,,,,,,,,,,,,,,,,,20.02133,13.25798,6.76335,121.840946945108,29.045979568392,20.02133,170.9082565135
2000-10-01,2000,"Q4","2000/01","Q2","October",,,,,,,,,,,,,,,,,,,,8.3085788,3.340254,4.9683248,102.693381149201,43.4903983642992,8.3085788,154.4923583135
2000-11-01,2000,"Q4","2000/01","Q2","November",,,,,,,,,,,,,,,,,,,,5.8182712,2.265772,3.5524992,102.686573404694,46.8560188088058,5.8182712,155.3608634135
2000-12-01,2000,"Q4","2000/01","Q2","December",,,,,,,,,,,,,,,,,,,,4.292412,1.973641,2.318771,163.601393353699,24.8001631598007,4.292412,192.6939685135
2001-01-01,2001,"Q1","2000/01","Q3","January",,,,,,,,,,,,,,,,,,,,4.859662,2.02248,2.837182,102.100466798361,38.8698477151385,4.859662,145.8299765135
