"Date","Year","Quarter","FY","QFY","Month","FCMOA_NUM","FCMOR_NUM","FCAC_NUM","FCBODC_NUM","FCBODMF_NUM","FCBODD_NUM","FCIODC_NUM","FCIODMF_NUM","FCIODD_NUM","FCROODC_NUM","FCMOAK_NUM","FCMOAA_NUM","FCBAMFK_NUM","FCBAMFA_NUM","FCAK_NUM","FCAA_NUM","FCBODCK_NUM","FCBODCA_NUM","FCROODCK_NUM","FCROODCA_NUM","FCBODDK_NUM","FCBODDA_NUM","FCMORK_NUM","FCMORA_NUM","FCMTAA_NUM","FCMAAA_NUM","FCRAMFA_NUM","FCRODCA_NUM","FCCCCA_NUM","FCCDCA_NUM","FCAODCA_NUM","FCDODCA_NUM","FCRAMFHFFA_NUM","FCRODCHFFA_NUM","FCDODCHFFA_NUM","FCRODCHA_NUM","FCAODCHA_NUM","FCDODCHA_NUM","FCNODCHA_NUM","FCNAMFA_NUM","FCNODCA_NUM","FCRAMFHMMA_NUM","FCRODCHMMA_NUM","FCDODCHMMA_NUM","FCAODCHMMA_NUM","FCNAMFHMMA_NUM","FCNODCHMMA_NUM","FCMTA_NUM","FCMARA_NUM","FCRODCSP_PT","FCAODCSP_PT","FCDODCSP_PT","FCNODCSP_PT","FCAODCHFFA_NUM","FCNAMFHFFA_NUM","FCNODCHFFA_NUM","FCMAABG_GDP_PT","FCLODCHG_GDP_PT","FCLODCG_GDP_PT","FCLODDG_GDP_PT","FCSAMFG_PT","FCSODCG_GDP_PT","FCSODCHG_GDP_PT","FCSODDG_GDP_PT","FCMTVG_GDP_PT","FCSODC_XDC","FCSODCH_XDC","FCSODMF_XDC","FCSODMFH_XDC","FCSODD_XDC","FCSODDH_XDC","FCLODC_XDC","FCLODCH_XDC","FCLODMF_XDC","FCLODMFH_XDC","FCLODD_XDC","FCLODDH_XDC","FCMAA_NUM","FCMT_NUM","FCMAR_NUM","FCMAAB_XDC","FCMTV_XDC","FCRODC_PE_NUM","FCRODCH_PE_NUM","FCRODCHF_PE_NUM","FCRODCHM_PE_NUM","FCRODCS_PE_NUM","FCRODMF_PE_NUM","FCRODMFH_PE_NUM","FCRODMFHF_PE_NUM","FCRODMFHM_PE_NUM","FCCCC_NUM","FCCDC_NUM","FCAODC_NUM","FCAODCH_NUM","FCAODCHM_NUM","FCAODCHF_NUM","FCAODCS_NUM","FCAODMF_NUM","FCAODMFH_NUM","FCAODMFHM_NUM","FCAODMFHF_NUM","FCDODC_PE_NUM","FCDODCH_PE_NUM","FCDODCHF_PE_NUM","FCDODCHM_PE_NUM","FCDODCS_PE_NUM","FCDODMF_PE_NUM","FCDODMFH_PE_NUM","FCDODMFHF_PE_NUM","FCDODMFHM_PE_NUM","FCNODC_NUM","FCNODCH_NUM","FCNODCHM_NUM","FCNODCHF_NUM","FCNODCS_NUM","FCNODMF_NUM","FCNODMFH_NUM","FCNODMFHM_NUM","FCNODMFHF_NUM"
2004-01-01,2004,"Q1","2003/04","Q3","January",,,152,140,6,21,15,1,7,,,,0.0350332816175367,0.0541572623225373,0.760722686552225,1.17598626757509,0.775736950102597,1.19919652285618,,,0.140133126470147,0.216629049290149,,,,,,,,,99.2731244353622,94.7454225701629,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0989337477986,,,6.03566507857968,,,,1174569.166905,,,,,,1965300.599743,,,,,,,,,,,,,,,,,,,,,,1283137,,,,,10855,,,,1224615,,,,,10846,,,,,,,,,,,,
2005-01-01,2005,"Q1","2004/05","Q3","January",,,220,153,59,75,15,4,7,,,,0.31529953455783,0.472580291391507,1.10104599369401,1.65028038263701,0.84079875882088,1.26021411037735,,,0.410389870376858,0.615104506255613,,,,,,,,,107.295004421251,105.269660315288,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0659421141203,,,6.18888021897247,,,,1373105.181142,,,,,,2233295.326609,,,,,,,,,,,,,,,,,,,,,,1430357,,,,,121090,,,,1403357,,,,,120390,,,,,,,,,,,,
2006-01-01,2006,"Q1","2005/06","Q3","January",,,267,160,61,81,15,4,6,,,,0.325309043591412,0.472491405017888,1.33626945598318,1.94084930984271,0.875832040438416,1.27209224427893,,,0.435413642960813,0.632411572870096,,,,,,,,,121.36043505264,121.36043505264,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1618224570462,,,7.15231047230838,,,,1844246.67563413,,,,,,2620259.19559154,,,,,,,,,,,,,,,,,,,,,,1669539,,,,,188926,,,,1669539,,,,,188697,,,,,,,,,,,,
2007-01-01,2007,"Q1","2006/07","Q3","January",,,321,194,62,88,16,4,5,,,,0.330313798108203,0.464488777317746,1.60652619988989,2.25910450786358,1.0509984485261,1.4779188369201,,,0.465442170061559,0.654506913493188,,,,,,,,,126.022842995052,118.467792277804,,,,,,,,,,,,,,,,,,,,,,,,,,,10.9253803117898,,,7.16439822525201,,,,2162347.33205785,,,,,,3297480.9922832,,,,,,,,,,,,,,,,,,,,,,1790680,,,,,241747,,,,1683329,,,,,241747,,,,,,,,,,,,
2008-01-01,2008,"Q1","2007/08","Q3","January",,,405,301,70,67,20,3,4,,,,0.365347079725739,0.496916767598631,2.02692557930034,2.75686699832117,1.60652619988989,2.18507236163234,,,0.355337570692157,0.48330260958223,,,,,,,,,164.24971115862,164.24971115862,,,,,,,,,,,,,,,,,,,,,,,,,,,11.5257529050347,,,8.80681322464945,,,,3396837.125585,,,,,,4445547.36991137,,,,,,,,,,,,,,,,,,,,,,2412925,,,,,417074,,,,2412925,,,,,330114,,,,,,,,,,,,
2009-01-01,2009,"Q1","2008/09","Q3","January",,,536,364,76,69,21,3,4,,,,0.395375606826485,0.519838552622072,2.68254842099995,3.52700587601811,1.92683048896452,2.53339041467719,,,0.365347079725739,0.480357143562168,,,,,,,,,184.013306287691,184.013306287691,,,,,,,,,,,,,,,,186.627699393289,36.3259890454882,,,,,,,,0.00737166312413173,,10.6949277807238,0.228891149791616,,8.23475551894776,,,0.270849076920405,4030748.13141455,,,,,,5234953.25010867,,,,112037.64,,,2836186,552047,3608.281666,132575.206171,,,,,,,,,,,,2796455,,,,,473514,,,,2796455,,,,,368392,,,,,,,,,,,,
2010-01-01,2010,"Q1","2009/10","Q3","January",,,599,394,91,80,22,3,3,,,,0.468781168960702,0.597699936192353,2.98723319369639,3.80874746573637,2.07460602433672,2.64514014314913,,,0.413923798124875,0.527756326637928,,,,,,19.5359495846462,,,203.99492463735,203.99492463735,,,,,,,,8.56179724555707,19.6589231672628,,,,,,,1832.25176138674,107.05905879428,,,,,,,,0.00310803598831584,9.21770856243101,12.3321581745937,0.202482924032117,0.223855559158823,10.1567531961582,3.69782756581802,0.151239452037527,1.7911913170704,5459051.70787113,1987508.36007587,120317.885936684,92994.6932625654,81288.18068113,73878.84768113,6628288.37568064,4954333.99813542,75051.1165433025,34351.7890742325,108830.522008782,90717.6329779418,,28815741,1683713,1670.507183,962729.509099,307241,,,,,,,,,,,3208219,,,,,558050,,,,3208219,,,,,426463,,,,309175,,,,,134651,,,
2011-01-01,2011,"Q1","2010/11","Q3","January",,,663,396,95,131,23,4,3,,,,0.493716337522442,0.60843893743699,3.30640335128665,4.07469712647196,2.08956712547377,2.57511025036463,,,0.668262517454618,0.823543612288451,,,,,,20.311351110567,,,190.688389042986,190.688389042986,,,,,,,,9.78013352223211,20.9445578148512,,,,,,,5376.44491955946,176.998451492175,,,,,,,,0.0631438521786131,5.25750823393706,10.386478096494,0.176468120555557,0.247028364414236,10.0473397289709,3.73422904221522,0.156254491375993,5.40935312481587,6970743.83056273,2590770.7671985,171385.808946953,123560.381031245,108407.80357175,82647.90657175,7206034.63856656,3647606.63762319,90228.2494534518,72815.4415005508,122431.81736024,105429.79253179,,87480931,2879968,43808.573203,3752955.104466,330489,,,,,,,,,,,3102719,,,,,684728,,,,3102719,,,,,524624,,,,340792,,,,,159134,,,
2012-01-01,2012,"Q1","2011/12","Q3","January",,,748,466,90,45,24,4,3,,,,0.468781168960702,0.55849906347431,3.73030121683623,4.44422659019983,2.44364651905047,2.91132490534481,,,0.239377618192699,0.285191011135818,,,,,,18.3259584720297,,,216.006761403556,216.006761403556,,,,,,,,9.90004946281599,20.3609151660718,,,,,,,14362.1849196341,527.061091776547,,,,,,,,0.0928651845511563,5.82164942885173,11.0520452855967,0.173310646887892,0.245645152039428,10.0471619766268,3.09237323435067,0.154032089349306,15.0510730917561,7785344.87244859,2396218.17183365,190345.515412312,144116.947178537,119356.38539499,90625.35539499,8564008.85090321,4511079.70942863,114211.677160728,88441.8109694882,134294.95406049,115015.14450315,,241727421,8870873,71959.374205,11662775.51734,308441,,,,,,,,,,,3635572,,,,,744366,,,,3635572,,,,,665020,,,,342691,,,,,166626,,,
2013-01-01,2013,"Q1","2012/13","Q3","January",,53560,893,520,87,53,25,3,3,,,,0.448833034111311,0.516921749361989,4.45342110512667,5.12901246866952,2.7179333732296,3.13024837113649,,,0.279273887891482,0.321640199603016,267.105525633353,307.625876620313,,,7.84543626156677,19.8742628049702,,,205.160269003781,201.31230350153,,,,19.8742628049702,205.160269003781,201.31230350153,20.5580354078762,13.0279788491702,20.5580354078762,,,,,,,22943.3325106619,818.079154389536,,,,,,,,0.180833355921422,6.23896444559875,11.3570109218116,0.191341555375823,0.210236866811797,9.91197645189311,3.40569727076018,0.180930229661143,22.2935546949317,8290079.74506984,2848423.02634569,175835.808295383,114069.715135804,151324.61618169,124580.32218169,9498663.2246756,5218082.69336543,109585.194360744,77775.8313794614,160032.336669677,133562.927314587,,399460833,14243379,151243.593892,18645660.3402,346026,346026,,,,136595,136595,,,,,3571996,3571996,,,,833893,833893,,,3505000,3505000,,,,618876,618876,,,357931,357931,,,,226827,226827,,
