"Date","Year","Quarter","FY","QFY","Month","GDP_CY_US","GNI_CY_US","GNS_CY_US","CONS_FIX_CAP_CY_US","NNS_CY_US","EDU_EXP_CY_US","NNS_EDU_EXP_CY_US","NET_FOR_DEP_CY_US","ENERGY_DEP_CY_US","MIN_DEP_CY_US","TOT_NAT_CAP_DEP_CY_US","DAS_CY_US","CO2_DAM_CY_US","AIR_POLL_DAM_CY_US","POLL_DAM_CY_US","ANS_CY_US","NNI_CY_US","ANNS_CY_US","GDP_CY_UG","GNI_CY_UG","GNS_CY_UG","CONS_FIX_CAP_CY_UG","NNS_CY_UG","EDU_EXP_CY_UG","NNS_EDU_EXP_CY_UG","NET_FOR_DEP_CY_UG","ENERGY_DEP_CY_UG","MIN_DEP_CY_UG","TOT_NAT_CAP_DEP_CY_UG","DAS_CY_UG","CO2_DAM_CY_UG","AIR_POLL_DAM_CY_UG","POLL_DAM_CY_UG","ANS_CY_UG","NNI_CY_UG","ANNS_CY_UG","GNS_CY_P","CONS_FIX_CAP_CY_P","NNS_CY_P","EDU_EXP_CY_P","NNS_EDU_EXP_CY_P","NET_FOR_DEP_CY_P","ENERGY_DEP_CY_P","MIN_DEP_CY_P","TOT_NAT_CAP_DEP_CY_P","DAS_CY_P","CO2_DAM_CY_P","AIR_POLL_DAM_CY_P","POLL_DAM_CY_P","ANS_CY_P","NNI_CY_P","ANNS_CY_P"
1992-01-01,1992,"Q1","1991/92","Q3","January",2857.45776190922,2770.45776260758,373.931525464337,,,,,,0,0,,,,63.3734304901566,,,,,3273.00593814966,3173.35389144958,428.310829164591,,,,,,0,0,,,,72.5895644303795,,,,,0.134971025550806,,,,,,0,0,,,,0.0228747145491613,,,,
1993-01-01,1993,"Q1","1992/93","Q3","January",3220.43904418949,3171.5390462031,515.646140195061,,,,,,0,0,,,155.927881906452,68.9154866064142,224.843368512866,,,,3848.48826147756,3790.05179810887,616.207321544367,,,,,,0,0,,,186.336898453878,82.3553675755254,268.692266029404,,,,0.162585461721615,,,,,,0,0,,,0.0491647366262527,0.0217293514607422,0.0708940880869949,,,
1994-01-01,1994,"Q1","1993/94","Q3","January",3990.43044671216,3929.34044807608,752.762870017166,,,,,,0,0,,,163.294794999355,83.2746534045207,246.569448403876,,,,3908.42377567352,3848.58922741774,737.292965735922,,,,,,0,0,,,159.938950883123,81.5632898815133,241.502240764636,,,,0.191574866053091,,,,,,0,0,,,0.0415578128587227,0.0211930359572926,0.0627508488160153,,,
1995-01-01,1995,"Q1","1994/95","Q3","January",5755.81884249246,5697.74884203155,865.301134451993,,,,,,0,0,,,172.4835458364,114.845020348938,287.328566185338,,,,5575.3983840104,5519.14863126644,838.177621416744,,,,,,0,0,,,167.076919729498,111.245117052335,278.322036781834,,,,0.151867194999678,,,,,,0,0,,,0.0302722269124976,0.0201562096773626,0.0504284365898602,,,
1996-01-01,1996,"Q1","1995/96","Q3","January",6044.585326938,5998.77532695775,1319.79299476117,,,,,,0,0,,,181.86824527902,119.180353941163,301.048599220183,,,,6318.77779167681,6270.88977374745,1379.66100465853,,,,,,0,0,,,190.118091998619,124.586573429858,314.704665428477,,,,0.220010405929054,,,,,,0,0,,,0.0303175623967323,0.0198674475114248,0.0501850099081571,,,
1997-01-01,1997,"Q1","1996/97","Q3","January",6269.33331317108,6252.80331316163,1519.04206327859,,,,,,0,0,,,189.886369252911,127.084093967035,316.970463219946,,,,6789.74251141279,6771.84037761779,1645.13576778549,,,,,,0,0,,,205.648589610909,137.633179196196,343.281768807105,,,,0.242937765223021,,,,,,0,0,,,0.0303681980293889,0.0203243389568217,0.0506925369862107,,,
1998-01-01,1998,"Q1","1997/98","Q3","January",6584.81584652754,6576.31584657103,1241.98561998082,,,,,,0,0.011199700007237,,,198.467295557252,136.356823008611,334.824118565863,,,,8166.6328723159,8156.09098615273,1540.33777519044,,,,,,0,0.0138901133108242,,,246.143487950725,169.112719186205,415.25620713693,,,,0.188857355540246,,,,,,0,1.70303560055995e-06,,,0.0301791003029053,0.02073453072965,0.0509136310325552,,,
1999-01-01,1999,"Q1","1998/99","Q3","January",5998.56325794659,5984.56325794659,1054.68621685701,,,645.63559649125,,,0,0.00457693940228219,,,206.715674354318,122.251488044448,328.967162398767,,,,8731.42070885213,8711.04251416327,1535.18579019846,,,939.777705954468,,,0,0.00666212587277576,,,300.892304088077,177.947473169547,478.839777257624,,,,0.176234450434883,,,0.10788349436092,,,0,7.64790880304375e-07,,,0.0345414803795133,0.0204278044654498,0.0549692848449631,,,
2000-01-01,2000,"Q1","1999/00","Q3","January",6193.24683709687,6085.59104905111,889.133051022383,,,656.650828443564,,,0,0.0843428092743181,,,388.108609125986,128.336237807648,516.444846933634,,,,10184.6394204002,10007.6021713441,1462.15704938189,,,1079.84585286443,,,0,0.138699638938528,,,638.234894211661,211.045731103836,849.280625315497,,,,0.146104633692239,,,0.10790255591459,,,0,1.38594277194274e-05,,,0.0637750065684256,0.0210885412399932,0.0848635478084188,,,
2001-01-01,2001,"Q1","2000/01","Q3","January",5840.50386851573,5659.78819242484,850.591554200854,677.109677975163,173.481876225691,704.416278508403,877.898154734094,,0,0,,,47.4260319357401,120.278296067073,167.704328002813,,4982.67851444968,,10253.9245140379,9936.64967904836,1493.34745518631,1188.77269529937,304.574759886938,1236.71373376221,1541.28849364914,,0,0,,,83.2638694224541,211.167494502885,294.431363925339,,8747.87698374899,,0.150286817329896,0.119635162121688,0.0306516552082077,0.12445983039634,0.155111485604548,,0,0,,,0.00837947116099079,0.0212513776095112,0.029630848770502,,0.880364837878312,
