"Date","Year","Quarter","FY","QFY","Month","RTIC_RM_GDP","RTGSE_RM_GDP","RTGSG_RM_GDP","RTGS_RM_GDP","RTI_RM_GDP","RTII_RM_GDP","RT_RM_GDP","RG_RM_GDP","R_RM_GDP","RTT_RM_GDP","RTGSGV_RM_GDP"
1992-01-01,1992,"Q1","1991/92","Q3","January",0.584243297576904,0.429836511611938,1.3915456533432,1.94435060024261,0.676040709018707,0.0917973965406418,,,,2.20113587379456,1.3915456533432
1993-01-01,1993,"Q1","1992/93","Q3","January",0.673155128955841,0.404626697301865,1.80602276325226,2.3494119644165,0.914233922958374,0.241078794002533,,,,2.74637222290039,1.80602276325226
1994-01-01,1994,"Q1","1993/94","Q3","January",0.440142691135406,0.755133211612701,2.0529580116272,2.97548246383667,1.00858676433563,0.568444073200226,,,,2.86717772483826,2.0529580116272
1995-01-01,1995,"Q1","1994/95","Q3","January",0.366807997226715,0.77835738658905,2.37773370742798,3.38144016265869,1.15587913990021,0.789071202278137,,,,3.04137134552002,2.37773370742798
1996-01-01,1996,"Q1","1995/96","Q3","January",0.314581096172333,0.884287774562836,2.6676549911499,3.76187205314636,1.08345937728882,0.768364787101746,,,,3.30060338973999,2.6676549911499
1997-01-01,1997,"Q1","1996/97","Q3","January",0.298711985349655,1.21427094936371,2.55117177963257,4.00509738922119,1.19317698478699,0.89415180683136,7.92145538330078,,13.0330848693848,3.3568012714386,2.55117177963257
1998-01-01,1998,"Q1","1997/98","Q3","January",0.33306697010994,2.97899031639099,2.42159271240234,5.30947923660278,1.12948894500732,0.474130630493164,8.04474258422852,3.89590406417847,13.2464694976807,0.76801323890686,2.61549997329712
1999-01-01,1999,"Q1","1998/99","Q3","January",0.410447508096695,1.13917708396912,2.62323451042175,3.972243309021,1.30280709266663,1.1167916059494,7.98034334182739,3.57569932937622,13.4748268127441,2.92373657226563,2.62323451042175
2000-01-01,2000,"Q1","1999/00","Q3","January",0.33885058760643,1.03001642227173,2.45497751235962,3.67683815956116,1.2431093454361,1.13365304470062,7.67448282241821,4.5947093963623,14.6053237915039,2.73089361190796,2.45497751235962
2001-01-01,2001,"Q1","2000/01","Q3","January",1.4080114364624,0.912871301174164,2.46592211723328,3.58236217498779,1.45344805717468,0.0454365983605385,7.94243383407593,,15.2123908996582,2.77853083610535,2.46592211723328
2002-01-01,2002,"Q1","2001/02","Q3","January",1.66861164569855,0.919554829597473,2.59431147575378,3.74405145645142,1.71195483207703,0.0433432273566723,8.23253154754639,,14.6930589675903,2.54662561416626,2.59431147575378
2003-01-01,2003,"Q1","2002/03","Q3","January",1.74888157844543,0.864152550697327,2.67838573455811,3.77935242652893,1.86026918888092,0.111387744545937,8.42941856384277,,15.4898443222046,2.50854063034058,2.67838573455811
2004-01-01,2004,"Q1","2003/04","Q3","January",0.62475848197937,2.30269241333008,2.66272306442261,5.25048637390137,2.06826996803284,1.05637323856354,8.6791934967041,5.89617776870728,15.9354314804077,1.09251928329468,2.66272306442261
2005-01-01,2005,"Q1","2004/05","Q3","January",0.721245348453522,2.26474809646606,2.5923285484314,5.16299247741699,2.31241035461426,1.12823438644409,8.94613552093506,5.3055272102356,14.3012247085571,1.0005761384964,2.5923285484314
