"Date","Year","Quarter","FY","QFY","Month","FD_FD_IX","FD_FIA_IX","FD_FID_IX","FD_FIE_IX","FD_FI_IX","FD_FMA_IX","FD_FMD_IX","FD_FME_IX","FD_FM_IX"
1980-01-01,1980,"Q1","1979/80","Q3","January",0.0627118647098541,0.0195045731961727,0.0332063287496567,0.368631392717362,0.122437626123428,0,0.00138422299642116,0,0.000526440504472703
1981-01-01,1981,"Q1","1980/81","Q3","January",0.0632243677973747,0.0198660399764776,0.0338217243552208,0.370748221874237,0.123432777822018,0,0.0014098760439083,0,0.00053619674872607
1982-01-01,1982,"Q1","1981/82","Q3","January",0.0513100363314152,0.0146826021373272,0.0249969754368067,0.307265073060989,0.100211322307587,0,0.00104201189242303,0,0.000396292569348589
1983-01-01,1983,"Q1","1982/83","Q3","January",0.0536086820065975,0.0157890524715185,0.0268806926906109,0.319041222333908,0.104688584804535,0,0.00112053554039448,0,0.000426156271714717
1984-01-01,1984,"Q1","1983/84","Q3","January",0.0460336059331894,0.0131122544407844,0.0223234742879868,0.275935739278793,0.0899077877402306,0,0.000930565583985299,0,0.000353907875251025
1985-01-01,1985,"Q1","1984/85","Q3","January",0.0456711314618587,0.0147546725347638,0.0287166777998209,0.260230422019958,0.0891527235507965,0,0.0010471265995875,0,0.000398237752960995
1986-01-01,1986,"Q1","1985/86","Q3","January",0.0382254905998707,0.0135809956118465,0.0244847163558006,0.21499902009964,0.0745851546525955,0,0.000963831727858633,0,0.00036655948497355
1987-01-01,1987,"Q1","1986/87","Q3","January",0.0200847927480936,0.0115544823929668,0.023711871355772,0.0880243256688118,0.0390699654817581,0,0.00082001177361235,0,0.000311862619128078
1988-01-01,1988,"Q1","1987/88","Q3","January",0.0245141386985779,0.0120137482881546,0.0234779510647058,0.11976808309555,0.0477425344288349,0,0.000852605502586812,0,0.00032425852259621
1989-01-01,1989,"Q1","1988/89","Q3","January",0.0316340588033199,0.0130563275888562,0.0279401261359453,0.162486597895622,0.0616749785840511,0,0.000926596520002931,0,0.000352398405084387
1990-01-01,1990,"Q1","1989/90","Q3","January",0.0347491912543774,0.0139890275895596,0.0302764847874641,0.17975264787674,0.0677578896284103,0,0.000992789398878813,0,0.00037757251993753
1991-01-01,1991,"Q1","1990/91","Q3","January",0.0389386080205441,0.0138718448579311,0.029773460701108,0.211163327097893,0.0759755745530128,0,0.000984473153948784,0,0.000374409719370305
1992-01-01,1992,"Q1","1991/92","Q3","January",0.0392899475991726,0.0143720917403698,0.0322953462600708,0.208804979920387,0.0766509622335434,0,0.00101997528690845,0,0.000387911713914946
1993-01-01,1993,"Q1","1992/93","Q3","January",0.0516923069953919,0.0152300810441375,0.0363961085677147,0.290752053260803,0.100946083664894,0,0.00108086597174406,0,0.000411069340771064
1994-01-01,1994,"Q1","1993/94","Q3","January",0.0369092188775539,0.0144433546811342,0.0365668274462223,0.184527322649956,0.0719809606671333,0,0.00102503271773458,0,0.00038983512786217
1995-01-01,1995,"Q1","1994/95","Q3","January",0.047259233891964,0.0152346463873982,0.0386438705027103,0.25495320558548,0.0922536924481392,0,0.00108118995558471,0,0.000411192537285388
1996-01-01,1996,"Q1","1995/96","Q3","January",0.0407832264900208,0.0173182170838118,0.0445432178676128,0.194932028651237,0.0794994384050369,0,0.00122905930038542,0,0.000467429461423308
