"Date","Year","Quarter","FY","QFY","Month","EXP_NDPD_SEC","EXP_NDPD_RAW","EXP_NDPD_AGR","EXP_NDPD_EDU","EXP_NDPD_HEA","EXP_NDPD_WAE","EXP_NDPD_JLO","EXP_NDPD_ACC","EXP_NDPD_EAM","EXP_NDPD_TTI","EXP_NDPD_LHUD","EXP_NDPD_SD","EXP_NDPD_ICT","EXP_NDPD_PSM","EXP_NDPD_PAD","EXP_NDPD_PARL","EXP_NDPD_STD","EXP_NDPD_TOU","EXP_NDPD_LGOV","EXP_NDPD_I","EXP_NDPD_I_DOM","EXP_NDPD_I_EXT","EXP_NDPD_CEN_TOT","EXP_NDPD_LGP_TOT","EXP_NDPD_I_TOT","EXP_NDPD"
2000-04-01,2000,"Q2","1999/00","Q4","April",,,,,,,,,,,,,,,,,,,,10.846153,7.107796,3.738357,59.337055,27.198233,10.846153,97.381441
2000-05-01,2000,"Q2","1999/00","Q4","May",,,,,,,,,,,,,,,,,,,,6.681397,2.24244,4.438957,83.9449295,27.924753,6.681397,118.5510795
2000-06-01,2000,"Q2","1999/00","Q4","June",,,,,,,,,,,,,,,,,,,,5.2544948,2.373846,2.8806488,184.614422942,30.051353,5.2544948,219.920270742
2000-07-01,2000,"Q3","2000/01","Q1","July",,,,,,,,,,,,,,,,,,,,4.4348618,2.295659,2.1392028,29.5236393982778,33.3445022683889,4.4348618,67.3030034666667
2000-08-01,2000,"Q3","2000/01","Q1","August",,,,,,,,,,,,,,,,,,,,10.572477,3.230283,7.342194,66.2763630982746,41.829579568392,10.572477,118.678419666667
2000-09-01,2000,"Q3","2000/01","Q1","September",,,,,,,,,,,,,,,,,,,,20.02133,13.25798,6.76335,59.0116750982746,29.045979568392,20.02133,108.078984666667
2000-10-01,2000,"Q4","2000/01","Q2","October",,,,,,,,,,,,,,,,,,,,8.3085788,3.340254,4.9683248,65.9691093023675,43.4903983642992,8.3085788,117.768086466667
2000-11-01,2000,"Q4","2000/01","Q2","November",,,,,,,,,,,,,,,,,,,,5.8182712,2.265772,3.5524992,64.1613015578609,46.8560188088058,5.8182712,116.835591566667
2000-12-01,2000,"Q4","2000/01","Q2","December",,,,,,,,,,,,,,,,,,,,4.292412,1.973641,2.318771,84.0204215068659,24.8001631598007,4.292412,113.112996666667
2001-01-01,2001,"Q1","2000/01","Q3","January",,,,,,,,,,,,,,,,,,,,4.859662,2.02248,2.837182,59.2098949515282,38.8698477151385,4.859662,102.939404666667
2001-02-01,2001,"Q1","2000/01","Q3","February",,,,,,,,,,,,,,,,,,,,12.7382988,3.082245,9.6560538,70.4939364455282,51.9707077151385,12.7382988,135.202942960667
2001-03-01,2001,"Q1","2000/01","Q3","March",,,,,,,,,,,,,,,,,,,,18.72193,11.21567,7.50626,76.8014997640379,38.9823249026287,18.72193,134.505754666667
2001-04-01,2001,"Q2","2000/01","Q4","April",,,,,,,,,,,,,,,,,,,,6.72199124,2.695438,4.02655324,65.7352312015671,32.0207164650995,6.72199124,104.477938906667
2001-05-01,2001,"Q2","2000/01","Q4","May",,,,,,,,,,,,,,,,,,,,10.87155108,7.092261,3.77929008,90.5403147409794,37.8391865090206,10.87155108,139.25105233
2001-06-01,2001,"Q2","2000/01","Q4","June",,,,,,,,,,,,,,,,,,,,8.8328812,6.358188,2.4746932,169.148724469104,27.6002357808955,8.8328812,205.58184145
2001-07-01,2001,"Q3","2001/02","Q1","July",,,,,,,,,,,,,,,,,,,,11.00441,8.295,2.70941,36.232759805815,35.7731643275183,11.00441,83.0103341333333
2001-08-01,2001,"Q3","2001/02","Q1","August",,,,,,,,,,,,,,,,,,,,16.13954,10.275,5.86454,69.8614321186796,53.9215502146538,16.13954,139.922522333333
2001-09-01,2001,"Q3","2001/02","Q1","September",,,,,,,,,,,,,,,,,,,,14.948491,8.305,6.643491,80.9070241723762,36.0940431609572,14.948491,131.949558333333
2001-10-01,2001,"Q4","2001/02","Q2","October",,,,,,,,,,,,,,,,,,,,11.8405791,7.6875,4.1530791,84.1208451460366,52.6921051872968,11.8405791,148.653529433333
