"Date","Year","Quarter","FY","QFY","Month","OUT_14","OUT_GPS_14","OUT_GPS_DBT_14","OUT_GPS_TRF_14","OUT_DEF_14","OUT_POS_14","OUT_EA_14","OUT_EA_ECL_14","OUT_EA_AGR_14","OUT_EA_EFU_14","OUT_EA_MMC_14","OUT_EA_TRA_14","OUT_EA_COM_14","OUT_EP_14","OUT_HC_14","OUT_HEA_14","OUT_HEA_OP_14","OUT_HEA_HP_14","OUT_HEA_PH_14","OUT_REC_14","OUT_EDU_14","OUT_EDU_PRI_14","OUT_EDU_SEC_14","OUT_EDU_TER_14","OUT_SOC_14"
2001-09-01,2001,"Q3","2001/02","Q1","September",168.391733423333,,,,,,,,,,,,,,,,,,,,,,,,
2001-10-01,2001,"Q4","2001/02","Q2","October",192.454886273333,,,,,,,,,,,,,,,,,,,,,,,,
2001-11-01,2001,"Q4","2001/02","Q2","November",205.186397613333,,,,,,,,,,,,,,,,,,,,,,,,
2001-12-01,2001,"Q4","2001/02","Q2","December",152.550802133333,,,,,,,,,,,,,,,,,,,,,,,,
2002-01-01,2002,"Q1","2001/02","Q3","January",183.052562006667,,,,,,,,,,,,,,,,,,,,,,,,
2002-02-01,2002,"Q1","2001/02","Q3","February",192.273687006667,,,,,,,,,,,,,,,,,,,,,,,,
2002-03-01,2002,"Q1","2001/02","Q3","March",203.555163006667,,,,,,,,,,,,,,,,,,,,,,,,
2002-04-01,2002,"Q2","2001/02","Q4","April",194.92517809,,,,,,,,,,,,,,,,,,,,,,,,
2002-05-01,2002,"Q2","2001/02","Q4","May",231.53091409,,,,,,,,,,,,,,,,,,,,,,,,
2002-06-01,2002,"Q2","2001/02","Q4","June",342.615814156667,,,,,,,,,,,,,,,,,,,,,,,,
2002-07-01,2002,"Q3","2002/03","Q1","July",162.836249716667,,,,,,,,,,,,,,,,,,,,,,,,
2002-08-01,2002,"Q3","2002/03","Q1","August",203.114075386667,,,,,,,,,,,,,,,,,,,,,,,,
2002-09-01,2002,"Q3","2002/03","Q1","September",195.287614026667,,,,,,,,,,,,,,,,,,,,,,,,
2002-10-01,2002,"Q4","2002/03","Q2","October",236.896623957,,,,,,,,,,,,,,,,,,,,,,,,
2002-11-01,2002,"Q4","2002/03","Q2","November",220.57388502,,,,,,,,,,,,,,,,,,,,,,,,
2002-12-01,2002,"Q4","2002/03","Q2","December",195.9130296,,,,,,,,,,,,,,,,,,,,,,,,
2003-01-01,2003,"Q1","2002/03","Q3","January",178.698417893333,,,,,,,,,,,,,,,,,,,,,,,,
2003-02-01,2003,"Q1","2002/03","Q3","February",245.275299168333,,,,,,,,,,,,,,,,,,,,,,,,
2003-03-01,2003,"Q1","2002/03","Q3","March",212.195029853333,,,,,,,,,,,,,,,,,,,,,,,,
2003-04-01,2003,"Q2","2002/03","Q4","April",207.961383576667,,,,,,,,,,,,,,,,,,,,,,,,
2003-05-01,2003,"Q2","2002/03","Q4","May",268.169322846667,,,,,,,,,,,,,,,,,,,,,,,,
2003-06-01,2003,"Q2","2002/03","Q4","June",289.634062056667,,,,,,,,,,,,,,,,,,,,,,,,
2003-07-01,2003,"Q3","2003/04","Q1","July",161.680905759708,,,,,,,,,,,,,,,,,,,,,,,,
2003-08-01,2003,"Q3","2003/04","Q1","August",221.264538959709,,,,,,,,,,,,,,,,,,,,,,,,
