"Date","Year","Quarter","FY","QFY","Month","OUT_14","OUT_GPS_14","OUT_GPS_DBT_14","OUT_GPS_TRF_14","OUT_DEF_14","OUT_POS_14","OUT_EA_14","OUT_EA_ECL_14","OUT_EA_AGR_14","OUT_EA_EFU_14","OUT_EA_MMC_14","OUT_EA_TRA_14","OUT_EA_COM_14","OUT_EP_14","OUT_HC_14","OUT_HEA_14","OUT_HEA_OP_14","OUT_HEA_HP_14","OUT_HEA_PH_14","OUT_REC_14","OUT_EDU_14","OUT_EDU_PRI_14","OUT_EDU_SEC_14","OUT_EDU_TER_14","OUT_SOC_14"
2009-05-01,2009,"Q2","2008/09","Q4","May",420.761632280708,123.629356429491,27.8507950436663,18.6605937796617,70.577064542,25.5482006606828,60.5322492392475,4.636183826,23.04475444398,6.81892428220383,0.150657237150849,19.0130947718081,0.479203790263057,1.43490148696404,9.61066518179319,51.3108383618668,0.185064606,10.8407063148333,35.0799139592144,0.41596782,67.0920696693783,35.54662906,18.3326827541529,7.53845350745015,10.6103188892845
2009-06-01,2009,"Q2","2008/09","Q4","June",595.645678084628,124.199517985133,27.7995550265292,7.39835937732836,117.165949508,50.5226232055013,145.989831349447,18.063605881,11.3962684588122,35.379959448621,0.252509747679921,70.8828639267404,2.2341254511731,2.01866224940689,20.6781338688893,36.4931165985191,1.105222864,13.7207209208333,14.6093784245255,1.088596126,73.929981048657,32.215765065,25.9125856652932,9.24104935924803,23.5592661450753
2009-07-01,2009,"Q3","2009/10","Q1","July",516.411200065773,121.821271199052,31.2757620426989,33.021658,61.1839107462213,7.35002453741031,178.741630491588,0.545570444,59.6036508155895,27.6956856987885,1.52102408273286,87.2435337072769,0.823606887212309,0.359360940237392,15.1298170047947,48.3764284338181,0,10.802647513,24.0498822810963,0.126227855,74.0095006926511,49.3162580108816,9.849632927,15.0160977547695,9.313028165
2009-08-01,2009,"Q3","2009/10","Q1","August",391.986067783641,90.3290172465837,31.3518547377561,7.657462,28.5912125434874,22.463794262,112.181249155663,1.30508193885448,12.4904377279735,34.2847889073727,0.01666498,58.1688560552764,0.16674143,1.35631414428854,4.208516863,29.9299594636092,0.517428783,3.850183352,22.2878780018372,0.218470108,84.8171650437306,34.740441571802,34.6173960653318,10.9217905195968,17.8903689532792
2009-09-01,2009,"Q3","2009/10","Q1","September",402.446902660347,109.34044361617,35.1772019611009,7.657462,28.737323959,15.3095884769409,137.137777265227,4.18230102196809,18.1726422251139,52.1503469998276,0.808610347255825,55.6149335350613,0.200796175,0.597803675,6.6040738184349,36.4259359951244,0.716789603,16.908606510898,18.5015855592469,0.10111535,52.3229252055961,31.7579697760301,11.125112027,6.03032848456599,15.8699152988533
2009-10-01,2009,"Q4","2009/10","Q2","October",574.03975259911,144.173293434635,38.4184197651762,34.553517,56.9255444816613,29.738689017,178.388512927839,0.429856203615899,37.1303307791502,38.9557868195849,5.29150652568866,94.4367885177995,0.218852439,0.880502097349544,18.220645576,41.2403654162782,0.161088563,18.655773087,14.7455436148544,0.647573745,61.9536201365643,41.0283193948608,12.0859795987035,7.723502148,41.8710057667822
2009-11-01,2009,"Q4","2009/10","Q2","November",493.873061650213,117.530811325164,28.8403737455731,7.64225,40.8568444868533,64.0677818738442,83.4259267994472,3.24769720270405,28.1792077160741,14.5454944444319,0.443428021002094,29.8378101785765,0.168325801,1.08759493034674,6.302608286,35.397302880558,1.256299339,11.911813094,20.42510941,0.228816085,97.358293497,49.838844726,24.263754531,16.741607336,47.617081486
2009-12-01,2009,"Q4","2009/10","Q2","December",424.480025948221,111.290802919365,33.2299453892221,7.64225,29.8199811914584,31.2116823170176,135.821055455686,0.532127793,24.5434830356672,40.5978963966356,1.83944102268598,62.1610376306976,0.138563145,2.44703481792655,9.529126403,38.7229446642655,0.948005956,4.85181360118332,11.093107589,0.290728362,60.8939146145011,34.556077373,14.6136729557802,9.59698802299364,4.452755203
2010-01-01,2010,"Q1","2009/10","Q3","January",467.718959718043,120.877173130445,25.7286195437232,34.086833,75.0036764395722,17.890527837,109.440541701394,0.468006188839301,61.7674718260191,5.09512872305443,3.40338548660369,36.8528913791951,0.320707751,1.05381521610736,6.365077596,31.9397268850249,0.135061673,8.856405857,11.715051472,0.428333682,81.0134015603862,30.487408772,35.7236534723862,14.418904001,23.706685670114
2010-02-01,2010,"Q1","2009/10","Q3","February",403.863084886304,105.186778357489,28.6505524270849,7.64225,38.724843498462,35.369817648,71.8509442846416,2.61154799730836,7.52853595626927,25.6401401109033,0.220715782,28.9511387511607,0.230504246,0.988301876611434,4.47910086964411,44.1728748024887,1.145262003,4.780259656,0,0.355852722,78.367108868968,38.455291679,13.860375723968,16.010843611,24.367461958
2010-03-01,2010,"Q1","2009/10","Q3","March",593.793047346764,96.1560017631061,34.1024691367587,8.536389,140.47275041323,44.1599168290324,147.422059885559,3.58348622248653,13.6158820799848,22.4949004558662,0.664659884619023,83.1244075326026,0.340568064,1.50423375834353,19.833587335,38.9919641422126,1.727823336,9.57727258961745,20.853007682,0.380571457,78.4880936786423,41.084729953,26.4387589186423,7.653051273,26.383868084638
2010-04-01,2010,"Q2","2009/10","Q4","April",661.711798931859,182.05727945471,36.9973490916352,33.449538,197.176579620567,36.640718363,74.640839336754,1.35830267648038,4.60267806140743,1.43219829117615,1.82928118573414,62.8840810839559,0.484537967,0.500495234,18.153307382,45.0376021502503,1.005591898,13.035286577,24.684844626,0.356456856,96.2002574105777,59.196032681,11.4507389915777,23.885081562,10.948263124
2010-05-01,2010,"Q2","2009/10","Q4","May",802.473860498811,109.738088955629,28.1517787362054,7.64225,183.623364288,32.582579187103,199.068019595555,5.3539090001282,41.8737723722603,69.7663462031322,0.345925597845979,64.583692670188,0.567242598,10.0347998253823,10.805464601,121.604009304765,1.203858551,5.33399492,18.1580443441951,0.663573505,89.6309562633762,35.071221237,35.8557466903762,12.184146792,44.723004973
2010-06-01,2010,"Q2","2009/10","Q4","June",1052.68959397886,218.413069007805,33.1990555160101,7.64225,154.391043081,109.777062965,265.850879474005,5.76186538571262,13.8325934284823,46.6512453840118,4.896751585919,157.556197402527,3.627964396,2.61224451091345,18.86964405,74.0631171616224,1.932872843,16.496156273,16.3816834118575,2.229014988,73.4143347683399,39.7514139903399,16.634967168,6.697478875,133.069183972175
2010-07-01,2010,"Q3","2010/11","Q1","July",478.174860028601,129.359276064288,25.9052171203296,37.298688689,56.5179985077023,19.0013529704553,115.78475872974,0.72554887975823,3.76423550846317,20.6931162085019,0.036298296,87.8553392249707,1.43782573047115,0.808376727672954,14.1487140719055,41.6043659727344,0.063927424,15.568352697,25.7251658927344,0.038594447,93.9624141901199,52.7022653101198,10.519562921,29.491809603,6.94900834698359
2010-08-01,2010,"Q3","2010/11","Q1","August",428.689131530989,96.8453182497643,27.8200415380222,8.362875176,52.7184061633169,31.9574623197357,90.6296099290595,5.21835280734235,8.98321202464362,6.71988240140626,0.327746865,61.3096861379849,0.866009721287148,1.12287772089508,7.43272465536912,28.9007021365455,0.316620063,6.977682016,12.3121336935455,0.786434729,95.0482262792524,42.7691153192524,35.136454919,9.167414319,23.24736934805
2010-09-01,2010,"Q3","2010/11","Q1","September",672.162172716347,94.100917369646,32.6387794347407,8.94053946,228.338844041626,65.5470192041274,146.323884198398,1.61864305914564,4.69019442057832,116.4027133754,0.0577677,18.8979001178738,1.4858878252433,1.04444895347379,6.92612170851463,26.3146962239321,0.670175749,5.038708302,13.5577353009321,0.321684988,73.4184974787086,45.4646034867086,14.191794972,9.835510245,29.8260585499202
2010-10-01,2010,"Q4","2010/11","Q2","October",995.484858260574,181.119894088445,37.525006884787,32.035772434,260.898938804699,40.233673874497,217.005321693409,1.04330567374142,70.6551622359298,57.6018046682007,0.360936574,78.967231311683,0.370087486,0.846773132,10.1779608677788,57.789638927465,0.152727006,16.660594816,37.228237730465,0.481740243,124.56995410173,67.9367845822551,12.136538347,42.4401996724747,102.36096252755
2010-11-01,2010,"Q4","2010/11","Q2","November",1030.02094787042,218.650551701804,31.642017168579,19.221100929,143.677179290688,131.319470259414,288.230265656981,8.84946976843977,19.4323324137728,102.684524641557,0.329109696,144.27976203586,0.815554712,2.085240222,20.6924572546481,54.6564745872282,0.456924697,11.396521519,24.8862912752282,0.784203106,117.799037314269,55.6506449212911,44.474199614,10.8162111499781,52.1260684773883
2010-12-01,2010,"Q4","2010/11","Q2","December",520.027338448729,167.477932171613,34.7622724829808,14.052243397,58.679058188685,38.9949564004543,116.229175332354,2.0418499951225,14.1506247687001,42.3599015617621,0.042149592,48.6927278830255,0.430338961,1.585318645,7.49395776813302,40.492781446781,0.695373505,5.682670445,21.571974044781,0.288520031,83.9110247647207,52.3586561226589,16.996610881,10.6146924190617,4.87461369998763
2011-01-01,2011,"Q1","2010/11","Q3","January",704.782668647464,200.13402786138,33.8783663856613,34.372812193,133.645507478867,46.4685483692807,129.32307727345,1.72091288964421,80.6360111510041,15.145341896712,0.117323224,27.4042801248141,1.07522826638217,0.436911607478766,18.329611789953,70.9587817132772,0.213055616,13.540857439,28.6260567922772,0.158000957,94.0475171307778,58.689937362798,18.701860845,15.1713195539798,11.280684466
2011-02-01,2011,"Q1","2010/11","Q3","February",886.281351123541,225.438911123616,37.7105744482781,8.983324537,188.43847984912,91.0977889469186,187.641409089019,2.72686386795559,16.1240554636762,45.3254873822086,0.371342276,112.691295308404,0.886253482106187,0.793088794010719,7.58030926777997,56.9985215819606,0.195989117,14.002188859,10.9905491899606,0.475700389,114.181764639116,48.549192386816,28.66476628,29.0268366062998,13.635377443
2011-03-01,2011,"Q1","2010/11","Q3","March",736.639175276984,137.290802285438,45.3444101708991,8.90763243,208.111671924737,156.306460373139,60.4716609504078,1.57593614716824,11.3189806071655,13.3209935067182,0.016707658,24.7932086073991,0.77725438788584,0.541277304901673,3.43227382335074,57.5312169676512,0.756285375,5.584309295,20.8101301006512,1.152278276,78.9835981903588,48.9809095730216,15.950154056,10.1137595823372,32.817935181
2011-04-01,2011,"Q2","2010/11","Q4","April",835.841585520002,198.576490937821,38.4893887950648,33.37792918,233.412390431792,55.2787566726292,143.543957488348,1.95174771545132,20.3896916210524,37.4270943199406,0.041231164,77.3179324725836,1.361630035,2.05692156683367,16.0327414362282,58.0557797245946,0.405124374,13.254326649,37.4290078985946,0.352588926,104.800904276206,54.3137450790741,16.268258186,29.7866147121314,23.7310540595508
2011-05-01,2011,"Q2","2010/11","Q4","May",821.418357518029,148.0409377734,36.2706660258204,11.636532445,156.675343756124,49.8814626075851,285.04244313291,4.5692541105997,23.3862929907491,108.489541750021,0.084207069,129.373746993561,1.080396788,1.21133067496844,7.58525070745296,57.3004160357183,0.171760319,10.077852668,29.3211119797183,0.551874936,84.8930881301834,52.3823462331736,18.650477102,10.4689047390098,30.2362097636883
2011-06-01,2011,"Q2","2010/11","Q4","June",699.728512696707,172.966087153065,41.5583660937115,11.048108769,86.7920235940901,73.5137135558155,133.430192215045,5.33279239865061,49.4876519439455,22.481181591088,1.380478623,38.7504122379551,7.639075484,0.75269698421591,6.08963719754907,114.107770468323,0.43026082,13.127558813,34.6170748933228,0.111568825,85.7576469525581,47.4448874754911,23.882496227,10.567430390067,26.2071757510461
2011-07-01,2011,"Q3","2011/12","Q1","July",713.22862320873,167.018034417127,33.1895987100156,30.923923693,49.4635058252627,26.5784535857693,189.215668688484,7.13304186698089,54.5468589076721,4.96544056934695,0.531421901383492,119.628534556101,0.817926184,0.511781391,25.7569902396023,46.8233093123294,5.033363006,13.643336071,27.354512219,0.175667387,132.538501803028,70.774436973,35.157677025,23.167139283,75.146710559127
2011-08-01,2011,"Q3","2011/12","Q1","August",862.913090934719,148.054576632632,39.7294270187931,8.718313583,173.673688623379,77.2873985834507,250.636729089239,4.84170678670065,7.72318730156927,18.129193674006,4.73466467875215,203.306267464211,0.342843045,6.05113268524373,39.9709760910289,46.9953203402872,0.811770714,9.945888645,16.615044017,1.0186823,97.790243199,54.195160331,17.076627113,11.970005662,21.4343433904581
2011-09-01,2011,"Q3","2011/12","Q1","September",530.589032421628,107.175698585757,48.1162359497484,9.292651243,95.7033100047586,34.47922245847,123.349329666217,4.024981395,9.81791943243278,16.2727343598756,2.35786292280519,82.652001706103,1.526709927,1.93825154138531,15.8014880488861,59.6537374834638,0.361842934,8.309579285,14.5686571,0.069508418,70.9284488576908,41.121234201,13.86356584,9.072324676,21.490037357
2011-10-01,2011,"Q4","2011/12","Q2","October",709.713773284771,210.970179025765,51.6979303519467,33.029778529,101.431698309499,39.13678843,70.7895828314494,2.65785982208917,26.7117194740801,14.677179624796,0.0591202694108992,23.0143699490732,0.747228584,1.56901429549029,21.8626899857604,62.1741698974308,3.559938287,15.404901082,28.839536997,0.859251563,168.789737485377,81.179206241,53.99946819,24.278658502,32.130661461
2011-11-01,2011,"Q4","2011/12","Q2","November",759.094770059243,161.54724809508,43.0247132710537,9.441368042,57.1714467237133,77.40551226,261.982900948526,11.3496287110598,13.997808130029,79.3459130323852,0.166330097,146.365938797052,0.902235785,2.76191976842661,8.15275062359054,80.9951745767287,0.437169208,13.134123346,13.800261497,0.139596844,80.9657164988159,43.970810573,13.2338172859896,6.925609452,27.9725037203617
2011-12-01,2011,"Q4","2011/12","Q2","December",571.162247111734,132.932421551533,49.2039210852524,9.67610729,99.0126952965517,52.97007992,107.85332704577,9.90658521402296,12.1779334676423,21.3624748132047,0.560742428299412,53.9500648352164,2.82828668271435,9.06346180243018,13.2273087470956,61.3025051498723,1.2489739,7.647699311,19.4544668035277,0.313764525,68.6947351775453,42.952588815,12.017841978,7.567634856,25.7919478959359
2012-01-01,2012,"Q1","2011/12","Q3","January",1223.46580447174,193.840736095361,42.98430035247,31.99832181,130.357997178323,49.245762868,569.515154594729,22.8328809427716,98.5710502686509,129.488751057211,5.46022050707394,306.477325216022,0.704031258,1.50001498121648,17.5990278821587,86.7293170999413,4.781786762,17.065863354,23.075053817,0.904051686,120.984663741702,57.843318592,35.525250125,20.685804475,52.7890783443043
2012-02-01,2012,"Q1","2011/12","Q3","February",732.441195046736,152.939719035743,51.6235983311582,9.438505196,101.892279601832,77.834672662,226.218826333775,7.0932964769323,9.71824651147903,17.7724122849057,0.448546218438237,180.42213052502,1.088548354,0.968690415,21.6165562740458,34.9977364685924,0.176109751,10.146790778,0,0.083250142,84.9815694870133,44.9287919486,18.327230868,8.650931988,30.9078946267343
2012-03-01,2012,"Q1","2011/12","Q3","March",507.481797261747,137.935063748465,61.0702648555056,9.689120126,72.0319853186982,28.907608673,105.748184119128,7.05251091111572,7.94555811968514,28.3397316707365,3.45159647909789,52.7886222947283,0.224933448,0.440249286,5.97329089959214,55.62498001055,0.945345988,7.348607967,12.846729116,0.140150995,67.9093910523133,42.386192707,13.522988026,7.593080783,32.770893159
2012-04-01,2012,"Q2","2011/12","Q4","April",877.104313823592,239.921470029101,66.2808044877823,39.475042967,67.265830528,66.99297975,170.073384362155,11.102627900289,18.5056963240637,9.65257178664491,1.39330634637832,107.644153688638,0.659503244,14.9574163591632,38.1961441230376,76.404152177,3.873042368,17.908669259,24.495128458,0.607981229,124.465263085895,64.4964823,22.017128649,15.397443802,78.2196921802401
2012-05-01,2012,"Q2","2011/12","Q4","May",740.931325302119,133.723333544555,59.9569017743301,13.442689371,148.555315915335,44.2350135864534,185.930830717717,11.7472014216159,16.8274699964652,64.8367464191369,0.97401822380378,80.690223321718,3.748995665,3.78299928806872,15.7219455272986,45.8184516567509,0.213927367,15.971320344,19.191520586,0.220069035,116.679323623993,52.235319044,18.366020789,9.508207934,46.2640424069475
2012-06-01,2012,"Q2","2011/12","Q4","June",795.693071837715,200.46697689763,56.4245349112377,9.941251974,75.0339628878354,52.1261773143635,265.247650757399,3.3353474384027,34.2971313912638,67.7976592009531,2.305466083,151.034140241048,0.531739831,6.71674333220159,10.1972717513089,60.5904051718349,1.266865884,22.264857787,30.8950507353969,0.96357817,94.8882580789347,44.489421779,13.102163221,10.027013023,29.462047476206
2012-07-01,2012,"Q3","2012/13","Q1","July",788.896891892589,223.146076724503,65.1716546368023,28.57036718,62.2561262276053,43.6542353997686,200.275649360522,2.023373975,53.1790766896894,6.94313148268793,0.345203246,133.846731812145,0.977824092,2.87753613880691,36.7078814238155,81.1083475726875,0.516021778,20.1347508741577,18.4156232902931,0.409800268,96.9537226890065,40.930856897,12.4153603976899,25.4483342363333,41.5075160878741
2012-08-01,2012,"Q3","2012/13","Q1","August",945.56713594542,198.681521958175,78.7590261636486,12.382128694,113.802272785225,69.3367443499827,244.894067659621,4.788874241,78.8444567981778,12.4001317867538,4.70189588640834,129.702230735281,1.271767002,1.549271609,31.2437498336142,46.6292012368229,0.895275231,9.36491359904734,24.8676415737756,0.801363467,183.48078707798,83.334143901,53.422879272,31.9051353043333,55.148155968
2012-09-01,2012,"Q3","2012/13","Q1","September",564.499102666524,184.226952541138,77.5383221839625,9.426991699,37.284488263,27.9908743223844,114.167252407391,2.005419471,15.055503947275,57.3747555746347,1.21103262623676,32.712711860245,0.251615181,1.71211919805101,23.3283150728524,85.7101107096399,0.18633692,7.49093485117351,14.4287577733594,0.2963281,82.8464079050672,47.386696275,12.7846474544336,11.7752252050125,6.936254147
2012-10-01,2012,"Q4","2012/13","Q2","October",398.691115014707,162.012288677691,79.454211825525,0.079660395,46.5051517422618,32.6668221720296,50.0743790158865,0.520962442,19.1246915182829,5.67832199256595,0.0758549944800348,22.2017262575575,0.453166414,26.9615682694959,4.52468182483597,7.06821112819638,0.284033079,3.34350125419638,1.098971238,0.130307355,49.9944216213099,1.216592348,27.19444673379,8.383437015,18.753283208
2012-11-01,2012,"Q4","2012/13","Q2","November",1524.42175382501,238.465823974024,76.8118026596488,28.09181668766,108.569412794812,75.925753135,572.836021583277,6.970000367,53.7162837356062,30.6826215697045,4.06070079317767,464.109853571789,1.878171419,2.91579667986553,28.2312055589428,280.117096416244,1.356950648,18.4808969782803,27.468070037,0.868273162,206.600052816792,83.493946221,58.843252201,42.3045549262181,9.89231770405172
2012-12-01,2012,"Q4","2012/13","Q2","December",988.379784709897,202.358222118359,70.0131412674495,19.565445415,72.1264376334688,34.0159058045168,247.133202633654,3.756112421,37.9216166022339,18.8305593247158,0.162634947,178.359157802704,0.763039089,1.179770561,14.2167891477834,222.220310970732,0.38731659,10.3321841425232,28.754150600305,0.205179095,158.506030148383,99.061102374,28.127695928,21.320774569,36.417936597
2013-01-01,2013,"Q1","2012/13","Q3","January",395.212666508595,168.107123922377,75.2350156465602,0.51086947,83.9125394935848,37.488784709,53.887507018177,1.043901644,9.38958588928522,10.9782832439916,0.452544218886609,28.8174395320136,0.49656895,5.50435826066881,6.25497563445929,7.09704410780153,0.106175374,5.25466496680153,0.955177321,0.136127582,12.6880490095272,0.275416057,3.449684937,2.419099514,20.136156771
2013-02-01,2013,"Q1","2012/13","Q3","February",1226.88311301052,259.912203853983,69.6747934550601,34.613412071,118.524148270303,63.1809863534179,374.742535638249,4.382836201,73.6193687648178,20.0982753993571,0.260366217,264.776775236074,0.564632654,3.09961236941826,15.7117547542347,143.217836847368,1.042826246,14.177184168,0,0.928927086,221.045636595585,77.989438833858,54.4598546621856,45.8717278553333,26.5194712419623
2013-03-01,2013,"Q1","2012/13","Q3","March",728.872516095943,186.192382563523,76.6742392604088,20.888418894,64.6299942899791,43.353773914,135.560067719632,2.950097397,11.7949524549602,38.3872638150979,1.561280135,64.4531616535741,4.34122242,1.048314924,43.5061551314896,42.134467696466,0.655987714,8.434755517,30.07490689,0.138611106,153.186560362725,99.645443001,28.4857057968295,18.1772720436667,59.1221883881276
2013-04-01,2013,"Q2","2012/13","Q4","April",640.226715013477,206.346044307459,78.6092636634018,10.486897785,92.706781665758,44.413189248,131.841626357808,1.377191082,27.1956460016919,49.1746012224354,0.217711693,42.6108922536807,1.315058212,2.53045363483776,9.57227537805217,29.6382096827928,0.408280615,6.317090211,18.091613957,0.664491569,100.785981515028,49.70804672,16.992868074,22.6247031066285,21.7276616547409
2013-05-01,2013,"Q2","2012/13","Q4","May",664.392122466934,230.334486692149,73.5755980892959,32.0856706713022,82.9468352299103,60.3986624308769,140.260561151009,2.510875476,36.1476583268316,6.67403994917298,0.097631367,84.963266366004,0.806494374,3.77343748818683,13.88020170343,55.3449243816136,1.414059157,13.2949431650219,8.61064579306645,1.196184008,25.4193546330596,5.07178428067797,3.201872467,5.325983376,50.8374747486994
2013-06-01,2013,"Q2","2012/13","Q4","June",1183.20089280887,252.395349208535,68.1839813951066,20.4315064196975,96.2783233690063,85.332393708,347.663872876319,18.124361385,49.9334581525552,8.87619821300712,0.260840166,249.05421540519,0.680145463,9.367449088,29.659464349436,74.9044943027822,0.61997699,14.31419057,44.698259431,1.384020072,162.494994436728,86.4788056507123,24.3667625466954,40.6094484362448,123.720531398066
2013-07-01,2013,"Q3","2013/14","Q1","July",1169.52997535709,212.317905558228,68.8633380849949,10.581978584,212.35892621756,44.292243646,477.828028782601,1.947563124,63.9146379440964,33.4713659497503,17.1116845290533,358.909293939701,0.328758659,0.301888289,11.070438185601,50.0088930912779,0.084609925,17.3030897014129,17.397298875,0.040804769,144.983762767821,66.527191439,46.2260228024546,25.3467932470833,16.32708405
2013-08-01,2013,"Q3","2013/14","Q1","August",971.312806357115,238.885135635853,74.1214618229785,33.56159921,47.0578101438131,57.745735397,229.58257656813,4.436613609,79.5573845154741,26.4976693869438,1.495952436,104.971558940712,0.870166708,8.52245627489616,40.6816024068039,104.153377947675,0.502746041,14.6744826928599,29.2117422758153,1.318392108,204.938212466946,81.1855050245,76.224263417363,32.8888982760833,38.4275074079967
2013-09-01,2013,"Q3","2013/14","Q1","September",786.829040381851,193.526027913253,77.3468293486268,10.796181868,37.5209283292045,59.5165773949824,333.849398320597,3.12036909,17.7074456894779,54.6301644085309,0.604672603,197.230439744438,36.1488322520393,1.273905237,6.36639579634647,42.4658089333223,1.230215162,8.695078533,18.626514215,0.304766927,85.667846855026,49.962019668,24.8144998304427,6.83003239058333,26.3373846751193
2013-10-01,2013,"Q4","2013/14","Q2","October",892.430997679426,263.393755804031,85.7994221289842,34.607407772,128.151656557721,41.049328661,125.691958882974,2.225808132,43.2482072872705,9.09788721915555,0.249947167,66.0312806085481,0.560693468,3.773564068,32.4321198611395,56.5362878465524,0.1287674,25.4165051555073,29.2707891378153,0.09158455,197.907859289535,81.2110366365,66.1577827916727,41.5922200862827,43.4028821584731
2013-11-01,2013,"Q4","2013/14","Q2","November",1163.51840757843,235.590369869134,72.1806348438978,11.408282373,94.7749661294524,75.812485855,465.44792029302,5.773665289,24.3302453048943,42.3787206913754,1.768106169,366.245523870751,1.80402008,4.27099909677843,36.1062102031016,91.196785815536,0.152883381,10.165555833,17.515442157,0.823455558,118.464869597416,56.635538256,40.0591505100693,10.4493033343467,41.0303451609871
2013-12-01,2013,"Q4","2013/14","Q2","December",860.824400970858,209.135913231381,76.2821688895092,12.906701047,66.8720172951138,54.341040133,263.957608720724,5.29839614037192,34.3033400156217,34.5045107991477,0.678387057,161.665709261936,1.79556981,2.82302128561789,78.0153283016578,58.3442761269805,2.002468533,11.637355032,18.250300078,0.544917632,97.1907673493833,50.948419127,20.450837021517,18.5581527378663,29.599510895
2014-01-01,2014,"Q1","2013/14","Q3","January",1085.38438781256,277.679027505853,80.8861123998752,34.710806943,70.4293327520191,34.297566284,294.27928521164,2.418707262,76.5549820432747,2.48023037573343,0.414949559,207.318441564632,0.620764362,15.9800147430422,129.518079742069,48.660084205,0.302913529,15.989818654,30.93047696,0.300498645,187.669946422935,88.00384166,59.9856866631511,34.8094640510833,26.570552301
2014-02-01,2014,"Q1","2013/14","Q3","February",864.481828971679,190.266450080991,76.7330721010722,12.342581472,128.067229056733,99.80495114,201.589795861352,4.732210016,21.9454721934632,24.3597150514922,2.466347247,123.618650428397,2.46415223,1.369944299,7.55221401018642,86.6457505622055,1.024619291,9.03633508520547,19.462337166,0.320487947,119.146653101147,52.613884773,37.7237343849822,17.5173225358442,29.7183529130639
2014-03-01,2014,"Q1","2013/14","Q3","March",715.412650394284,193.432155681627,83.7461726756374,15.221494574,103.662030152985,56.997022675,93.3736656673073,5.889174689,31.3473559995597,13.8518592046998,0.416575114,33.5732356190478,1.830047352,10.8171209825438,14.4352098204229,75.560078623853,0.375776175,37.946995189853,19.839693575,1.769979627,139.100597677546,61.290914219,41.4344315894219,12.9342777566581,26.264789486
2014-04-01,2014,"Q2","2013/14","Q4","April",1083.38913940186,272.795772742165,97.8159601527487,40.090511822,85.6160840618889,57.761664559,372.081994564894,3.50126233157029,30.0091454939125,8.55661831738524,0.355798812,307.476144070026,0.82240625,4.182182051,21.88318688097,54.1264949079551,0.378355332,20.3830218639551,26.409955019,0.359952047,127.47954210402,64.351338537,25.1454920930353,24.9526286194167,87.102265482965
2014-05-01,2014,"Q2","2013/14","Q4","May",912.767818136737,201.489337248923,89.8666151037293,14.00243532,140.563424122016,135.811811006,202.574915256099,4.301375879,41.9627869094522,37.6925796534065,0.896264004,107.30377582224,1.463289201,30.1531197612226,15.8185975722588,53.5797546933073,1.472661577,12.9243884863073,20.448020972,1.133008281,99.3461652503847,54.709926282,20.8102680752508,11.7122964174167,32.2976849455264
2014-06-01,2014,"Q2","2013/14","Q4","June",1136.96388060189,314.564444715591,86.4957214293503,13.564226957,144.077520084894,133.946151631,188.088758876729,4.477538811,59.5775435429541,27.5432681034502,1.161638411,73.8630421069755,1.341713348,9.03605686583627,23.8760478016798,106.164405621288,0.184295742,16.6998384153058,25.321733982,0.594769782,110.017976318392,49.63120324,42.4448859221177,11.486472320782,106.597748904479
2014-07-01,2014,"Q3","2014/15","Q1","July",1240.30495697773,336.085136901454,93.3443372779464,37.0341851446177,46.4137060478511,52.3501067671724,426.674177790857,12.601892315839,16.9597326538741,89.5097984556776,0.271800568,298.225806536466,1.626866576,4.1062038081169,41.700737108318,81.1446897065847,1.183509547,24.730463320188,32.1081478305403,0.77288649,228.525909950278,93.7649452910645,66.3312534445022,51.9839041135416,22.5314024071005
2014-08-01,2014,"Q3","2014/15","Q1","August",1006.21624145692,247.39387397314,86.4399422432675,13.1966797673208,96.446453551,76.0725305544097,346.432177563232,9.13160189489437,35.0548791047778,32.8671640229807,0.662918976,234.693222347481,1.297663608,8.6792115050047,22.8944731132308,50.2343201112481,0.622125191,8.65573423023806,19.3564753405654,0.218886486,131.274300368259,60.2423178358198,38.577015325485,17.2344416493207,26.5700142313942
2014-09-01,2014,"Q3","2014/15","Q1","September",767.856657239983,197.876616036033,99.1624152565966,12.3093909941208,128.656141485542,55.8124108112171,162.093505194385,2.659451359,70.9152598871967,46.7308145887645,0.837336855,30.5317395585752,0.600607141,2.38748442249692,21.4976031899666,56.6353570348393,0.252592685,7.667873055,18.8658531125711,0.645829158,85.0786369480149,53.8219256050454,16.2815624767526,5.1690401005742,57.1730729594888
2014-10-01,2014,"Q4","2014/15","Q2","October",1108.65739026743,345.792726191257,111.594203492382,36.9160329987237,80.1849316486491,49.0084041838279,215.187441028773,8.590834619,16.8535757335034,42.2927554968843,1.619524186,135.034977812386,1.488199215,17.8061298088198,55.0373979839881,76.2227111373908,0.16054553,28.8130355420746,31.0889210113107,0.684829135,232.442148629891,96.3149673041183,67.7021205913882,56.7289796524958,36.2906705198295
2014-11-01,2014,"Q4","2014/15","Q2","November",956.008419142088,226.759532300855,93.7345503874691,12.9068326981548,119.259377423733,78.039357699,267.752440255949,4.942231459,29.6227624714856,11.5799188359252,1.446707763,193.225306523538,1.053232815,3.20566780854352,17.6921762158744,83.1454602320834,1.493313149,10.3489440801198,23.9422733657665,0.279085205,107.699931339207,61.1668712540681,16.5901715194954,11.9836516684685,52.1753906618431
