"Date","Year","Quarter","FY","QFY","Month","EXP_NDPD_AGRO","EXP_NDPD_MID","EXP_NDPD_SPD","EXP_NDPD_MAN","EXP_NDPD_TOD","EXP_NDPD_NECLW","EXP_NDPD_PED","EXP_NDPD_SED","EXP_NDPD_ITIS","EXP_NDPD_SUD","EXP_NDPD_DIT","EXP_NDPD_HCD","EXP_NDPD_TTD","EXP_NDPD_PST","EXP_NDPD_CMC","EXP_NDPD_GOS","EXP_NDPD_DPI","EXP_NDPD_RBD","EXP_NDPD_ADJ","EXP_NDPD_LEG","EXP_NDPD_LGOV","EXP_NDPD_I","EXP_NDPD_I_DOM","EXP_NDPD_I_EXT","EXP_NDPD_CEN_TOT","EXP_NDPD_LGP_TOT","EXP_NDPD_I_TOT","EXP_NDPD"
2013-08-01,2013,"Q3","2013/14","Q1","August",45.12096337,61.460013225,53.054411280054,181.632066881583,102.525956337815,24.57811695,55.195584545,46.8137349649167,2.57230615,6.471347407,1.53225479,4.090152042,0.870166708,101.5471477455,30.8012314410613,18.291485858,,,,,,74.1214618229785,67.2216410844857,6.89982073849284,440.942401672978,295.614538022953,74.1214618229785,810.678401518909
2013-09-01,2013,"Q3","2013/14","Q1","September",37.104509352,186.060991415,10.460527145,78.8712551345834,38.085906453,8.781109015,58.430767619,40.0545135639167,51.827564316,3.500634264,1.610431734,1.483396034,0.725894685,43.807022801,26.5510389810613,20.072585248,,,,,,77.3468293486268,64.3899843473716,12.9568450012552,514.062846284478,93.3653014760833,77.3468293486268,684.774977109188
2013-10-01,2013,"Q4","2013/14","Q2","October",70.981055799,36.654859813,32.752375978527,183.442836189783,53.978921595908,22.708516785,41.321929394,60.6546425979167,0.793569617,2.67350792,6.615717889,2.442804015,0.560693468,84.6216789285,45.2242652500613,18.315793394,,,,,,85.7994221289842,69.9945270446568,15.8048950843274,372.56438066627,291.178787968426,85.7994221289842,749.54259076368
2013-11-01,2013,"Q4","2013/14","Q2","November",83.683549623,319.693208646,15.756899487,108.249885291083,88.182900954,15.819347615,74.216108854,61.9143879299167,29.059366063,8.241501696,3.108377552,3.229657447,1.80402008,59.190832112,37.1066322790613,19.782986901,,,,,,72.1806348438978,66.5081120528087,5.67252279108915,833.731338868978,95.3083236610833,72.1806348438978,1001.22029737396
2013-12-01,2013,"Q4","2013/14","Q2","December",51.108322897,175.442071639,23.343318852,94.0340298771667,39.269347098,9.441157994,66.108113676,41.6507714069167,9.871582954,2.875720779,1.083533314,2.121141858,1.79556981,51.543019222,27.4469259780613,21.903342627,,,,,,76.2821688895092,68.4974884777621,7.78468041174717,519.755185697978,99.2827842841667,76.2821688895092,695.320138871654
2014-01-01,2014,"Q1","2013/14","Q3","January",49.335865134,204.027191436,66.885639422,185.575963565083,48.038328764,46.870315698,32.561660922,66.2562109969167,1.907091224,1.952234792,0.970253843,2.30755095,0.620764362,89.162734143,57.7283715770613,17.382382402,,,,,,80.8861123998752,73.6031881814982,7.28292421837695,526.043039894978,345.539519336083,80.8861123998752,952.468671630937
2014-02-01,2014,"Q1","2013/14","Q3","February",111.823509916,89.944618295,19.341171708,97.8742157890833,85.094220255,6.953402558,97.243389559,38.5015154039167,23.982254438,8.260368669,2.203029523,2.995130133,2.46415223,54.78899011,27.5918638490613,17.83712449,,,,,,76.7330721010722,70.4394313966133,6.29364070445891,587.611887877978,99.2870690480833,76.7330721010722,763.632029027134
2014-03-01,2014,"Q1","2013/14","Q3","March",86.15060116,20.865697065,13.888131592,98.9035198410833,46.28397899,17.497447822,53.927588177,37.6867289349167,7.556997479,6.427118583,0.943001112,1.776843906,1.830047352,51.345719819,24.5478349600613,17.358635277,,,,,,83.7461726756374,72.9817971233061,10.7643755523313,375.881878205978,111.108013864083,83.7461726756374,570.736064745699
2014-04-01,2014,"Q2","2013/14","Q4","April",70.841496401,303.642995216,33.14075803,115.886275579417,50.8098439946667,20.728469386,55.335786653,62.0766254619167,6.379782795,3.068159905,1.977158844,14.974637917,0.82240625,86.028031438,39.4029270420613,15.979952135,,,,,,97.8159601527487,75.3018509039076,22.5141092488411,687.010845243978,194.084461804083,97.8159601527487,978.91126720081
2014-05-01,2014,"Q2","2013/14","Q4","May",139.553935076,66.439394406,16.955690824,95.2327797094167,48.7877927996667,17.938775239,134.519644222,48.7633269639167,8.636943372,4.68306373,2.097609533,1.981979079,1.463289201,52.257396395,24.6077324470613,20.603326772,,,,,,89.8666151037293,83.7743062244287,6.09230887930052,584.763513123978,100.059166645083,89.8666151037293,774.689294872791
2014-06-01,2014,"Q2","2013/14","Q4","June",122.497530288,74.893357824,48.257830137,91.9886828324167,41.1934584426667,35.581973438,204.65799271,65.8496901759167,18.039457002,4.793048616,2.072988664,3.594152891,1.341713348,125.198353394,33.9360860800613,28.785029224,,,,,,86.4957214293503,78.2093575021278,8.28636392722253,800.210181379978,102.471163687083,86.4957214293503,989.177066496412
2014-07-01,2014,"Q3","2014/15","Q1","July",42.682999803,287.342766349,9.60679910738339,215.461516806443,68.8986883875403,26.706664074,50.814705903,103.380852598599,31.576659124,3.483123022,5.226164859,4.33696421,1.626866576,86.334082740659,48.9895436776667,24.567052343,,,,,,93.3443372779464,85.4370301195926,7.90730715835381,729.131851433292,281.903598148,93.3443372779464,1104.39885885924
2014-08-01,2014,"Q3","2014/15","Q1","August",96.440453551,124.063317414,17.0432307202775,103.161239119732,44.8584994305654,18.152375326,73.885834452,81.3075303476394,20.803194222,5.109784007,2.588313583,1.915897598,1.289330608,48.8215976724106,36.9089055546667,16.749593821,,,,,,86.4399422432675,79.6761422700973,6.7637999731702,580.837172542292,112.263070885,86.4399422432675,779.540185670559
2014-09-01,2014,"Q3","2014/15","Q1","September",65.840330573,17.405759064,51.349008284673,77.8529464129736,52.2903146605711,9.77204041,54.128966956,37.4480011290897,34.422538063,2.893858871,1.143743925,9.693080731,0.600607141,51.0949579003176,18.0919829776667,19.597731419,,,,,,99.1624152565966,85.2489062263025,13.9135090302941,358.854582807292,144.845139711,99.1624152565966,602.862137774888
2014-10-01,2014,"Q4","2014/15","Q2","October",56.045180098,135.385653438,15.6448147364202,224.861265619525,65.0032640873107,28.419515907,47.282026209,75.5939559381056,33.838011711,4.228898687,4.929013499,4.986737187,1.488199215,96.0375010822636,70.758621223,33.313284303,,,,,,111.594203492382,90.2078917653962,21.3863117269856,620.915226167625,276.900716773,111.594203492382,1009.41014643301
2014-11-01,2014,"Q4","2014/15","Q2","November",106.652621564,191.476535726,17.5516092661445,104.055751588032,79.0148614827665,19.220450986,76.609024077,43.805875758842,9.697516206,6.787037665,5.359120818,10.362573251,1.048160354,68.62858371384,32.542103691,26.524551056,,,,,,93.7345503874691,83.441656930567,10.2928934569021,687.169415586625,112.166961617,93.7345503874691,893.070927591094
2014-12-01,2014,"Q4","2014/15","Q2","December",85.174654508,119.799594416,25.0948587296582,93.41002065147,31.8244489988849,20.826706749,60.284564957,47.2337732560299,5.623784368,5.393506066,1.75169523,1.823980074,2.112252293,65.9411075385821,32.597939401,19.448359248,,,,,,93.5181968202996,84.3519696887691,9.16622713153047,501.806088673625,116.535157811,93.5181968202996,711.859443304925
2015-01-01,2015,"Q1","2014/15","Q3","January",113.571396079,133.521956559,19.1099037241299,220.01651199857,108.615230860346,39.113213932,62.513531116,67.7524930777526,24.636110345,3.374272084,1.307805083,4.199257186,1.060585182,100.778230373827,66.8046426486667,25.521332432,,,,,,103.383992295545,93.7367250762551,9.64726721929005,682.955241326292,308.941231355,103.383992295545,1095.28046497684
2015-02-01,2015,"Q1","2014/15","Q3","February",51.274989109,160.709558339,63.9065314261002,104.532568750776,68.7626212351575,12.210159902,101.437438138,42.7566858203348,4.739404462,5.981601487,2.461358851,2.184649848,2.246831109,38.6440317190805,27.4252883856667,30.748548303,,,,,,96.1842307463401,88.740814097523,7.44341664881715,617.594043969116,102.428222916,96.1842307463401,816.206497631456
2015-03-01,2015,"Q1","2014/15","Q3","March",56.410551258,45.245935726,17.6723901897382,108.944268496414,38.3515701061587,11.471355779,60.914396642,40.2857179778906,4.68189387,2.880370436,1.765500013,7.664443635,0.77214612,80.7156864304238,19.9222854576667,22.843832923,,,,,,106.452120568192,92.5484320959481,13.9036884722438,392.044202106292,128.498142954,106.452120568192,626.994465628484
2015-04-01,2015,"Q2","2014/15","Q4","April",160.967310529,125.463717796,20.7321216721685,187.888369842462,59.4030660267349,21.077485812,76.780368825,64.5856024348301,10.696924053,6.176181795,3.769689912,3.696756014,0.776836152,94.9901285362214,80.7251698676667,23.149926896,,,,,,121.868401995756,102.806551955032,19.061850040724,671.533910553083,269.345745611,121.868401995756,1062.74805815984
