"Date","Year","Quarter","FY","QFY","Month","GECE_G14_XDC","GEKC_G14_XDC","GX_G14_XDC","GE_G14_XDC","GEXFC_G14_XDC","GEG_G14_XDC","GRG_G14_XDC","GXCBG_G14_XDC","GEI_G14_XDC","GXMIG_G14_XDC","GADAF_T_G14_XDC","GALW_G14_XDC","GADL_T_G14_XDC","GXOB_G14_XDC","GXCBN_G14_XDC","GANW_G14_XDC","GADAN_T_G14_XDC","GEO_G14_XDC","GRO_G14_XDC","GXOPB_G14_XDC","GR_G14_XDC","GES_G14_XDC","GRS_G14_XDC","GAAF_G14_XDC","GAL_G14_XDC","GAAN_G14_XDC","GEST_G14_XDC","GRT_G14_XDC","GEGS_G14_XDC","GECE_G14_GDP_PT","GEKC_G14_GDP_PT","GX_G14_GDP_PT","GE_G14_GDP_PT","GEXFC_G14_GDP_PT","GEG_G14_GDP_PT","GRG_G14_GDP_PT","GXCBG_G14_GDP_PT","GEI_G14_GDP_PT","GXMIG_G14_GDP_PT","GADAF_T_G14_GDP_PT","GALW_G14_GDP_PT","GADL_T_G14_GDP_PT","GXOB_G14_GDP_PT","GXCBN_G14_GDP_PT","GANW_G14_GDP_PT","GADAN_T_G14_GDP_PT","GEO_G14_GDP_PT","GRO_G14_GDP_PT","GXOPB_G14_GDP_PT","GR_G14_GDP_PT","GES_G14_GDP_PT","GRS_G14_GDP_PT","GAAF_G14_GDP_PT","GAL_G14_GDP_PT","GAAN_G14_GDP_PT","GEST_G14_GDP_PT","GRT_G14_GDP_PT","GEGS_G14_GDP_PT"
1998-01-01,1998,"Q1","1997/98","Q3","January",,,,,,,397.7,,,,,,,,,,,,46.3,,1202.9,,0,,4318.6,,,758.9,,,,,,,,3.8959040221688,,,,,,,,,,,,0.453558853976403,,11.7837137245835,,0,,42.3053837318033,,,7.43425084843827,
1999-01-01,1999,"Q1","1998/99","Q3","January",160.934031112,,1454.353902656,1216.480018616,1216.480018616,318.281394,406.936291222,141.114751394,68.840563544,237.87388404,,,79.5481303348,-96.759132646,,,237.87388404,0,15.10032807,-27.918569102,1357.59477001,0,0,,3794.983,,0,935.558150718,668.42402996,1.41410768848222,,12.7792302306074,10.6890614453863,10.6890614453863,2.79669976105308,3.57569952211656,1.23995809665413,0.604893629485185,2.09016878522103,,,0.698979711957509,-0.850210688566895,,,2.09016878522103,0,0.132684739671563,-0.245317059081711,11.9290195420405,0,0,,33.3460524220919,,0,8.22063528025232,5.87336036636583
2000-01-01,2000,"Q1","1999/00","Q3","January",179.095466729,,1771.674897108,1453.87138999816,1453.87138999816,387.04778,586.04464258488,142.43169824472,75.5190795,317.80350710984,,,239.147806108,-175.37180886512,,,317.80350710984,0,32.25354,-99.85272936512,1596.30308824288,10.810726082,0,,4019.782,,0,978.004905658,801.39833768716,1.40414505257302,,13.8902931881926,11.3986487577176,11.3986487577176,3.03453367816802,4.59470974057455,1.11669361638573,0.592085013604775,2.49164443047501,,,1.87496766341024,-1.37495081408929,,,2.49164443047501,0,0.252874343757092,-0.782865800484512,12.5153423741033,0.0847583013685762,0,,31.5159122160411,,0,7.66775828977171,6.28312671200324
2001-01-01,2001,"Q1","2000/01","Q3","January",225.949257395358,,2629.602564638,2219.65920615576,2219.65920615576,1087.247542162,1448.72321362716,312.2776755314,116.19424512,409.943358482236,154.372542958002,,252.038225908838,-97.665682950836,,,409.943358482236,0,8.31579306,18.528562169164,2531.93688168716,22.439992488,0,,,,24.42493,1074.897875,743.403238990405,1.6426160992326,,19.1168032904827,16.1365785790638,16.1365785790638,7.90412120488369,10.5319933398677,2.27021032585766,0.844714162252484,2.98022471141892,1.12226447329541,,1.83227885885667,-0.710014385561268,,,2.98022471141892,0,0.0604545273381515,0.134699776691216,18.4067889049214,0.163135269185464,0,,,,0.177565457408994,7.81434103771559,5.40442638610055
2002-01-01,2002,"Q1","2001/02","Q3","January",253.528203442803,,2920.72451132667,2473.75894774115,2473.75894774115,1142.78719608,1286.47187808,66.1259430388501,146.1351417,446.965563585521,246.511890653329,,627.3515112,-380.839620546671,,,446.965563585521,0,41.4282747,-234.704478846671,2539.88489078,44.189999964,0,,,,9.095026,1211.984738,878.023380554343,1.67402521063251,,19.2852960691461,16.3340203863382,16.3340203863382,7.5457268684411,8.4944646293032,0.436623989838898,0.964917938292987,2.95127568280795,1.62769709275149,,4.14234878572054,-2.51465169296905,,,2.95127568280795,0,0.273547381865368,-1.54973375467607,16.7706443761771,0.291782819398533,0,,,,0.0600536847916925,8.00263236500852,5.79751386478134
2003-01-01,2003,"Q1","2002/03","Q3","January",284.761626513927,,3138.953980742,2687.71720903818,2687.71720903818,1170.77612207,1269.11281424,7.3396108101499,174.1205354,451.236771703822,106.378777776334,,550.27593867,-443.897160893672,,,451.236771703822,0,24.66489449,-269.776625493672,2695.05681984833,58.8119466146667,0,,,,27.638315,1401.27911111833,971.608663439584,1.66208661194847,,18.3213358161461,15.6875729519243,15.6875729519243,6.83354475075778,7.40751288515829,0.0428395813502132,1.01630059603373,2.63376286422177,0.620907895849649,,3.21183117872117,-2.59092328287156,,,2.63376286422177,0,0.143963185696109,-1.57462268683782,15.7304125332745,0.343271494433906,0,,,,0.161318341592166,8.17893646242015,5.67105115715827
2004-01-01,2004,"Q1","2003/04","Q3","January",333.204031502361,,3014.4851094304,2492.77774291363,2492.77774291363,1019.569833882,1147.42435743634,323.90257644471,262.42,521.70736651677,161.875373483,-6536.804816488,227.549236198529,-197.80479007206,,,521.70736651677,60.640359053782,27.2,64.61520992794,2816.68031935834,66.291400948,0,4115.726193053,10652.531009541,,0,1642.055961922,750.652117527489,1.71220903259367,,15.4902946693467,12.8094385545721,12.8094385545721,5.23918234440816,5.89617820697518,1.66441238591396,1.34847676454373,2.68085611477466,0.831816095928908,-33.5901585602912,1.16928914641944,-1.01644372886069,,,2.68085611477466,0.311607785906616,0.139770474794564,0.332033035683037,14.473850940486,0.340646345047749,0,21.1491545635089,54.7393131238001,,0,8.43790225871627,3.85731628207213
2005-01-01,2005,"Q1","2004/05","Q3","January",349.565719376326,,3215.05741661486,2673.8233603954,2673.8233603954,1218.76145012398,1177.11874301118,417.56027149886,237.775579990293,541.234056219463,183.408583532,-6078.381349223,322.857848112686,-123.673784720603,,,541.234056219463,9.88713685549336,26.783,114.10179526969,3091.38363189426,77.092909503,0,4346.03017552,10424.411524743,,0,1887.48188888308,780.740564546309,1.5755678411174,,14.4909548968417,12.0514966598661,12.0514966598661,5.49321984499777,5.3055272123762,1.88203390388403,1.07170565209924,2.4394582369757,0.826661912139102,-27.3965713713865,1.45518972411334,-0.557424333091672,,,2.4394582369757,0.0445634511817551,0.120716738368783,0.514281319007566,13.9335305637501,0.347474315295596,0,19.5884922391474,46.9850636105339,,0,8.5072866130051,3.51896555517429
2006-01-01,2006,"Q1","2005/06","Q3","January",364.661805070293,,3487.68231388419,3019.86162275529,3019.86162275529,1370.51764987767,895.6,188.74733363671,249.902175764963,467.820691128904,68.8262828370708,-5949.16047529036,565.039025180162,-279.073357492194,,,467.820691128904,41.6138553645074,82,-29.171181727231,3208.608956392,82.086523533,0,4599.13737926864,10548.297854559,,0,2231.008956392,911.079613144861,1.41422212208046,,13.5258406954165,11.7115504095612,11.7115504095612,5.31510663362484,3.47329310315653,0.731995100669462,0.969164251393767,1.81429028585523,0.266920336639012,-23.0718825908859,2.19131995218016,-1.08229518518577,,,1.81429028585523,0.161385793695061,0.318010310918753,-0.113130933792002,12.4435455102307,0.318345864280109,0,17.8362574138937,40.9081400047796,,0,8.65224209615541,3.53332574448701
2007-01-01,2007,"Q1","2006/07","Q3","January",418.461668042427,,3956.5715682068,3487.68898898686,3487.68898898686,1525.23054031334,733.223188538292,-32.1019367085698,236.342597331843,468.882579219936,879.94994346136,-99.9117080870001,722.940138560736,-500.984515928506,,,468.882579219936,26.4303240086317,96.542064938,-264.641918596663,3455.58705227829,78.576254908,0,5512.918118855,5612.829826942,,220.690844114073,2625.821798802,981.95676026855,1.38646830109667,,13.1091124451162,11.5555870384379,11.5555870384379,5.05347074178031,2.42935204386343,-0.106361755566416,0.783062211964015,1.5535254066783,2.91549452753528,-0.331032509665867,2.39528172411546,-1.65988716224471,,,1.5535254066783,0.0875702823561052,0.319868038057388,-0.876824950280696,11.4492252828715,0.260342810270947,0,18.2656783214824,18.5967108311483,,0.731204033903067,8.70000520095067,3.25346865706679
