"Date","Year","Quarter","FY","QFY","Month","REV_GRA","REV","REV_URA","REV_NURA","REV_OIL","GRA","GRA_BUD","GRA_PRO","EXP_LEN","EXP_CU","EXP_CU_W","EXP_CU_I","EXP_CU_I_DOM","EXP_CU_I_EXT","EXP_CU_OTH","EXP_DEV","EXP_DEV_DOM","EXP_DEV_EXT","NLP","NLP_HPP","NLP_HPP_GOU","NLP_HPP_EXBK","NLP_BOU","PAY_ARR_DOM","BAL_DOM","BAL_PRI","BAL_FIS_NGRA","BAL_FIS","FIN","FIN_EXT","FIN_EXT_DEP","FIN_EXT_DIS","FIN_EXT_DIS_BUD","FIN_EXT_DIS_PRO","FIN_EXT_AMO","FIN_DOM","FIN_DOM_BK","FIN_DOM_NBK","EAO"
1998-05-01,1998,"Q2","1997/98","Q4","May",89.1494583333333,67.21775,67.03,0.18775,0,21.9317083333333,4.92,17.0117083333333,114.325418333333,64.35807,27.25286,3.55925,1.35872,2.20053,33.54596,41.9209283333333,6.59697,35.3239583333333,0.25,,,,,7.79642,-9.58318,-21.61671,-47.1076683333333,-25.17596,25.17596,14.67145,0,18.31225,0,18.31225,-3.6408,8.09176000000007,16.3900000000001,-8.29824,2.41274999999993
1998-06-01,1998,"Q2","1997/98","Q4","June",203.502158333333,85.91775,85.73,0.18775,0,117.584408333333,100.5727,17.0117083333333,159.615778333333,86.26769,28.09681,5.00996,2.76866,2.2413,53.16092,64.3567183333333,29.03276,35.3239583333333,0.25,,,,,8.74137,-36.13277,48.89634,-73.6980283333333,43.88638,-43.88638,16.58146,0,18.31225,0,18.31225,-1.73079,-66.08823,-85.8532,19.76497,5.62039
1998-07-01,1998,"Q3","1998/99","Q1","July",111.057175967333,78.829420734,75.955736734,2.873684,0,32.2277552333333,11.7944219,20.4333333333333,92.7589000798244,46.57926882,25.393297112,4.983868708,1.64191,3.341958708,16.202103,39.3858846598244,1.331952,38.0539326598244,0.741171,,,,,6.0525756,27.466412022,23.282144595509,-13.9294793458243,18.298275887509,-18.298275887509,6.30907306449104,0,17.620599326491,0,17.620599326491,-11.311526262,-14.53158,31.842,-46.37358,-10.0757689520001
1998-08-01,1998,"Q3","1998/99","Q1","August",100.607128117333,74.190844592,74.125858592,0.0649859999999989,0,26.4162835253333,5.982950192,20.4333333333333,121.254479575824,71.973629916,27.27314,6.328263916,1.557334,4.770929916,38.372226,47.5905776598244,9.536645,38.0539326598244,0.147831,,,,,1.542441,-4.23877240799997,-14.319087542491,-47.0636349838243,-20.647351458491,20.647351458491,14.668944198491,0,17.620599326491,0,17.620599326491,-2.951655128,15.186546,0.728,14.458546,-9.20813874000003
1998-09-01,1998,"Q3","1998/99","Q1","September",100.371035341333,72.704052808,72.477851808,0.226201,0,27.6669825333333,7.2336492,20.4333333333333,132.554378419824,70.20398116,26.69798,8.09266716,2.697624,5.39504316,35.413334,50.8677636598244,12.813831,38.0539326598244,0.051235,,,,,11.4313986,-16.401349792,-24.0906759184911,-59.8503256118244,-32.183343078491,32.183343078491,11.127015566491,0,17.620599326491,0,17.620599326491,-6.49358376,22.281053,11.908,10.373053,-1.224725488
1998-10-01,1998,"Q4","1998/99","Q2","October",98.4968704723333,72.635932439,72.611887439,0.024045,0,25.8609380333333,5.4276047,20.4333333333333,112.262988339824,63.6687493466667,27.974325,5.21546968,1.178278,4.03719168,30.4789546666667,46.4254346598244,8.371502,38.0539326598244,-0.141993,,,,,2.31079733333333,2.46406843899999,-8.55064818749103,-39.6270559008244,-13.766117867491,13.766117867491,10.781554566491,0,17.620599326491,0,17.620599326491,-6.83904476,20.259743,24.734,-4.47425700000004,-17.275179699
1998-11-01,1998,"Q4","1998/99","Q2","November",100.538506191333,69.829679058,69.726047058,0.103632,0,30.7088271333333,10.2754938,20.4333333333333,136.855036059824,84.4862480666667,28.212634,3.3123894,1.119201,2.1931884,52.9612246666667,44.1340016598244,6.080069,38.0539326598244,0.296221,,,,,7.93856533333333,-26.778235942,-33.0041404684911,-67.0253570018244,-36.3165298684911,36.3165298684911,35.183706186491,0,43.397332126491,25.7767328,17.620599326491,-8.21362594,-2.18852999999998,11.889,-14.07753,3.32135368200002
1998-12-01,1998,"Q4","1998/99","Q2","December",118.463655006333,90.394649673,90.315479673,0.0791700000000003,0,28.0690053333333,7.635672,20.4333333333333,154.114576641024,77.8511944666667,27.977998,5.9004748,2.702524,3.1979508,43.9727216666667,52.2631906598244,14.209258,38.0539326598244,-0.021841,,,,,24.0220325145333,-22.4680435082,-29.750446834691,-63.7199269680244,-35.650921634691,35.650921634691,-2.23679067350896,0,17.620599326491,0,17.620599326491,-19.85739,-1.71836999999988,22.5275930000001,-24.245963,39.6060823081999
1999-01-01,1999,"Q1","1998/99","Q3","January",114.297802348333,81.308840825,81.111114825,0.197726,0,32.9889615233333,12.55562819,20.4333333333333,114.846949099824,60.77801944,25.681736,3.84756044,1.218683,2.62887744,31.248723,46.9034496598244,8.849517,38.0539326598244,0.177604,,,,,6.987876,7.14470182499999,3.29841368850896,-33.5381082748244,-0.549146751491037,0.549146751491037,13.748482630491,0,17.620599326491,0,17.620599326491,-3.872116696,-19.028316,-16.872068,-2.156248,5.82898012100004
1999-02-01,1999,"Q1","1998/99","Q3","February",105.373959312333,74.734492119,74.688006119,0.046486,0,30.6394671933333,10.20613386,20.4333333333333,127.653864617824,73.822893,29.667148,8.019734,1.133004,6.88673,36.136011,44.3945456598244,6.340613,38.0539326598244,-0.033372,,,,,9.469797958,-7.978709839,-14.260171305491,-52.9193724988244,-22.279905305491,22.279905305491,6.33187246849104,0,17.620599326491,0,17.620599326491,-11.288726858,-0.556682000000047,9.53768999999998,-10.094372,16.504714837
