"Date","Year","Quarter","FY","QFY","Month","EXP_IDPD_SEC","EXP_IDPD_RAW","EXP_IDPD_AGR","EXP_IDPD_EDU","EXP_IDPD_HEA","EXP_IDPD_WAE","EXP_IDPD_JLO","EXP_IDPD_ACC","EXP_IDPD_EAM","EXP_IDPD_TTI","EXP_IDPD_LHUD","EXP_IDPD_SD","EXP_IDPD_ICT","EXP_IDPD_PSM","EXP_IDPD_PAD","EXP_IDPD_PARL","EXP_IDPD_STD","EXP_IDPD_TOU","EXP_IDPD_LGOV","EXP_IDPD_I","EXP_IDPD_I_DOM","EXP_IDPD_I_EXT","EXP_IDPD_CEN_TOT","EXP_IDPD_LGP_TOT","EXP_IDPD_I_TOT","EXP_IDPD"
2000-07-01,2000,"Q3","2000/01","Q1","July",,,,,,,,,,,,,,,,,,,,0,0,0,46.3232718468333,0,0,46.3232718468333
2000-08-01,2000,"Q3","2000/01","Q1","August",,,,,,,,,,,,,,,,,,,,0,0,0,43.2412718468333,0,0,43.2412718468333
2000-09-01,2000,"Q3","2000/01","Q1","September",,,,,,,,,,,,,,,,,,,,0,0,0,62.8292718468333,0,0,62.8292718468333
2000-10-01,2000,"Q4","2000/01","Q2","October",,,,,,,,,,,,,,,,,,,,0,0,0,36.7242718468333,0,0,36.7242718468333
2000-11-01,2000,"Q4","2000/01","Q2","November",,,,,,,,,,,,,,,,,,,,0,0,0,38.5252718468333,0,0,38.5252718468333
2000-12-01,2000,"Q4","2000/01","Q2","December",,,,,,,,,,,,,,,,,,,,0,0,0,79.5809718468333,0,0,79.5809718468333
2001-01-01,2001,"Q1","2000/01","Q3","January",,,,,,,,,,,,,,,,,,,,0,0,0,42.8905718468333,0,0,42.8905718468333
2001-02-01,2001,"Q1","2000/01","Q3","February",,,,,,,,,,,,,,,,,,,,0,0,0,43.4386718468333,0,0,43.4386718468333
2001-03-01,2001,"Q1","2000/01","Q3","March",,,,,,,,,,,,,,,,,,,,0,0,0,49.6489718468333,0,0,49.6489718468333
2001-04-01,2001,"Q2","2000/01","Q4","April",,,,,,,,,,,,,,,,,,,,0,0,0,48.7144718468333,0,0,48.7144718468333
2001-05-01,2001,"Q2","2000/01","Q4","May",,,,,,,,,,,,,,,,,,,,0,0,0,54.5059718468333,0,0,54.5059718468333
2001-06-01,2001,"Q2","2000/01","Q4","June",,,,,,,,,,,,,,,,,,,,0,0,0,25.0711718468333,0,0,25.0711718468333
2001-07-01,2001,"Q3","2001/02","Q1","July",,,,,,,,,,,,,,,,,,,,0,0,0,48.44797509,0,0,48.44797509
2001-08-01,2001,"Q3","2001/02","Q1","August",,,,,,,,,,,,,,,,,,,,0,0,0,56.78427509,0,0,56.78427509
2001-09-01,2001,"Q3","2001/02","Q1","September",,,,,,,,,,,,,,,,,,,,0,0,0,36.44217509,0,0,36.44217509
2001-10-01,2001,"Q4","2001/02","Q2","October",,,,,,,,,,,,,,,,,,,,0,0,0,43.80135684,0,0,43.80135684
2001-11-01,2001,"Q4","2001/02","Q2","November",,,,,,,,,,,,,,,,,,,,0,0,0,29.75127368,0,0,29.75127368
2001-12-01,2001,"Q4","2001/02","Q2","December",,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0
2002-01-01,2002,"Q1","2001/02","Q3","January",,,,,,,,,,,,,,,,,,,,0,0,0,41.29546734,0,0,41.29546734
2002-02-01,2002,"Q1","2001/02","Q3","February",,,,,,,,,,,,,,,,,,,,0,0,0,45.86966834,0,0,45.86966834
2002-03-01,2002,"Q1","2001/02","Q3","March",,,,,,,,,,,,,,,,,,,,0,0,0,31.71754934,0,0,31.71754934
2002-04-01,2002,"Q2","2001/02","Q4","April",,,,,,,,,,,,,,,,,,,,0,0,0,33.5808214233333,0,0,33.5808214233333
2002-05-01,2002,"Q2","2001/02","Q4","May",,,,,,,,,,,,,,,,,,,,0,0,0,34.4592934233333,0,0,34.4592934233333
2002-06-01,2002,"Q2","2001/02","Q4","June",,,,,,,,,,,,,,,,,,,,0,0,0,117.557270423333,0,0,117.557270423333
2002-07-01,2002,"Q3","2002/03","Q1","July",,,,,,,,,,,,,,,,,,,,0,0,0,51.5774973866667,0,0,51.5774973866667
2002-08-01,2002,"Q3","2002/03","Q1","August",,,,,,,,,,,,,,,,,,,,0,0,0,42.4832103866667,0,0,42.4832103866667
2002-09-01,2002,"Q3","2002/03","Q1","September",,,,,,,,,,,,,,,,,,,,0,0,0,54.1750493866667,0,0,54.1750493866667
2002-10-01,2002,"Q4","2002/03","Q2","October",,,,,,,,,,,,,,,,,,,,0,0,0,61.6317383866666,0,0,61.6317383866666
2002-11-01,2002,"Q4","2002/03","Q2","November",,,,,,,,,,,,,,,,,,,,0,0,0,57.2930873866667,0,0,57.2930873866667
2002-12-01,2002,"Q4","2002/03","Q2","December",,,,,,,,,,,,,,,,,,,,0,0,0,42.9132283866667,0,0,42.9132283866667
2003-01-01,2003,"Q1","2002/03","Q3","January",,,,,,,,,,,,,,,,,,,,0,0,0,31.5642293866667,0,0,31.5642293866667
2003-02-01,2003,"Q1","2002/03","Q3","February",,,,,,,,,,,,,,,,,,,,0,0,0,68.3396263866667,0,0,68.3396263866667
2003-03-01,2003,"Q1","2002/03","Q3","March",,,,,,,,,,,,,,,,,,,,0,0,0,59.2236813866667,0,0,59.2236813866667
2003-04-01,2003,"Q2","2002/03","Q4","April",,,,,,,,,,,,,,,,,,,,0,0,0,26.2003843866667,0,0,26.2003843866667
2003-05-01,2003,"Q2","2002/03","Q4","May",,,,,,,,,,,,,,,,,,,,0,0,0,44.5906613866667,0,0,44.5906613866667
2003-06-01,2003,"Q2","2002/03","Q4","June",,,,,,,,,,,,,,,,,,,,0,0,0,30.1223153866667,0,0,30.1223153866667
2003-07-01,2003,"Q3","2003/04","Q1","July",,,,,,,,,,,,,,,,,,,,0,0,0,58.6583263263752,0,0,58.6583263263752
2003-08-01,2003,"Q3","2003/04","Q1","August",,,,,,,,,,,,,,,,,,,,0,0,0,46.3535893263752,0,0,46.3535893263752
2003-09-01,2003,"Q3","2003/04","Q1","September",,,,,,,,,,,,,,,,,,,,0,0,0,79.9994403263752,0,0,79.9994403263752
2003-10-01,2003,"Q4","2003/04","Q2","October",,,,,,,,,,,,,,,,,,,,0,0,0,52.7365503263751,0,0,52.7365503263751
2003-11-01,2003,"Q4","2003/04","Q2","November",,,,,,,,,,,,,,,,,,,,0,0,0,60.7113983263752,0,0,60.7113983263752
2003-12-01,2003,"Q4","2003/04","Q2","December",,,,,,,,,,,,,,,,,,,,0,0,0,44.8260903263752,0,0,44.8260903263752
2004-01-01,2004,"Q1","2003/04","Q3","January",,,,,,,,,,,,,,,,,,,,0,0,0,53.7914093263752,0,0,53.7914093263752
2004-02-01,2004,"Q1","2003/04","Q3","February",,,,,,,,,,,,,,,,,,,,0,0,0,78.3734873263752,0,0,78.3734873263752
2004-03-01,2004,"Q1","2003/04","Q3","March",,,,,,,,,,,,,,,,,,,,0,0,0,50.7108293263752,0,0,50.7108293263752
2004-04-01,2004,"Q2","2003/04","Q4","April",,,,,,,,,,,,,,,,,,,,0,0,0,38.7026313263751,0,0,38.7026313263751
2004-05-01,2004,"Q2","2003/04","Q4","May",,,,,,,,,,,,,,,,,,,,0,0,0,47.5300643263752,0,0,47.5300643263752
2004-06-01,2004,"Q2","2003/04","Q4","June",,,,,,,,,,,,,,,,,,,,0,0,0,64.0995443263751,0,0,64.0995443263751
2004-07-01,2004,"Q3","2004/05","Q1","July",,,,,,,,,,,,,,,,,,,,0,0,0,63.0992077894695,0,0,63.0992077894695
2004-08-01,2004,"Q3","2004/05","Q1","August",,,,,,,,,,,,,,,,,,,,0,0,0,63.0992077894695,0,0,63.0992077894695
2004-09-01,2004,"Q3","2004/05","Q1","September",,,,,,,,,,,,,,,,,,,,0,0,0,63.0992077894694,0,0,63.0992077894694
2004-10-01,2004,"Q4","2004/05","Q2","October",,,,,,,,,,,,,,,,,,,,0,0,0,63.0992077894695,0,0,63.0992077894695
2004-11-01,2004,"Q4","2004/05","Q2","November",,,,,,,,,,,,,,,,,,,,0,0,0,63.0992077894695,0,0,63.0992077894695
2004-12-01,2004,"Q4","2004/05","Q2","December",,,,,,,,,,,,,,,,,,,,0,0,0,63.0992077894694,0,0,63.0992077894694
2005-01-01,2005,"Q1","2004/05","Q3","January",,,,,,,,,,,,,,,,,,,,0,0,0,63.0992077894695,0,0,63.0992077894695
2005-02-01,2005,"Q1","2004/05","Q3","February",,,,,,,,,,,,,,,,,,,,0,0,0,63.0992077894695,0,0,63.0992077894695
2005-03-01,2005,"Q1","2004/05","Q3","March",,,,,,,,,,,,,,,,,,,,0,0,0,63.0992077894694,0,0,63.0992077894694
2005-04-01,2005,"Q2","2004/05","Q4","April",,,,,,,,,,,,,,,,,,,,0,0,0,7.77669405313618,0,0,7.77669405313618
2005-05-01,2005,"Q2","2004/05","Q4","May",,,,,,,,,,,,,,,,,,,,0,0,0,139.075752803136,0,0,139.075752803136
2005-06-01,2005,"Q2","2004/05","Q4","June",,,,,,,,,,,,,,,,,,,,0,0,0,20.0844322348029,0,0,20.0844322348029
2005-07-01,2005,"Q3","2005/06","Q1","July",,,,,,,,,,,,,,,,,,,,0,0,0,61.4461283881716,0,0,61.4461283881716
2005-08-01,2005,"Q3","2005/06","Q1","August",,,,,,,,,,,,,,,,,,,,0,0,0,61.4461283881716,0,0,61.4461283881716
2005-09-01,2005,"Q3","2005/06","Q1","September",,,,,,,,,,,,,,,,,,,,0,0,0,61.4461283881716,0,0,61.4461283881716
2005-10-01,2005,"Q4","2005/06","Q2","October",,,,,,,,,,,,,,,,,,,,0,0,0,61.4461283881716,0,0,61.4461283881716
2005-11-01,2005,"Q4","2005/06","Q2","November",,,,,,,,,,,,,,,,,,,,0,0,0,61.4461283881716,0,0,61.4461283881716
2005-12-01,2005,"Q4","2005/06","Q2","December",,,,,,,,,,,,,,,,,,,,0,0,0,61.4461283881716,0,0,61.4461283881716
2006-01-01,2006,"Q1","2005/06","Q3","January",,,,,,,,,,,,,,,,,,,,0,0,0,61.4461283881716,0,0,61.4461283881716
2006-02-01,2006,"Q1","2005/06","Q3","February",,,,,,,,,,,,,,,,,,,,0,0,0,61.4461283881716,0,0,61.4461283881716
2006-03-01,2006,"Q1","2005/06","Q3","March",,,,,,,,,,,,,,,,,,,,0,0,0,61.4461283881716,0,0,61.4461283881716
2006-04-01,2006,"Q2","2005/06","Q4","April",,,,,,,,,,,,,,,,,,,,0,0,0,61.4461283881716,0,0,61.4461283881716
2006-05-01,2006,"Q2","2005/06","Q4","May",,,,,,,,,,,,,,,,,,,,0,0,0,61.4461283881716,0,0,61.4461283881716
2006-06-01,2006,"Q2","2005/06","Q4","June",,,,,,,,,,,,,,,,,,,,0,0,0,61.4461283881716,0,0,61.4461283881716
2006-07-01,2006,"Q3","2006/07","Q1","July",,,,,,,,,,,,,,,,,,,,0,0,0,27.6296365587658,0,0,27.6296365587658
2006-08-01,2006,"Q3","2006/07","Q1","August",,,,,,,,,,,,,,,,,,,,0,0,0,81.7807761896457,0,0,81.7807761896457
2006-09-01,2006,"Q3","2006/07","Q1","September",,,,,,,,,,,,,,,,,,,,0,0,0,76.6831307014457,0,0,76.6831307014457
2006-10-01,2006,"Q4","2006/07","Q2","October",,,,,,,,,,,,,,,,,,,,0,0,0,100.219116890086,0,0,100.219116890086
2006-11-01,2006,"Q4","2006/07","Q2","November",,,,,,,,,,,,,,,,,,,,0,0,0,69.9504856207657,0,0,69.9504856207657
2006-12-01,2006,"Q4","2006/07","Q2","December",,,,,,,,,,,,,,,,,,,,0,0,0,40.6696280418057,0,0,40.6696280418057
