"Date","Year","Quarter","FY","QFY","Month","EXP_W_SEC","EXP_W_RAW","EXP_W_AGR","EXP_W_EDU","EXP_W_HEA","EXP_W_WAE","EXP_W_JLO","EXP_W_ACC","EXP_W_EAM","EXP_W_TTI","EXP_W_LHUD","EXP_W_SD","EXP_W_ICT","EXP_W_PSM","EXP_W_PAD","EXP_W_PARL","EXP_W_STD","EXP_W_TOU","EXP_W_LGOV","EXP_W_I","EXP_W_I_DOM","EXP_W_I_EXT","EXP_W_CEN_TOT","EXP_W_LGP_TOT","EXP_W_I_TOT","EXP_W"
2006-05-01,2006,"Q2","2005/06","Q4","May",,,,,,,,,,,,,,,,,,,,0,0,0,27.0872854441667,46.317114735,,73.4044001791667
2006-06-01,2006,"Q2","2005/06","Q4","June",,,,,,,,,,,,,,,,,,,,0,0,0,33.5105543351667,45.301581282,,78.8121356171667
2006-07-01,2006,"Q3","2006/07","Q1","July",,,,,,,,,,,,,,,,,,,,0,0,0,15.432544186,44.7531093869167,,60.1856535729167
2006-08-01,2006,"Q3","2006/07","Q1","August",,,,,,,,,,,,,,,,,,,,0,0,0,40.732823101,45.4612354923333,,86.1940585933333
2006-09-01,2006,"Q3","2006/07","Q1","September",,,,,,,,,,,,,,,,,,,,0,0,0,21.878296854,49.9693282373333,,71.8476250913333
2006-10-01,2006,"Q4","2006/07","Q2","October",,,,,,,,,,,,,,,,,,,,0,0,0,30.078416821,49.1815290073333,,79.2599458283333
2006-11-01,2006,"Q4","2006/07","Q2","November",,,,,,,,,,,,,,,,,,,,0,0,0,31.144504441,50.8901285283333,,82.0346329693333
2006-12-01,2006,"Q4","2006/07","Q2","December",,,,,,,,,,,,,,,,,,,,0,0,0,35.31026774695,51.7938679583333,,87.1041357052833
2007-01-01,2007,"Q1","2006/07","Q3","January",,,,,,,,,,,,,,,,,,,,0,0,0,32.969281958,47.6464329153333,,80.6157148733333
2007-02-01,2007,"Q1","2006/07","Q3","February",,,,,,,,,,,,,,,,,,,,0,0,0,29.599386353,50.6832770403333,,80.2826633933333
2007-03-01,2007,"Q1","2006/07","Q3","March",,,,,,,,,,,,,,,,,,,,0,0,0,31.133781689,51.7540091083333,,82.8877907973333
2007-04-01,2007,"Q2","2006/07","Q4","April",,,,,,,,,,,,,,,,,,,,0,0,0,31.88322435,51.8442422453333,,83.7274665953333
2007-05-01,2007,"Q2","2006/07","Q4","May",,,,,,,,,,,,,,,,,,,,0,0,0,31.140788486,52.0122707003333,,83.1530591863333
2007-06-01,2007,"Q2","2006/07","Q4","June",,,,,,,,,,,,,,,,,,,,0,0,0,56.776651729,52.4411311743333,,109.217782903333
2007-07-01,2007,"Q3","2007/08","Q1","July",,,,,,,,,,,,,,,,,,,,0,0,0,24.0340997527778,50.6964932503333,,74.7305930031111
2007-08-01,2007,"Q3","2007/08","Q1","August",,,,,,,,,,,,,,,,,,,,0,0,0,41.5488708947778,51.1660076263333,,92.7148785211111
2007-09-01,2007,"Q3","2007/08","Q1","September",,,,,,,,,,,,,,,,,,,,0,0,0,35.2830984917778,51.4579938223333,,86.7410923141111
2007-10-01,2007,"Q4","2007/08","Q2","October",,,,,,,,,,,,,,,,,,,,0,0,0,36.7666081127778,52.6628267693333,,89.4294348821111
2007-11-01,2007,"Q4","2007/08","Q2","November",,,,,,,,,,,,,,,,,,,,0,0,0,41.3890702107778,52.0417273723333,,93.4307975831111
2007-12-01,2007,"Q4","2007/08","Q2","December",,,,,,,,,,,,,,,,,,,,0,0,0,37.8265701957778,52.7085567283333,,90.5351269241111
2008-01-01,2008,"Q1","2007/08","Q3","January",,,,,,,,,,,,,,,,,,,,0,0,0,43.1455250321111,52.9348758793333,,96.0804009114445
2008-02-01,2008,"Q1","2007/08","Q3","February",,,,,,,,,,,,,,,,,,,,0,0,0,37.1791481521111,52.6456019553333,,89.8247501074444
2008-03-01,2008,"Q1","2007/08","Q3","March",,,,,,,,,,,,,,,,,,,,0,0,0,42.4538739471111,52.8476080853333,,95.3014820324445
2008-04-01,2008,"Q2","2007/08","Q4","April",,,,,,,,,,,,,,,,,,,,0,0,0,39.1176693513333,52.5528272503333,,91.6704966016667
2008-05-01,2008,"Q2","2007/08","Q4","May",,,,,,,,,,,,,,,,,,,,0,0,0,37.7117534873333,53.4536258963333,,91.1653793836667
2008-06-01,2008,"Q2","2007/08","Q4","June",,,,,,,,,,,,,,,,,,,,0,0,0,58.0388434453333,56.4233542213333,,114.462197666667
2008-07-01,2008,"Q3","2008/09","Q1","July",15.513264419,0.285443227,0.313912106,43.275045326,9.27361189641667,0.342337769,8.515577399,0.690579675,0.21958958,0.075025505,0.112981039,0.124027725,0.026371198,7.74968461132836,2.15351653241667,0.688282164,,,,0,0,0,35.3815920338333,53.9776581383284,,89.3592501721617
2008-08-01,2008,"Q3","2008/09","Q1","August",15.50117024,1.406827679,0.472485294,43.910236399,10.3122100204166,0.16386,1.898684692,0.696367048,0,0.075617301,0.098045269,0.119854698,0.000152207,7.96720743932836,1.51877098741667,0.932340279,,,,0,0,0,29.7837370178333,55.2900925353284,0,85.0738295531617
2008-09-01,2008,"Q3","2008/09","Q1","September",16.273420783,1.125,0.310969108,43.744179402,11.0135666844167,0.16386,8.663740022,0.680239333,0.109552922,0.076430485,0.011266497,0.119193543,0.026709439,7.62636785132836,2.66472429641667,1.470717367,,,,0,0,0,39.7299423288333,54.3499954043284,0,94.0799377331617
2008-10-01,2008,"Q4","2008/09","Q2","October",16.893673311,1.640918757,0.622554015,43.755000165,13.4766866444167,0.511456426,15.967832409,1.415102882,0.109326523,0.076446313,0.212392496,0.117243399,0.054958242,7.90581175332836,2.40448701941667,1.104781812,,,,0,0,0,51.2270223918333,55.0416497753284,0,106.268672167162
2008-11-01,2008,"Q4","2008/09","Q2","November",18.813559238,1.2993626,0.31254889,42.792994068,10.3675174594167,0.16846,1.474847994,0.335651331,0,0,0.012928354,0,0,7.36427109332836,1.38533156341667,2.195417803,,,,0,0,0,31.4733467108333,55.0495436833284,0,86.5228903941617
2008-12-01,2008,"Q4","2008/09","Q2","December",18.098321259,1.755439544,0.617061419,45.213465755,13.9599507594167,0.696308007,19.915945155,2.504127104,0.23650537,0.168365367,0.232179906,0.235950303,0.028352255,8.08241635232836,2.42333962541667,0,,,,0,0,0,58.7512037508333,55.4165244303284,0,114.167728181162
2009-01-01,2009,"Q1","2008/09","Q3","January",17.627759343,1.522167748,0.456377498,43.925423185,11.4218296544167,0,3.227804929,1.418869644,0.132478269,0.087278508,0.098721648,0.116529515,0.030397643,7.74252777932836,2.14443532041667,1.101616706,,,,0,0,0,35.9289758198333,55.1252415703284,0,91.0542173901617
2009-02-01,2009,"Q1","2008/09","Q3","February",17.58707939,1.5066187,0.304777712,43.551391728,10.4856813434167,0.164435,9.227003502,0.339454055,0,0,0.012267882,0,0.036315152,7.66722017332836,1.38233328041667,1.103447094,,,,0,0,0,38.2374003348333,55.1306246773284,0,93.3680250121617
