"Date","Year","Quarter","FY","QFY","Month","EXP_W_SEC","EXP_W_RAW","EXP_W_AGR","EXP_W_EDU","EXP_W_HEA","EXP_W_WAE","EXP_W_JLO","EXP_W_ACC","EXP_W_EAM","EXP_W_TTI","EXP_W_LHUD","EXP_W_SD","EXP_W_ICT","EXP_W_PSM","EXP_W_PAD","EXP_W_PARL","EXP_W_STD","EXP_W_TOU","EXP_W_LGOV","EXP_W_I","EXP_W_I_DOM","EXP_W_I_EXT","EXP_W_CEN_TOT","EXP_W_LGP_TOT","EXP_W_I_TOT","EXP_W"
2009-03-01,2009,"Q1","2008/09","Q3","March",16.952429882,1.860976889,0.615747036,44.513312601,11.0524490164167,0.180990283,10.188768753,2.483035803,0.231256402,0.179185096,0.223124095,0.227057061,0.035946213,8.00295425132836,1.94224516041667,2.168125664,,,,0,0,0,46.3361536928333,54.5214505133284,0,100.857604206162
2009-04-01,2009,"Q2","2008/09","Q4","April",17.575922712,2.010232067,0.466692452,44.719913701,9.97402834741667,0.313759714,10.661753244,1.427364484,0.113834126,0.082661706,0.110563723,0.131527414,0.031883869,7.68046200432836,1.65831901541667,0.467141785,,,,0,0,0,43.4484022258333,53.9776581383284,0,97.4260603641617
2009-05-01,2009,"Q2","2008/09","Q4","May",18.187421731,1.635743521,0.469590164,44.425739842,16.7607133684166,0.490355,10.667891765,1.516894802,0.131525644,0.080825925,0.113272387,0.125439625,0.037938467,8.25491689932836,2.72920852741667,0.857579235,,,,0,0,0,44.7966300268333,61.6884268763284,0,106.485056903162
2009-06-01,2009,"Q2","2008/09","Q4","June",20.27779554,0.237064907,0.613867163,45.703412236,14.6232859704166,0.700507351,19.222687475,1.594969431,0.118241365,0.090957679,0.129632449,0.123237844,0.073918591,8.64370353332836,4.83561155341667,1.961382338,,,,0,0,0,62.5748997598333,56.3753756663284,0,118.950275426162
2009-07-01,2009,"Q3","2009/10","Q1","July",17.848853259,0,0.255691301,43.823403276,10.767404287,0,0.7183575,0.954386325,0,0,0,0.046342612,0,7.782381747,0.904912960416667,0.853797,,,,0,0,0,26.7432453574167,57.21228491,0,83.9555302674167
2009-08-01,2009,"Q3","2009/10","Q1","August",17.59334497,1.659722796,0.780192751,45.077791217,12.516161115,0.377183576,10.050113038,1.109547994,0.126052206,0.790023667,0.102988697,0.165621256,0.036349818,8.329886098,1.88016134941667,0.583315146,,,,0,0,0,43.5450372144167,57.63341848,0,101.178455694417
2009-09-01,2009,"Q3","2009/10","Q1","September",17.665283025,3.150238102,0.724757328,46.477099664,11.692178661,0.188752098,2.573978206,3.54094163199999,0.257927273,0.947141896,0.216197507,0.168416894,0,8.277927639,1.60259237141667,1.094082244,,,,0,0,0,40.3519086544167,58.225605886,0,98.5775145404167
2009-10-01,2009,"Q4","2009/10","Q2","October",18.231765212,4.817737234,0.487089725,46.033076159,13.893680692,0.188752098,18.376430864,1.774621331,0.12773809,0.565456333,0.124420734,0.169492845,0.071660523,8.434689387,2.96090548741667,1.100570333,,,,0,0,0,59.0413091394167,58.316777908,0,117.358087047417
2009-11-01,2009,"Q4","2009/10","Q2","November",17.959751493,0,0.774668283,47.635881231,12.94412937,0.183424736,9.636951356,1.82319841200001,0.005594,0.647713739,0,0.176238952,0,8.073302159,1.39498296141667,0.85421004,,,,0,0,0,42.6495591954167,59.460487537,0,102.110046732417
2009-12-01,2009,"Q4","2009/10","Q2","December",18.045017528,0.325762062,0.692225089,47.907532925,13.978427565,0.686619736,12.427898191,2.42250017100001,0.155525687,1.515461901,0.227664097,0.308906356,0.076106385,8.299534973,2.71028413141667,1.418710655,,,,0,0,0,52.2728904924167,58.92528696,0,111.198177452417
2010-01-01,2010,"Q1","2009/10","Q3","January",18.665005476,0,0.252442613,47.212749642,12.525482801,0.388466708,9.562637993,1.808955079,0.131045352,0.1647023,0.000218,0.048735096,0.037321113,8.067430348,0.980826158416667,1.116081635,,,,0,0,0,41.7456954364167,59.216404878,0,100.962100314417
2010-02-01,2010,"Q1","2009/10","Q3","February",18.476340376,1.421422845,0.799968268,47.837281647,12.338914815,0.168771585,11.781814356,0.799477324999994,0.147825629,1.205572961,0.119548247,0.156653115,0,8.531311335,1.38087116241667,0.8414745,,,,0,0,0,46.9009597564167,59.10628841,0,106.007248166417
