"Date","Year","Quarter","FY","QFY","Month","EXP_DPD_AGRO_P","EXP_DPD_MID_P","EXP_DPD_SPD_P","EXP_DPD_MAN_P","EXP_DPD_TOD_P","EXP_DPD_NECLW_P","EXP_DPD_PSD_P","EXP_DPD_SED_P","EXP_DPD_ITIS_P","EXP_DPD_SUD_P","EXP_DPD_DIT_P","EXP_DPD_HCD_P","EXP_DPD_TTD_P","EXP_DPD_PST_P","EXP_DPD_CMC_P","EXP_DPD_GOS_P","EXP_DPD_DPI_P","EXP_DPD_RBD_P","EXP_DPD_ADJ_P","EXP_DPD_LEG_P","EXP_DPD_LGOV_P","EXP_DPD_I_P","EXP_DPD_I_DOM_P","EXP_DPD_I_EXT_P","EXP_DPD_CEN_TOT_P","EXP_DPD_LGP_TOT_P","EXP_DPD_I_TOT_P","EXP_DPD_P"
2000-03-01,2000,"Q1","1999/00","Q3","March",,,,,,,,,,,,,,,,,,,,,,0,0,0,45.4512670831875,0,0,45.4512670831875
2000-04-01,2000,"Q2","1999/00","Q4","April",,,,,,,,,,,,,,,,,,,,,,0,0,0,45.4512670831875,0,0,45.4512670831875
2000-05-01,2000,"Q2","1999/00","Q4","May",,,,,,,,,,,,,,,,,,,,,,0,0,0,45.4512670831875,0,0,45.4512670831875
2000-06-01,2000,"Q2","1999/00","Q4","June",,,,,,,,,,,,,,,,,,,,,,0,0,0,45.4512670831875,0,0,45.4512670831875
2000-07-01,2000,"Q3","2000/01","Q1","July",,,,,,,,,,,,,,,,,,,,,,0,0,0,52.3902718468333,0,0,52.3902718468333
2000-08-01,2000,"Q3","2000/01","Q1","August",,,,,,,,,,,,,,,,,,,,,,0,0,0,52.3902718468333,0,0,52.3902718468333
2000-09-01,2000,"Q3","2000/01","Q1","September",,,,,,,,,,,,,,,,,,,,,,0,0,0,52.3902718468333,0,0,52.3902718468333
2000-10-01,2000,"Q4","2000/01","Q2","October",,,,,,,,,,,,,,,,,,,,,,0,0,0,52.3902718468333,0,0,52.3902718468333
2000-11-01,2000,"Q4","2000/01","Q2","November",,,,,,,,,,,,,,,,,,,,,,0,0,0,52.3902718468333,0,0,52.3902718468333
2000-12-01,2000,"Q4","2000/01","Q2","December",,,,,,,,,,,,,,,,,,,,,,0,0,0,52.3902718468333,0,0,52.3902718468333
2001-01-01,2001,"Q1","2000/01","Q3","January",,,,,,,,,,,,,,,,,,,,,,0,0,0,52.3902718468333,0,0,52.3902718468333
2001-02-01,2001,"Q1","2000/01","Q3","February",,,,,,,,,,,,,,,,,,,,,,0,0,0,52.3902718468333,0,0,52.3902718468333
2001-03-01,2001,"Q1","2000/01","Q3","March",,,,,,,,,,,,,,,,,,,,,,0,0,0,52.3902718468333,0,0,52.3902718468333
2001-04-01,2001,"Q2","2000/01","Q4","April",,,,,,,,,,,,,,,,,,,,,,0,0,0,52.3902718468333,0,0,52.3902718468333
2001-05-01,2001,"Q2","2000/01","Q4","May",,,,,,,,,,,,,,,,,,,,,,0,0,0,52.3902718468333,0,0,52.3902718468333
2001-06-01,2001,"Q2","2000/01","Q4","June",,,,,,,,,,,,,,,,,,,,,,0,0,0,52.3902718468333,0,0,52.3902718468333
2001-07-01,2001,"Q3","2001/02","Q1","July",,,,,,,,,,,,,,,,,,,,,,0,0,0,45.14907509,0,0,45.14907509
2001-08-01,2001,"Q3","2001/02","Q1","August",,,,,,,,,,,,,,,,,,,,,,0,0,0,45.14907509,0,0,45.14907509
2001-09-01,2001,"Q3","2001/02","Q1","September",,,,,,,,,,,,,,,,,,,,,,0,0,0,45.14907509,0,0,45.14907509
2001-10-01,2001,"Q4","2001/02","Q2","October",,,,,,,,,,,,,,,,,,,,,,0,0,0,44.87335684,0,0,44.87335684
2001-11-01,2001,"Q4","2001/02","Q2","November",,,,,,,,,,,,,,,,,,,,,,0,0,0,44.87335684,0,0,44.87335684
2001-12-01,2001,"Q4","2001/02","Q2","December",,,,,,,,,,,,,,,,,,,,,,0,0,0,44.87335684,0,0,44.87335684
2002-01-01,2002,"Q1","2001/02","Q3","January",,,,,,,,,,,,,,,,,,,,,,0,0,0,45.27545434,0,0,45.27545434
2002-02-01,2002,"Q1","2001/02","Q3","February",,,,,,,,,,,,,,,,,,,,,,0,0,0,45.27545434,0,0,45.27545434
2002-03-01,2002,"Q1","2001/02","Q3","March",,,,,,,,,,,,,,,,,,,,,,0,0,0,45.27545434,0,0,45.27545434
2002-04-01,2002,"Q2","2001/02","Q4","April",,,,,,,,,,,,,,,,,,,,,,0,0,0,41.9378224233333,0,0,41.9378224233333
2002-05-01,2002,"Q2","2001/02","Q4","May",,,,,,,,,,,,,,,,,,,,,,0,0,0,41.9378224233333,0,0,41.9378224233333
2002-06-01,2002,"Q2","2001/02","Q4","June",,,,,,,,,,,,,,,,,,,,,,0,0,0,41.9378224233333,0,0,41.9378224233333
2002-07-01,2002,"Q3","2002/03","Q1","July",,,,,,,,,,,,,,,,,,,,,,0,0,0,43.0517373866667,0,0,43.0517373866667
2002-08-01,2002,"Q3","2002/03","Q1","August",,,,,,,,,,,,,,,,,,,,,,0,0,0,43.0517373866667,0,0,43.0517373866667
2002-09-01,2002,"Q3","2002/03","Q1","September",,,,,,,,,,,,,,,,,,,,,,0,0,0,43.0517373866667,0,0,43.0517373866667
2002-10-01,2002,"Q4","2002/03","Q2","October",,,,,,,,,,,,,,,,,,,,,,0,0,0,43.0517373866667,0,0,43.0517373866667
2002-11-01,2002,"Q4","2002/03","Q2","November",,,,,,,,,,,,,,,,,,,,,,0,0,0,43.0517373866667,0,0,43.0517373866667
2002-12-01,2002,"Q4","2002/03","Q2","December",,,,,,,,,,,,,,,,,,,,,,0,0,0,43.0517373866667,0,0,43.0517373866667
2003-01-01,2003,"Q1","2002/03","Q3","January",,,,,,,,,,,,,,,,,,,,,,0,0,0,43.0517373866667,0,0,43.0517373866667
2003-02-01,2003,"Q1","2002/03","Q3","February",,,,,,,,,,,,,,,,,,,,,,0,0,0,43.0517373866667,0,0,43.0517373866667
2003-03-01,2003,"Q1","2002/03","Q3","March",,,,,,,,,,,,,,,,,,,,,,0,0,0,43.0517373866667,0,0,43.0517373866667
2003-04-01,2003,"Q2","2002/03","Q4","April",,,,,,,,,,,,,,,,,,,,,,0,0,0,43.0517373866667,0,0,43.0517373866667
2003-05-01,2003,"Q2","2002/03","Q4","May",,,,,,,,,,,,,,,,,,,,,,0,0,0,43.0517373866667,0,0,43.0517373866667
2003-06-01,2003,"Q2","2002/03","Q4","June",,,,,,,,,,,,,,,,,,,,,,0,0,0,43.0517373866667,0,0,43.0517373866667
2003-07-01,2003,"Q3","2003/04","Q1","July",,,,,,,,,,,,,,,,,,,,,,0,0,0,58.6583263263752,0,0,58.6583263263752
