"Date","Year","Quarter","FY","QFY","Month","REV_GRA_14","REV_TAX_14","REV_SOC_14","GRA_14","REV_OTH_14","EXP_14","EXP_COE_14","EXP_GS_14","EXP_CFC_14","EXP_I_14","EXP_SUB_14","EXP_GRA_14","EXP_SOC_14","EXP_OTH_14","GOB_14","NOB_14","NA_NFN_14","NA_NFN_FA_14","NA_NFN_CI_14","NA_NFN_VL_14","NA_NFN_NP_14","NLB_14","NA_FIN_14","NA_FIN_DOM_14","NA_FIN_EXT_14","NA_FIN_MGSDR_14","NL_14","NL_DOM_14","NL_EXT_14","EAO_14"
1997-07-01,1997,"Q3","1997/98","Q1","July",81.0375683333333,63.983,0,17.0117083333333,0.04286,58.8864805135821,7.44947441894481,25.3915353438287,,3.99932,0,21.3513180367828,0.694832714025842,,22.1510878197512,22.1510878197512,19.9725878197512,19.9725878197512,,,,2.17849999999999,-57.0699999999999,-57.0699999999999,0,,-60.46083,-72.06488,11.60405,-1.21233000000012
1997-08-01,1997,"Q3","1997/98","Q1","August",75.2152883333333,57.89,0,17.0117083333333,0.31358,77.3985601628456,7.51412611114605,42.2384020036029,,7.43515,0,18.6695058901149,1.54137615798164,,-2.18327182951225,-2.18327182951225,21.7029681704878,21.7029681704878,,,,-23.88624,11.958,11.958,0,,34.59749,19.33616,15.26133,-1.24675
1997-09-01,1997,"Q3","1997/98","Q1","September",83.0383883333333,65.83,0,17.0117083333333,0.19668,79.6255880659272,8.9439619243366,39.0200876188346,,8.66558,0,21.7331692792633,1.26278924349261,,3.41280026740617,3.41280026740617,25.1361902674062,25.1361902674062,,,,-21.72339,-21.3230000000001,-21.3230000000001,0,,6.61820000000001,-3.13774,9.75594,6.21781000000011
1997-10-01,1997,"Q4","1997/98","Q2","October",85.2097283333333,66.31,0,18.7950483333333,0.10468,76.2181243450465,9.04311871592476,38.8236791269888,,8.39196,0,18.6086325064328,1.35073399570009,,8.99160398828688,8.99160398828688,21.9658939882869,21.9658939882869,,,,-12.97429,-9.73999999999977,-9.73999999999977,0,,5.56049,-8.59368,14.15417,2.32619999999976
1997-11-01,1997,"Q4","1997/98","Q2","November",79.5757383333333,60.06,0,19.2934383333333,0.2223,79.8456302849673,12.2020475019179,41.0224244244747,,2.96428,0,22.1679943101701,1.48888404840464,,-0.269891951633923,-0.269891951633923,21.3007880483661,21.3007880483661,,,,-21.57068,66.245,66.245,0,,85.73713,21.59656,64.14057,-2.07854999999999
1997-12-01,1997,"Q4","1997/98","Q2","December",91.0538683333333,72.36,0,18.5437483333333,0.15012,80.1742653198341,9.52617614114975,41.0845807057867,,5.69968,0,22.4770498411784,1.38677863171928,,10.8796030134992,10.8796030134992,24.6960830134992,24.6960830134992,,,,-13.81648,7.0599999999999,7.0599999999999,0,,15.30161,-0.554860000000001,15.85647,-5.5748699999999
1998-01-01,1998,"Q1","1997/98","Q3","January",88.2314583333333,61.5,0,26.5401083333333,0.19135,67.5148055338666,8.32615540420363,30.9629203404259,,3.43143,0,23.8588225236198,0.935477265617246,,20.7166527994668,20.7166527994668,21.8109427994668,21.8109427994668,,,,-1.09429000000001,18.5959999999999,18.5959999999999,0,,17.60787,4.58331,13.02456,-2.08241999999988
1998-02-01,1998,"Q1","1997/98","Q3","February",111.784628333333,63.23,0,48.2741483333333,0.28048,74.6894307234128,9.86727719979252,37.3705938446225,,4.95927,0,21.278583129859,1.21370654913881,,37.0951976099205,37.0951976099205,23.8781276099205,23.8781276099205,,,,13.21707,43.5429327220001,43.5429327220001,0,,31.24692097,17.48210097,13.76482,0.921058247999913
1998-03-01,1998,"Q1","1997/98","Q3","March",127.312448333333,69.74,0,57.3846983333333,0.18775,81.2060960164661,10.6521771696678,41.2868380537522,,7.756,0,20.1438059846421,1.36727480840402,,46.1063523168672,46.1063523168672,25.6722923168673,25.6722923168673,,,,20.43406,2.39706727799983,2.39706727799983,0,,-7.09481977400005,-13.9838397740001,6.88902,10.9421729480001
1998-04-01,1998,"Q2","1997/98","Q4","April",82.1869683333333,63.83,0,18.1692183333333,0.18775,90.4378130955143,10.1737558845969,45.2971229632461,,8.47066,0,24.8694871909325,1.62678705673876,,-8.25084476218095,-8.25084476218095,24.2163552378191,24.2163552378191,,,,-32.4672,-0.125399999999579,-0.125399999999579,0,,29.2465188040001,14.2004088040001,15.04611,-3.09528119600034
1998-05-01,1998,"Q2","1997/98","Q4","May",89.1494583333333,67.03,0,21.9317083333333,0.18775,83.4945184239191,10.1275013325932,38.9430246087992,,3.55925,0,29.533048658079,1.33169382444762,,5.65493990941422,5.65493990941422,22.7844799094142,22.7844799094142,,,,-17.12954,-5.68360000000019,-5.68360000000019,0,,9.03319000000003,-5.63825999999998,14.67145,-2.4127499999998
1998-06-01,1998,"Q2","1997/98","Q4","June",203.502158333333,85.73,0,117.584408333333,0.18775,114.367395744418,11.3826800094643,63.0137459516984,,5.00996,0,32.7613440789253,2.19966570432943,,89.1347625889158,89.1347625889158,36.2570125889158,36.2570125889158,,,,52.87775,168.1188,168.1188,0,,109.62066,93.0392,16.58146,-5.62039000000007
1998-07-01,1998,"Q3","1998/99","Q1","July",111.057175967333,75.955736734,0,32.2277552333333,2.873684,64.4052638018558,12.2055193041003,22.6861474418872,,4.983868708,0,23.9612155484092,0.568512799459039,,46.6519121654776,46.6519121654776,21.5598896779686,21.5598896779686,,,,25.092022487509,-43.8466289999998,-43.8466289999998,0,,-58.8743825355089,-65.1834555999999,6.30907306449104,10.0642689519999
1998-08-01,1998,"Q3","1998/99","Q1","August",100.607128117333,74.125858592,0,26.4162835253333,0.0649859999999989,93.3640884749063,13.9205024449102,43.7529552901093,,6.328263916,0,27.819621484466,1.54274533942075,,7.24303964242704,7.24303964242704,26.2001191009181,26.2001191009181,,,,-18.957079458491,9.62783099999977,9.62783099999977,0,,37.816049198491,23.147105,14.668944198491,9.23113874000023
1998-09-01,1998,"Q3","1998/99","Q1","September",100.371035341333,72.477851808,0,27.6669825333333,0.226201,93.0181870952213,13.75668841618,41.5320350950462,,8.09266716,0,28.2818912522175,1.35490517177759,,7.35284824611205,7.35284824611205,28.0535577246031,28.0535577246031,,,,-20.700709478491,-26.433965,-26.433965,0,,-4.51803003350897,-15.6450456,11.127015566491,1.215225488
1998-10-01,1998,"Q4","1998/99","Q2","October",98.4968704723333,72.611887439,0,25.8609380333333,0.024045,84.5530208019781,13.3715603936799,36.5296964849377,,5.21546968,0,28.2614599797887,1.17483426357168,,13.9438496703553,13.9438496703553,25.541163204513,25.541163204513,,,,-11.5973135341577,-15.270593,-15.270593,0,,13.6043002331577,2.82274566666667,10.781554566491,17.2775796990001
1998-11-01,1998,"Q4","1998/99","Q2","November",100.538506191333,69.726047058,0,30.7088271333333,0.103632,104.375024691428,13.7409409429132,55.7841863446081,,3.3123894,0,29.2710307654115,2.26647723849506,,-3.8365185000945,-3.8365185000945,24.2452250350632,24.2452250350632,,,,-28.0817435351577,-1.46689799999977,-1.46689799999977,0,,23.3018668531577,-11.8818393333333,35.183706186491,-3.3129786820002
1998-12-01,1998,"Q4","1998/99","Q2","December",118.463655006333,90.315479673,0,28.0690053333333,0.0791700000000003,101.271632556575,13.8555747292086,48.2370344930854,,5.9004748,0,31.5885806616267,1.68996787265391,,17.1920224497587,17.1920224497587,28.8427525699164,28.8427525699164,,,,-11.6507301201577,33.5559539999998,33.5559539999998,0,,5.60060181195769,7.83739248546665,-2.23679067350896,-39.6060823081998
1999-01-01,1999,"Q1","1998/99","Q3","January",114.297802348333,81.111114825,0,32.9889615233333,0.197726,81.8699607077936,11.4766021057074,37.9787792285623,,3.84756044,0,27.3233973037038,1.24362162982013,,32.4278416405398,32.4278416405398,25.8115083920308,25.8115083920308,,,,6.61633324850897,19.1703280000001,19.1703280000001,0,,6.72501463049111,-7.02346799999992,13.748482630491,-5.82898012100002
1999-02-01,1999,"Q1","1998/99","Q3","February",105.373959312333,74.688006119,0,30.6394671933333,0.046486,93.8248608920297,15.0855293308602,37.6384362532638,,8.019734,0,31.8044373924046,1.27672391550106,,11.5490984203036,11.5490984203036,24.3925777677947,24.3925777677947,,,,-12.8434793474911,-1.37116200000004,-1.37116200000004,0,,-5.03239748950911,-11.3642699580002,6.33187246849104,-16.5047148370001
1999-03-01,1999,"Q1","1998/99","Q3","March",171.098145288333,82.181594075,0,88.5520952133333,0.364456,100.553089436539,16.7707454229599,39.2235491307202,,8.73460514,0,34.5579750342801,1.26621470857923,,70.545055851794,70.545055851794,27.047984363285,27.047984363285,,,,43.4970714885089,22.2855020000002,22.2855020000002,0,,6.14333802449112,2.58017634800008,3.56316167649104,27.3549075129998
1999-04-01,1999,"Q2","1998/99","Q4","April",116.899348415333,77.544326512,0,35.4380388333333,3.91698307,92.9608040040905,13.8505969202674,46.4052017426147,,4.6258096,0,26.2984260168056,1.78076972440277,,23.9385444112429,23.9385444112429,23.6096402557339,23.6096402557339,,,,0.328904155508962,38.3955049999998,38.3955049999998,0,,15.391543556491,2.77106761999993,12.620475936491,-22.6750572879998
1999-05-01,1999,"Q2","1998/99","Q4","May",98.9976492783333,71.160031945,0,25.5978313333333,2.239786,96.7564213768686,16.0074855497862,48.9083258671091,,3.6694187,0,26.3809287261981,1.79026253377518,,2.24122790146475,2.24122790146475,27.0850419829558,27.0850419829558,,,,-24.843814081491,32.519573,32.519573,0,,68.2770277764908,27.1351791499998,41.141848626491,10.9136406949998
1999-06-01,1999,"Q2","1998/99","Q4","June",121.393494271333,93.660215938,0,22.7701053333333,4.963173,126.651809623541,18.9163337704947,68.3559627158142,,6.110302,0,31.2242463346882,2.0449648025436,,-5.25831535220743,-5.25831535220743,49.1074690362837,49.1074690362837,,,,-54.3657843884911,147.640566,147.640566,0,,177.561170926491,123.9867076,53.574463326491,-24.4451794619997
1999-07-01,1999,"Q3","1999/00","Q1","July",117.854358694,79.421200994,0,38.1242487,0.308909,80.3211058883113,13.6956770282401,27.3320562506084,,5.4053873,0,33.3926425514627,0.495342758,,37.5332528056887,37.5332528056887,23.1764397450221,23.1764397450221,,,,14.3568130606667,-56.1552150000003,-56.1552150000003,0,,-88.7598033168126,-101.366693,12.6068896831875,-18.2477752561456
1999-08-01,1999,"Q3","1999/00","Q1","August",106.183561,71.610331,0,31.774332,2.798898,105.637741079267,13.7034943194259,46.0349891090206,,11.575802,0,33.5056128928204,0.817842758,,0.545819920733067,0.545819920733067,30.4977102540664,30.4977102540664,,,,-29.9518903333333,-33.4566499999998,-33.4566499999998,0,,13.3979000831873,2.83800699999978,10.5598930831875,16.9026597498537
1999-09-01,1999,"Q3","1999/00","Q1","September",111.7371662,76.9911758,0,34.6315194,0.114471,99.6130356204749,18.6286447699422,38.1876866253573,,11.8938783,0,30.4074831671755,0.495342758,,12.1241305795251,12.1241305795251,26.8742880128584,26.8742880128584,,,,-14.7501574333333,31.8979280000002,31.8979280000002,0,,60.7168419831876,48.8678420000001,11.8489999831875,14.068756549854
1999-10-01,1999,"Q4","1999/00","Q2","October",109.285461818,73.747402818,0,35.07219,0.465869,90.4552029171453,11.4690876133354,37.6093446717725,,6.867931,0,33.7626635460374,0.746176086,,18.8302589008547,18.8302589008547,25.036160416188,25.036160416188,,,,-6.20590151533333,1.94512899999965,1.94512899999965,0,,20.8891320831876,6.89133500000007,13.9977970831875,12.7381015678546
1999-11-01,1999,"Q4","1999/00","Q2","November",140.749168025,76.224998225,0,64.0948098,0.42936,121.681335378272,24.3635868522612,56.6808001660632,,5.317786,0,34.5729862739481,0.746176086,,19.0678326467275,19.0678326467275,30.3335879550609,30.3335879550609,,,,-11.2657553083333,1.24293300000013,1.24293300000013,0,,22.9514680831874,9.91542299999986,13.0360450831875,10.4427797748539
