"Date","Year","Quarter","FY","QFY","Month","OFCS_NFA","OFCS_CNR","OFCS_LNR","OFCS_NCCG","OFCS_CCG","OFCS_LCG","OFCS_COS","OFCS_COS_SLG","OFCS_COS_PNFC","OFCS_COS_PRV","OFCS_COS_PRV_LN","OFCS_CDC","OFCS_LDC","OFCS_LOS","OFCS_LOS_ITR","OFCS_SOE","OFCS_OIN","OFCS_OIN_FA"
2011-10-01,2011,"Q4","2011/12","Q2","October",-57.051308825389,36.552349567901,93.60365839329,928.23501002,928.48501002,0.25,139.20053887727,0,0,139.20053887727,109.16158194227,1063.3195265456,4.987158508,2341.83842113014,2305.21571084914,37.4417793232228,310.563592345042,371.78968341362
2012-01-01,2012,"Q1","2011/12","Q3","January",-62.16693509829,42.23665463,104.40358972829,1104.538413217,1104.788413217,0.25,141.08905873801,0,0,141.08905873801,110.78956123901,1012.39862863643,1.737212921,2458.16105135169,2425.63642240269,58.8106831775039,322.849781957931,378.7916612877
2012-04-01,2012,"Q2","2011/12","Q4","April",-58.8664389525,44.295602978,103.1620419305,1334.699668226,1334.949668226,0.25,144.112536002,0,0,144.112536002,114.661830249,954.10856870449,2.801619737,2664.254296788,2625.370996535,97.8504323284663,390.852014875618,433.96629730398
2012-07-01,2012,"Q3","2012/13","Q1","July",-104.299834137375,55.711885387,160.011719524375,1403.789706905,1404.105695388,0.315988483,155.742780858953,0,0,155.742780858953,129.598128690953,1034.00805134191,4.700544221,2777.801559073,2754.121208928,121.065538460045,414.326936788934,438.388493984435
2012-10-01,2012,"Q4","2012/13","Q2","October",-87.37021177005,67.372262728,154.74247449805,1580.182660357,1580.473455869,0.290795512,200.17172064482,0,56.18025244,143.99146820482,137.84866453982,977.675626253835,5.113926425,2938.90125840283,2911.067314324,150.188805031128,423.544194372738,443.50141773328
2013-01-01,2013,"Q1","2012/13","Q3","January",-49.09590989519,75.548674059,124.64458395419,1758.438458282,1758.877602389,0.439144107,204.39215837282,0,59.86231124,144.52984713282,139.41728373782,990.151018978785,5.317922102,3132.63115999841,3106.95108307,191.053957448958,425.117313812288,447.95377856086
2013-04-01,2013,"Q2","2012/13","Q4","April",-21.45219426735,87.933379543,109.38557381035,1919.613836106,1919.813246644,0.199410538,217.68263093167,0,67.380649729,150.30198120267,145.19971780767,997.017778895285,6.915423909,3317.95669614307,3289.075654869,220.393347639428,432.403416029813,459.87117899353
2013-07-01,2013,"Q3","2013/14","Q1","July",350.82110348165,460.62329269955,109.8021892179,1809.68592450545,1809.84470074845,0.158776243,228.80353513696,0,72.395360271,156.40817486596,150.98516254496,945.00456247059,6.573800038,3512.74271423,3486.756508459,241.532262438858,426.533651103388,460.83946144287
2013-10-01,2013,"Q4","2013/14","Q2","October",451.938578676768,558.779868095072,106.841289418304,1782.86227896662,1782.97949976962,0.117220803,312.69552062438,0,72.845360271,239.85016035338,158.83663090938,1000.35907808494,5.850887781,3713.10974435559,3684.213663841,268.52932548893,439.634501281255,467.161943369845
2014-01-01,2014,"Q1","2013/14","Q3","January",542.525454272016,651.681699943056,109.15624567104,1872.190566495,1872.590054462,0.399487967,357.8558732179,0,72.395360271,285.4605129469,201.5457472009,1007.0846967264,31.006854453,3921.340842041,3891.947021241,284.384129236777,457.075235020582,482.669051690375
2014-04-01,2014,"Q2","2013/14","Q4","April",660.221211180575,772.425210973,112.203999792426,1985.676389257,1986.015125815,0.338736558,411.3091697162,0,112.371201836,298.9379678802,216.2812603532,981.112558556818,32.15726099983,4168.914066118,4141.800734121,318.444511093918,481.196509495126,505.54442232673
2014-07-01,2014,"Q3","2014/15","Q1","July",791.20035975988,867.587569049,76.38720928912,2155.483905828,2155.73754366,0.253637832,461.51495401706,0,138.408487065,323.10646695206,238.18296752306,934.73901238298,31.80467757936,4394.577081118,4367.177483322,425.631891136836,509.075417846165,510.98658736233
2014-10-01,2014,"Q4","2014/15","Q2","October",837.306655864654,958.7863480256,121.479692160946,2360.2498348,2368.49116293,8.24132813,598.76037218007,0,139.158487065,459.60188511507,376.67509456245,913.212545506041,35.068698561914,4598.6244077975,4576.336383947,639.406098295886,563.569796305447,544.96933782958
2015-01-01,2015,"Q1","2014/15","Q3","January",950.941850084864,1087.40552489238,136.463674807518,2698.48079610907,2708.034085025,9.55328891593,625.696838645287,0,135.600922729,490.095915916287,404.858406184668,770.327836352365,50.738108823,4824.92832425346,4801.672204886,743.620092689296,573.83920457393,547.61200577838
2015-04-01,2015,"Q2","2014/15","Q4","April",1249.16828549626,1419.49776467222,170.329479175959,2873.03514700107,2882.695266243,9.66011924193,651.040304478313,0,128.85110088,522.189203598313,439.148407861074,585.991657153785,55.726470855,5190.55500857446,5166.761914691,697.122006368578,584.168091669133,548.13175564679
2015-07-01,2015,"Q3","2015/16","Q1","July",1354.69679540074,1505.06289922145,150.366103820711,3025.79660467536,3037.29072063429,11.49411595893,730.150663317062,0,163.60951653,566.541146787063,481.133282555823,686.775235736693,75.518584783,5441.32432761846,5419.33861324,777.282590728099,496.706204003504,552.585551093705
2015-10-01,2015,"Q4","2015/16","Q2","October",1301.35384687517,1456.65928792634,155.305441051174,3757.24895698329,3769.59829695529,12.349339972,994.463325478749,0,166.01674424,828.446581238749,509.734474478749,769.064038798948,69.496613229,6595.90039517046,6574.939682563,696.110579769687,539.377420030626,565.77339644504
2016-01-01,2016,"Q1","2015/16","Q3","January",1420.42677030458,1570.58679141516,150.160021110579,3829.56127655536,3842.31375472229,12.75247816693,1064.47223755957,0,218.076609953,846.395627606571,525.347126852331,740.81549033736,64.78684601,6845.24856541,6823.729123189,683.407580174365,538.167216836539,569.096153272749
2016-04-01,2016,"Q2","2015/16","Q4","April",1691.29365031197,1840.66236724921,149.368716937247,3953.24496218136,3966.03887956129,12.79391737993,1007.65795633937,0,145.939596484,861.718359855374,540.388984071374,732.184431017331,58.523135813,7163.536396172,7142.431955139,711.73631524979,549.414847385971,577.266400422385
2016-07-01,2016,"Q3","2016/17","Q1","July",1740.1964353221,1990.43964534936,250.243210027262,4300.05603907555,4312.58070595548,12.52466687993,1251.3149052355,0,157.278809428027,1094.03609580748,580.279081968718,1095.83046349575,72.7813018045804,7895.26612890836,7869.77192203922,1034.8227754773,615.472363062343,738.415645406903
2016-10-01,2016,"Q4","2016/17","Q2","October",1996.05765332219,2233.66191940464,237.604266082449,4618.49011722131,4629.73237660124,11.24225937993,1304.311535796,0,209.26480233118,1095.04673346482,601.960880242955,932.110310741927,75.3592293169421,8436.10151978958,8414.34867938008,1016.53795523083,677.029087259643,799.921034176768
2017-01-01,2017,"Q1","2016/17","Q3","January",2125.56155962497,2378.73960592435,253.178046299384,4716.18902107556,4727.08017290649,10.89115183093,1356.48948388916,0,209.44158983972,1147.04789404944,594.13189886466,956.960374156519,68.6155717809787,8740.21428291387,8720.05655296037,1007.19675721634,660.826173169912,788.590607810104
2017-04-01,2017,"Q2","2016/17","Q4","April",2455.80861200447,2715.70805947468,259.899447470211,5400.35732071481,5412.16904949074,11.81172877593,1325.77490824155,0,183.139431229062,1142.63547701249,606.15021829475,973.173692357695,82.2086154068726,9214.73273347737,9193.26169188987,1566.19640634696,708.023221902896,844.125985598713
2017-07-01,2017,"Q3","2017/18","Q1","July",2722.53555940748,2991.11258809942,268.577028691938,5673.4678537241,5686.66004620703,13.19219248293,1372.27316270538,0,205.563269174589,1166.70989353079,636.717549084457,957.302919312607,85.5438840187457,9666.35786830039,9645.25206230692,1685.29347301163,711.615730178201,852.526740244172
2017-10-01,2017,"Q4","2017/18","Q2","October",3064.80009623057,3336.10734105989,271.307244829325,5812.22732687109,5825.43566652802,13.20833965693,1434.9787890736,0,219.830989367334,1215.14779970627,671.85003166273,1084.9676922298,82.1043928917855,10178.2340762909,10159.8470667741,1858.81206673274,722.176631510105,866.77359685155
2018-01-01,2018,"Q1","2017/18","Q3","January",3570.38866190267,3849.78083365692,279.392171754256,5965.33311543028,5977.75997503021,12.42685959993,1493.61082606632,0,215.640235369572,1277.97059069675,685.649808028232,978.311018470627,64.8637655119307,10550.7706222981,10529.9418219323,2090.44635799193,698.437123932099,888.643699655329
2018-04-01,2018,"Q2","2017/18","Q4","April",3786.81904721473,4101.20114237473,314.382095159994,6363.94198922962,6376.38924949155,12.44726026193,1530.70740686295,0,240.583866709954,1290.123540153,697.57046404862,1046.58720698417,65.0575144903574,11353.5877306459,11326.7962891385,2160.42703814418,851.016632989203,990.910747754434
2018-07-01,2018,"Q3","2018/19","Q1","July",3737.76902900587,4053.56833212577,315.799303119903,6571.01339738136,6579.05173119229,8.03833381093,1619.96676442069,0,239.757614505864,1380.20914991483,736.622739739538,1008.44764653452,80.9379416189535,11755.9716820587,11727.5978235797,1888.32374150542,788.036527840924,998.408243310394
