"Date","Year","Quarter","FY","QFY","Month","IM_ASI","IM_IND","IM_CHN","IM_JPN","IM_MYS","IM_KOR","IM_SGP","IM_IDN","IM_THA","IM_HKG","IM_RUS","IM_PAK","IM_TWN","IM_VNM","IM_BGD","IM_LKA","IM_GEO","IM_PHL","IM_PRK","IM_ASI_OTH","IM_EUU","IM_DEU","IM_GBR","IM_NLD","IM_ITA","IM_FRA","IM_BEL","IM_SWE","IM_DNK","IM_IRL","IM_ESP","IM_FIN","IM_AUT","IM_HUN","IM_POL","IM_CZE","IM_MLT","IM_ROU","IM_BGR","IM_SVK","IM_LUX","IM_CYP","IM_PRT","IM_GRC","IM_LTU","IM_EST","IM_EUU_OTH","IM_MIE","IM_ARE","IM_KWT","IM_SAU","IM_LBN","IM_BHR","IM_QAT","IM_ISR","IM_IRN","IM_SYR","IM_JOR","IM_IRQ","IM_OMN","IM_MIE_OTH","IM_COM","IM_KEN","IM_EGY","IM_SWZ","IM_COD","IM_MUS","IM_RWA","IM_MWI","IM_SDN","IM_BDI","IM_ZWE","IM_ETH","IM_NAM","IM_ZMB","IM_ERI","IM_SSD","IM_COM_OTH","IM_ROA","IM_ZAF","IM_TZA","IM_CIV","IM_GHA","IM_LBR","IM_NGA","IM_BEN","IM_GAB","IM_BWA","IM_MLI","IM_CMR","IM_BFA","IM_SEN","IM_NER","IM_SLE","IM_TGO","IM_TUN","IM_ROA_OTH","IM_ROE","IM_UKR","IM_TUR","IM_CHE","IM_NOR","IM_SRB","IM_HRV","IM_MDA","IM_ROE_OTH","IM_UCL","IM_USA","IM_BRA","IM_CAN","IM_AUS","IM_CHL","IM_PER","IM_JAM","IM_COL","IM_MEX","IM_PAN","IM_VGB","IM_ARG","IM_DOM","IM_NZL","IM_URY","IM_CUB","IM_LIE","IM_UCL_OTH","IM"
1999-05-01,1999,"Q2","1998/99","Q4","May",12.478,4.097,2.416,2.278,0.397,0.197,0,0.211,0.026,1.178,0.478,0.198,0.089,0.736,0.177,0,0,0,0,0,21.866,1.27,6.012,0.221,0.439,0.414,0.539,0.682,0.174,0.283,0.388,,1.013,,10.316,,,0.065,,,,,0.016,,,,0.034,5.238,0.56,,1.39,,2.272,,1.015,,,,,,0.00100000000000033,11.512,10.632,,0.574,,,,,,,0.063,,,,,,0.242999999999999,5.145,4.686,0.441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0179999999999998,0.296,0,0,0.174,0.02,0,0,0,0.102,1.429,0.579,,0.495,0.315,0,0,0,0,,0,0,,0,0,0,0,0,0.0399999999999996,57.964
1999-06-01,1999,"Q2","1998/99","Q4","June",15.94,2.928,2.457,1.64,4.609,0.362,1.313,0.91,0.103,0.496,0.045,0.135,0.115,0.665,0.149,0,0,0,0,0.0130000000000017,14.885,1.353,5.987,1.15,2.736,1.593,0.907,0.033,0.207,0.532,0.317,,0.041,,,,,0.009,,,,,,,,,0.02,4.073,0.326,,1.474,,2.16,,0.096,,,,,,0.0170000000000003,10.301,9.493,0.175,0.45,,,,,,,0.067,,,,,,0.116,4.125,3.413,0.712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.542,0,0,0.137,0.008,0,0,0,0.397,3.909,0.52,1.193,1.626,0.529,0,0,0,0,,0,0,,0,0,0,0,0,0.0409999999999999,53.775
1999-07-01,1999,"Q3","1999/00","Q1","July",22.314,4.112,4.042,11.849,0.44,0.192,0.116,0.891,0.069,0.024,0.181,0.066,0.126,0,0.206,0,0,0,0,0,11.826,3.444,4.193,0.977,0.494,1.329,0.639,0.264,0.087,0.252,0.117,,0.007,,,,,0.002,,,,,0.007,,,,0.0140000000000011,5.012,0.185,,0.358,,4.288,,0.073,,,,,,0.108,10.632,9.869,0.002,0.69,,,,,,,0.003,0.007,,,,,0.061,3.763,3.58,0.183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1.022,0,0,0.636,0.037,0,0,0,0.349,5.454,2.708,0.383,0.108,0.912,0,0,0,0,0.32,0,0,0,0,0,0,0,0,1.023,60.023
1999-08-01,1999,"Q3","1999/00","Q1","August",15.024,3.058,2.994,3.005,3.618,0.424,0.046,0.586,0.146,0.013,0.584,0.027,0.085,0,0.426,0,0,0,0,0.0119999999999969,8.638,0.509,3.58,0.741,0.512,1.146,1.356,0.156,0.294,0.189,0.091,,0.01,,,,,0.042,,,,,0.012,,,,,2.327,0.208,,0.323,,1.518,,0.133,,,0.012,,,0.133,12.309,9.492,1.561,1.036,,,,,,,0.116,,,,,,0.104,4.092,3.701,0.391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.492,0,0,0.148,0.001,0,0,0,0.343,5.604,3.03,0.2,0.445,0.431,0,0,0,0,0.432,0,0,0,0,0,0,0,0,1.066,48.486
1999-09-01,1999,"Q3","1999/00","Q1","September",16.588,5.505,5.864,2.938,0.157,0.587,0.084,0.614,0.172,0.046,0.4,0.11,0.017,0,0.094,0,0,0,0,0,12.203,2.943,3.266,1.984,0.55,0.641,1.215,0.145,0.624,0.375,0.382,,,,,,,0.062,,,,,0.005,,,,0.0109999999999992,6.17,0.297,,0.546,,4.917,,0.123,,,,,,0.287,15.065,12.508,1.541,0.887,,,,,,,0.129,,,,,,0,5.939,5.593,0.282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.064,0.612,0,0,0.227,0.053,0,0,0,0.332,6.933,1.86,0.345,1.091,1.844,0,0,0,0,0,0,0,0.11,0,0,0,0,0,1.683,63.51
1999-10-01,1999,"Q4","1999/00","Q2","October",14.71,3.768,2.669,1.499,4.213,0.314,0.151,0.853,0.404,0,0.255,0.238,0.217,0,0.128,0,0,0,0,0.000999999999999446,12.856,1.916,4.131,1.766,0.91,1.224,0.286,0.779,0.448,0.261,0.225,,0.073,,,,,0.056,,,,,,,,,0.781000000000001,6.171,0.529,,0.435,,5.015,,0.171,,,0.021,,,,7.31,6.647,0.057,0.436,,,,,,,0.018,,,0.062,,,0.09,3.27,3.094,0.164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012,0.191,0,0,0.087,,0,0,0,0.104,6.045,2.508,0.149,1.202,0.121,0,0,0,0,0,0,0,0.258,0,0,0,0,0,1.807,50.553
1999-11-01,1999,"Q4","1999/00","Q2","November",12.189,3.231,2.073,2.476,0.455,0.99,0.033,0.772,0.261,1.335,0.22,0.16,0.034,0,0.149,0,0,0,0,0,14.454,1.949,4.052,0.818,0.786,1.489,0.972,2.887,0.523,0.578,0.316,,0.033,,,,,,,,,,0.014,,,,0.0370000000000008,4.793,0.526,,0.637,,3.16,,0.4,,,,,,0.0700000000000003,13.135,11.84,0.246,0.449,0.034,,,,,,0.165,,,0.341,,,0.06,7.306,6.374,0.932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.196,0,0,0.135,,0,0,0,0.061,9.538,3.444,2.703,1.671,0.179,0,0,0,0,0,0,0,,0,0,0,0,0,1.541,61.611
1999-12-01,1999,"Q4","1999/00","Q2","December",16.549,2.633,2.827,3.391,4.583,0.24,0.183,1.037,0.321,0.873,0.064,0.151,0.101,0,0.145,0,0,0,0,0,10.61,1.623,4.174,1.184,0.471,1.2,0.462,0.367,0.633,0.295,0.105,,0.035,,,,,,,,,,0.025,,,,0.0359999999999978,3.827,0.622,,0.152,,2.656,,,,,,,,0.397,7.9841,7.601,0.122,,,,0.013,,,,0.1111,,,,,,0.137,4.046,4.009,0.037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.494,0,0,0.118,,0,0,0,0.376,3.83,1.247,0.569,0.418,0.33,0,0,0,0,0,0,0,0.392,0,0,0,0,0,0.874,47.3401
2000-01-01,2000,"Q1","1999/00","Q3","January",20.062,6.622,4.177,1.964,4.823,0.445,0.061,0.21,0.279,0.02,0.339,0.852,0.04,0,0.214,0,0,0,0,0.0159999999999982,12.923,1.756,3.42,0.644,1.014,3.053,1.569,0.002,0.068,0.123,0.228,,0.224,,,,,,,,,,,,,,0.822000000000001,3.268,0.201,,0.336,,2.59,,0.08,,,,,,0.0609999999999999,10.231,9.246,0.685,,,,,,,,,,,,,,0.3,2.973,2.859,0.114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.223,0,0,0.151,0.019,0,0,0,0.053,5.955,3,1.221,0.517,0.177,0,0,0,0,0,0,0,,0,0,0,0,0,1.04,55.635
2000-02-01,2000,"Q1","1999/00","Q3","February",12.409,3.81,1.841,2.288,0.305,0.923,0.382,0.513,1.516,0.013,0.05,0.668,0.081,0,0,0,0,0,0,0.019,11.72,2.279,3.711,0.776,0.493,0.973,1.146,0.425,1.091,0.179,0.061,,0.034,,,,,0.044,,,,,0.001,,,,0.507,6.712,0.529,,0.401,,5.245,,0.106,,,0.002,,,0.429,17.323,16.2,0.047,0.22,,,0.004,,,,0.171,,,,,,0.681,4.913,4.31,0.514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.089,5.124,0,0,0.438,3.629,0,0,0,1.057,5.03,0.649,0.762,0.6,2.378,0,0,0,0,0.392,0,0,,0,0,0,0,0,0.249,63.231
