"Date","Year","Quarter","FY","QFY","Month","EXPI_99","EXPI_05","IMPI_99","IMPI_05","TOT_99","TOT_05"
1995-07-01,1995,"Q3","1995/96","Q1","July",152.757790181863,,111.235202087146,,137.328639958946,
1995-08-01,1995,"Q3","1995/96","Q1","August",156.615205729397,,118.486468595935,,132.179824063699,
1995-09-01,1995,"Q3","1995/96","Q1","September",158.311886315929,,94.7677165169275,,167.052549258852,
1995-10-01,1995,"Q4","1995/96","Q2","October",144.661929351581,,112.932976038878,,128.095384028293,
1995-11-01,1995,"Q4","1995/96","Q2","November",143.773014079441,,105.715704239354,,135.999674895908,
1995-12-01,1995,"Q4","1995/96","Q2","December",133.878518730372,,102.365669787539,,130.784587262739,
1996-01-01,1996,"Q1","1995/96","Q3","January",122.645112182295,,114.295557113852,,107.305231523676,
1996-02-01,1996,"Q1","1995/96","Q3","February",120.861011079326,,120.885612574941,,99.9796489465606,
1996-03-01,1996,"Q1","1995/96","Q3","March",126.225407031059,,128.775748532083,,98.0195482999741,
1996-04-01,1996,"Q2","1995/96","Q4","April",117.546386602654,,112.789958242451,,104.217067223289,
1996-05-01,1996,"Q2","1995/96","Q4","May",117.52879289181,,117.261480060541,,100.227963037078,
1996-06-01,1996,"Q2","1995/96","Q4","June",115.876288208489,,111.769909733256,,103.673957047145,
1996-07-01,1996,"Q3","1996/97","Q1","July",108.888317194358,,121.54774164238,,111.626063083908,
1996-08-01,1996,"Q3","1996/97","Q1","August",110.307181563551,,109.050390202521,,98.8606441183472,
1996-09-01,1996,"Q3","1996/97","Q1","September",109.796142530914,,111.971072223731,,101.980879876727,
1996-10-01,1996,"Q4","1996/97","Q2","October",111.217760105259,,108.072410380204,,97.1718997738507,
1996-11-01,1996,"Q4","1996/97","Q2","November",110.085492574059,,108.005649354997,,98.1107018096297,
1996-12-01,1996,"Q4","1996/97","Q2","December",111.363823937711,,107.270172716859,,96.3240744829835,
1997-01-01,1997,"Q1","1996/97","Q3","January",105.857941620778,,120.651936198259,,87.738286642022,
1997-02-01,1997,"Q1","1996/97","Q3","February",115.035594594111,,111.635640176907,,103.04558151126,
1997-03-01,1997,"Q1","1996/97","Q3","March",125.648672058432,,108.395062112994,,115.917339414827,
1997-04-01,1997,"Q2","1996/97","Q4","April",133.079194885918,,105.691237761618,,125.913176630662,
