"Date","Year","Quarter","FY","QFY","Month","EXP_DPD_AGRO","EXP_DPD_MID","EXP_DPD_SPD","EXP_DPD_MAN","EXP_DPD_TOU","EXP_DPD_NECLW","EXP_DPD_PSD","EXP_DPD_SED","EXP_DPD_ITIS","EXP_DPD_SUD","EXP_DPD_DIT","EXP_DPD_HCD","EXP_DPD_TTD","EXP_DPD_PST","EXP_DPD_CMC","EXP_DPD_GOS","EXP_DPD_DPI","EXP_DPD_RBD","EXP_DPD_ADJ","EXP_DPD_LEG","EXP_DPD_LGOV","EXP_DPD_I","EXP_DPD_I_DOM","EXP_DPD_I_EXT","EXP_DPD_CEN_TOT","EXP_DPD_LGP_TOT","EXP_DPD_I_TOT","EXP_DPD"
2003-10-01,2003,"Q4","2003/04","Q2","October",,,,,,,,,,,,,,,,,,,,,,0,0,0,58.6583263263752,0,0,58.6583263263752
2003-11-01,2003,"Q4","2003/04","Q2","November",,,,,,,,,,,,,,,,,,,,,,0,0,0,58.6583263263752,0,0,58.6583263263752
2003-12-01,2003,"Q4","2003/04","Q2","December",,,,,,,,,,,,,,,,,,,,,,0,0,0,58.6583263263752,0,0,58.6583263263752
2004-01-01,2004,"Q1","2003/04","Q3","January",,,,,,,,,,,,,,,,,,,,,,0,0,0,58.6583263263752,0,0,58.6583263263752
2004-02-01,2004,"Q1","2003/04","Q3","February",,,,,,,,,,,,,,,,,,,,,,0,0,0,58.6583263263752,0,0,58.6583263263752
2004-03-01,2004,"Q1","2003/04","Q3","March",,,,,,,,,,,,,,,,,,,,,,0,0,0,58.6583263263752,0,0,58.6583263263752
2004-04-01,2004,"Q2","2003/04","Q4","April",,,,,,,,,,,,,,,,,,,,,,0,0,0,58.6583263263752,0,0,58.6583263263752
2004-05-01,2004,"Q2","2003/04","Q4","May",,,,,,,,,,,,,,,,,,,,,,0,0,0,58.6583263263752,0,0,58.6583263263752
2004-06-01,2004,"Q2","2003/04","Q4","June",,,,,,,,,,,,,,,,,,,,,,0,0,0,58.9583263263751,0,0,58.9583263263751
2004-07-01,2004,"Q3","2004/05","Q1","July",,,,,,,,,,,,,,,,,,,,,,0,0,0,52.7966395091361,0,0,52.7966395091361
2004-08-01,2004,"Q3","2004/05","Q1","August",,,,,,,,,,,,,,,,,,,,,,0,0,0,52.7966395091361,0,0,52.7966395091361
2004-09-01,2004,"Q3","2004/05","Q1","September",,,,,,,,,,,,,,,,,,,,,,0,0,0,52.7966395091361,0,0,52.7966395091361
2004-10-01,2004,"Q4","2004/05","Q2","October",,,,,,,,,,,,,,,,,,,,,,0,0,0,52.7966395091361,0,0,52.7966395091361
2004-11-01,2004,"Q4","2004/05","Q2","November",,,,,,,,,,,,,,,,,,,,,,0,0,0,52.7966395091361,0,0,52.7966395091361
2004-12-01,2004,"Q4","2004/05","Q2","December",,,,,,,,,,,,,,,,,,,,,,0,0,0,52.7966395091361,0,0,52.7966395091361
2005-01-01,2005,"Q1","2004/05","Q3","January",,,,,,,,,,,,,,,,,,,,,,0,0,0,52.7966395091361,0,0,52.7966395091361
2005-02-01,2005,"Q1","2004/05","Q3","February",,,,,,,,,,,,,,,,,,,,,,0,0,0,52.7966395091361,0,0,52.7966395091361
2005-03-01,2005,"Q1","2004/05","Q3","March",,,,,,,,,,,,,,,,,,,,,,0,0,0,52.7966395091361,0,0,52.7966395091361
2005-04-01,2005,"Q2","2004/05","Q4","April",,,,,,,,,,,,,,,,,,,,,,0,0,0,52.7966395091361,0,0,52.7966395091361
2005-05-01,2005,"Q2","2004/05","Q4","May",,,,,,,,,,,,,,,,,,,,,,0,0,0,52.7966395091361,0,0,52.7966395091361
2005-06-01,2005,"Q2","2004/05","Q4","June",,,,,,,,,,,,,,,,,,,,,,0,0,0,52.7040645958027,0,0,52.7040645958027
2005-07-01,2005,"Q3","2005/06","Q1","July",,,,,,,,,,,,,,,,,,,,,,0,0,0,78.8841871294953,0,0,78.8841871294953
2005-08-01,2005,"Q3","2005/06","Q1","August",,,,,,,,,,,,,,,,,,,,,,0,0,0,78.8841871294953,0,0,78.8841871294953
2005-09-01,2005,"Q3","2005/06","Q1","September",,,,,,,,,,,,,,,,,,,,,,0,0,0,78.8841871294953,0,0,78.8841871294953
2005-10-01,2005,"Q4","2005/06","Q2","October",,,,,,,,,,,,,,,,,,,,,,0,0,0,74.907434737937,0,0,74.907434737937
2005-11-01,2005,"Q4","2005/06","Q2","November",,,,,,,,,,,,,,,,,,,,,,0,0,0,74.907434737937,0,0,74.907434737937
2005-12-01,2005,"Q4","2005/06","Q2","December",,,,,,,,,,,,,,,,,,,,,,0,0,0,74.907434737937,0,0,74.907434737937
2006-01-01,2006,"Q1","2005/06","Q3","January",,,,,,,,,,,,,,,,,,,,,,0,0,0,93.9140251632852,0,0,93.9140251632852
2006-02-01,2006,"Q1","2005/06","Q3","February",,,,,,,,,,,,,,,,,,,,,,0,0,0,93.9140251632852,0,0,93.9140251632852
2006-03-01,2006,"Q1","2005/06","Q3","March",,,,,,,,,,,,,,,,,,,,,,0,0,0,93.9140251632852,0,0,93.9140251632852
2006-04-01,2006,"Q2","2005/06","Q4","April",,,,,,,,,,,,,,,,,,,,,,0,0,0,19.2951381172331,0,0,19.2951381172331
2006-05-01,2006,"Q2","2005/06","Q4","May",,,,,,,,,,,,,,,,,,,,,,0,0,0,19.2951381172331,0,0,19.2951381172331
2006-06-01,2006,"Q2","2005/06","Q4","June",,,,,,,,,,,,,,,,,,,,,,0,0,0,21.3160083199961,0,0,21.3160083199961
2006-07-01,2006,"Q3","2006/07","Q1","July",,,,,,,,,,,,,,,,,,,,,,0,0,0,77.6487488162657,0,0,77.6487488162657
2006-08-01,2006,"Q3","2006/07","Q1","August",,,,,,,,,,,,,,,,,,,,,,0,0,0,77.6487488162657,0,0,77.6487488162657
