"Date","Year","Quarter","FY","QFY","Month","GECESA_G14_XDC","GECE_G14_XDC","GEKC_G14_XDC","GEOPD_G14_XDC","GECES_G14_XDC","GESE_G14_XDC","GE_G14_XDC","GEOOC_G14_XDC","GEOOPC_G14_XDC","GEOOPF_G14_XDC","GEOOPP_G14_XDC","GEOO_G14_XDC","GEOOP_G14_XDC","GEOM_G14_XDC","GEOMK_G14_XDC","GEOMC_G14_XDC","GEG_G14_XDC","GEG_FG_G14_XDC","GEGK_FG_G14_XDC","GEGC_FG_G14_XDC","GEG_IO_G14_XDC","GEGK_IO_G14_XDC","GEGC_IO_G14_XDC","GEG_GG_G14_XDC","GEGK_GG_G14_XDC","GEGC_GG_G14_XDC","GEI_G14_XDC","GEI_NRES_G14_XDC","GEI_GG_G14_XDC","GEI_NGG_G14_XDC","GEO_G14_XDC","GEOPP_G14_XDC","GEOP_G14_XDC","GEOPE_G14_XDC","GEOPR_G14_XDC","GESA_G14_XDC","GES_G14_XDC","GES_CA_G14_XDC","GESS_G14_XDC","GEST_G14_XDC","GEST_OS_G14_XDC","GEST_PE_G14_XDC","GEST_PCO_G14_XDC","GEGS_G14_XDC","GECEW_G14_XDC","GEOPW_G14_XDC","GECESA_G14_GDP_PT","GECE_G14_GDP_PT","GEKC_G14_GDP_PT","GEOPD_G14_GDP_PT","GECES_G14_GDP_PT","GESE_G14_GDP_PT","GE_G14_GDP_PT","GEOOC_G14_GDP_PT","GEOOPC_G14_GDP_PT","GEOOPF_G14_GDP_PT","GEOOPP_G14_GDP_PT","GEOO_G14_GDP_PT","GEOOP_G14_GDP_PT","GEOM_G14_GDP_PT","GEOMK_G14_GDP_PT","GEOMC_G14_GDP_PT","GEG_G14_GDP_PT","GEG_FG_G14_GDP_PT","GEGK_FG_G14_GDP_PT","GEGC_FG_G14_GDP_PT","GEG_IO_G14_GDP_PT","GEGK_IO_G14_GDP_PT","GEGC_IO_G14_GDP_PT","GEG_GG_G14_GDP_PT","GEGK_GG_G14_GDP_PT","GEGC_GG_G14_GDP_PT","GEI_G14_GDP_PT","GEI_NRES_G14_GDP_PT","GEI_GG_G14_GDP_PT","GEI_NGG_G14_GDP_PT","GEO_G14_GDP_PT","GEOPP_G14_GDP_PT","GEOP_G14_GDP_PT","GEOPE_G14_GDP_PT","GEOPR_G14_GDP_PT","GESA_G14_GDP_PT","GES_G14_GDP_PT","GES_CA_G14_GDP_PT","GESS_G14_GDP_PT","GEST_G14_GDP_PT","GEST_OS_G14_GDP_PT","GEST_PE_G14_GDP_PT","GEST_PCO_G14_GDP_PT","GEGS_G14_GDP_PT","GECEW_G14_GDP_PT","GEOPW_G14_GDP_PT"
1999-01-01,1999,"Q1","1998/99","Q3","January",0,160.934031112,,0,0,0,1216.480018616,,,,,,,0,0,0,318.281394,0,0,0,0,0,0,318.281394,,,68.840563544,47.415851544,0,21.424712,0,0,0,0,0,0,0,,0,0,,0,0,668.42402996,160.934031112,0,0,1.41410768848222,,0,0,0,10.6890614453863,,,,,,,0,0,0,2.79669976105308,0,0,0,0,0,0,2.79669976105308,,,0.604893629485185,0.416637300147155,0,0.188256329338029,0,0,0,0,0,0,0,,0,0,,0,0,5.87336036636583,1.41410768848222,0
2000-01-01,2000,"Q1","1999/00","Q3","January",0,179.095466729,,0,0,0,1453.87138999816,,,,,,,0,0,0,387.04778,0,0,0,0,0,0,387.04778,,,75.5190795,45.9539185,0,29.565161,0,0,0,0,0,0,10.810726082,,10.810726082,0,,0,0,801.39833768716,179.095466729,0,0,1.40414505257302,,0,0,0,11.3986487577176,,,,,,,0,0,0,3.03453367816802,0,0,0,0,0,0,3.03453367816802,,,0.592085013604775,0.360288110506766,0,0.231796903098009,0,0,0,0,0,0,0.0847583013685762,,0.0847583013685762,0,,0,0,6.28312671200324,1.40414505257302,0
2001-01-01,2001,"Q1","2000/01","Q3","January",,225.949257395358,,0,,0,2219.65920615576,0,0,0,0,0,0,0,0,0,1087.247542162,0,0,0,0,0,0,1087.247542162,,,116.19424512,57.36437412,0,58.829871,0,0,0,,0,0,22.439992488,22.439992488,22.439992488,24.42493,0,0,24.42493,743.403238990405,,0,,1.6426160992326,,0,,0,16.1365785790638,0,0,0,0,0,0,0,0,0,7.90412120488369,0,0,0,0,0,0,7.90412120488369,,,0.844714162252484,0.417030113478256,0,0.427684048774228,0,0,0,,0,0,0.163135269185464,0.163135269185464,0.163135269185464,0.177565457408994,0,0,0.177565457408994,5.40442638610055,,0
2002-01-01,2002,"Q1","2001/02","Q3","January",,253.528203442803,,0,,0,2473.75894774115,0,0,0,0,0,0,0,0,0,1142.78719608,0,0,0,0,0,0,1142.78719608,,,146.1351417,54.6175417,0,91.5176,0,0,0,,0,0,44.189999964,44.189999964,44.189999964,9.095026,0,0,9.095026,878.023380554343,,0,,1.67402521063251,,0,,0,16.3340203863382,0,0,0,0,0,0,0,0,0,7.5457268684411,0,0,0,0,0,0,7.5457268684411,,,0.964917938292987,0.360634992505675,0,0.604282945787312,0,0,0,,0,0,0.291782819398533,0.291782819398533,0.291782819398533,0.0600536847916925,0,0,0.0600536847916925,5.79751386478134,,0
2003-01-01,2003,"Q1","2002/03","Q3","January",,284.761626513927,,0,,0,2687.71720903818,0,0,0,0,0,0,0,0,0,1170.77612207,0,0,0,0,0,0,1170.77612207,,,174.1205354,56.1125354,0,118.008,0,0,0,,0,0,58.8119466146667,58.8119466146667,58.8119466146667,27.638315,0,0,27.638315,971.608663439584,,0,,1.66208661194847,,0,,0,15.6875729519243,0,0,0,0,0,0,0,0,0,6.83354475075778,0,0,0,0,0,0,6.83354475075778,,,1.01630059603373,0.327515666322629,0,0.688784929711104,0,0,0,,0,0,0.343271494433906,0.343271494433906,0.343271494433906,0.161318341592166,0,0,0.161318341592166,5.67105115715827,,0
2004-01-01,2004,"Q1","2003/04","Q3","January",,333.204031502361,,0,,0,2492.77774291363,0,0,0,0,0,0,60.640359053782,,,1019.569833882,0,0,0,14.463554598,0,14.463554598,1005.106279284,154.120122,850.986157284,262.42,68.83,0,193.59,60.640359053782,0,0,,0,66.291400948,66.291400948,66.291400948,0,0,0,0,0,750.652117527489,,0,,1.71220903259367,,0,,0,12.8094385545721,0,0,0,0,0,0,0.311607785906616,,,5.23918234440816,0,0,0,0.0743227166683662,0,0.0743227166683662,5.16485962773979,0.791964802475593,4.3728948252642,1.34847676454373,0.353691241915803,0,0.994785522627929,0.311607785906616,0,0,,0,0.340646345047749,0.340646345047749,0.340646345047749,0,0,0,0,0,3.85731628207213,,0
2005-01-01,2005,"Q1","2004/05","Q3","January",,349.565719376326,,0,,0,2673.8233603954,0,0,0,0,0,0,9.88713685549336,,,1218.76145012398,0,0,0,14.345374853,0,14.345374853,1204.41607527098,164.401331027715,1040.01474424326,237.775579990293,63.3290133511359,0,174.446566639158,9.88713685549336,0,0,,0,77.092909503,77.092909503,77.092909503,0,0,0,0,0,780.740564546309,,0,,1.5755678411174,,0,,0,12.0514966598661,0,0,0,0,0,0,0.0445634511817551,,,5.49321984499777,0,0,0,0.0646576881951881,0,0.0646576881951881,5.42856215680259,0.740992139235799,4.68757001756676,1.07170565209924,0.285437476603153,0,0.786268175496089,0.0445634511817551,0,0,,0,0.347474315295596,0.347474315295596,0.347474315295596,0,0,0,0,0,3.51896555517429,,0
2006-01-01,2006,"Q1","2005/06","Q3","January",,364.661805070293,,0,,0,3019.86162275529,0,0,0,0,0,0,41.6138553645074,,,1370.51764987767,0,0,0,21.430897127,0,21.430897127,1349.08675275067,193.780227951,1155.30652479967,249.902175764963,64.6325794691309,0,185.269596295832,41.6138553645074,0,0,,0,82.086523533,82.086523533,82.086523533,0,0,0,0,0,911.079613144861,,0,,1.41422212208046,,0,,0,11.7115504095612,0,0,0,0,0,0,0.161385793695061,,,5.31510663362484,0,0,0,0.0831127592515255,0,0.0831127592515255,5.23199387437332,0.751513543178103,4.48048033119522,0.969164251393767,0.250656423078773,0,0.718507828314994,0.161385793695061,0,0,,0,0.318345864280109,0.318345864280109,0.318345864280109,0,0,0,0,0,3.53332574448701,,0
2007-01-01,2007,"Q1","2006/07","Q3","January",2.7,418.461668042427,,0,2.7,0,3487.68898898686,0,0,0,0,0,0,26.4303240086317,,,1525.23054031334,0,0,0,12.479235128,0,12.479235128,1512.75130518534,250.471161963756,1262.28014322158,236.342597331843,38.8206182460465,0,197.521979085797,26.4303240086317,0,0,,0,78.576254908,78.576254908,78.576254908,0,220.690844114073,,,,981.95676026855,415.747407841508,0,0.00894577615788088,1.38646830109667,,0,0.00894577615788088,0,11.5555870384379,0,0,0,0,0,0,0.0875702823561052,,,5.05347074178031,0,0,0,0.0413468311395007,0,0.0413468311395007,5.01212391064081,0.829873684789662,4.18225022585114,0.783062211964015,0.128622430051733,0,0.654439781912284,0.0875702823561052,0,0,,0,0.260342810270947,0.260342810270947,0.260342810270947,0,0.731204033903067,,,,3.25346865706679,1.37747527732198,0
2008-01-01,2008,"Q1","2007/08","Q3","January",9.13274280804501,471.756598290421,,0,9.13274280804501,0,3759.82881282959,0,0,0,0,0,0,16.042794130727,,,1747.3161545936,0,0,0,13.455318905,0,13.455318905,1733.8608356886,285.651945829536,1448.20888985907,309.405532901279,38.0375542640461,0,271.367978637233,16.042794130727,0,0,,0,78.497214859,78.497214859,78.497214859,0,87.413855,,,,1049.39666305456,462.623855482376,0,0.0236780149196471,1.22310022383667,,0,0.0236780149196471,0,9.74792399136392,0,0,0,0,0,0,0.0415933665016344,,,4.53018100338514,0,0,0,0.0348849462289194,0,0.0348849462289194,4.49529605715622,0.740595807561764,3.75470024959447,0.802180569215669,0.0986181037067624,0,0.703562465508907,0.0415933665016344,0,0,,0,0.203515883853081,0.203515883853081,0.203515883853081,0,0.226633619973465,,,,2.72071932459825,1.19942220891702,0
