"Date","Year","Quarter","FY","QFY","Month","GDP_KP","GDP_KP_G","GDP_KP_AGR","GDP_KP_IND","GDP_KP_SER","GDP_KP_TAX","GDP_KP_S_AGR","GDP_KP_S_IND","GDP_KP_S_SER","GDP_CP","GDP_CP_USD","GDP_CP_AGR","GDP_CP_IND","GDP_CP_IND_MAN","GDP_CP_SER","GDP_CP_TAX","GDP_CP_S_AGR","GDP_CP_S_IND","GDP_CP_S_SER","GFCF","GFCF_PUB","GFCF_PRI","GDP_PPP_CF","CF","GDP_PPP_UGX","GDP_PPP_USD","POP","PI_USD","GNI_CP","GDP_PC_UGX","GDP_PC_USD","GNI_PC_UGX","GNI_PC_USD","REV_GRA","REV","REV_URA","REV_URA_TAX","REV_NURA","REV_OIL","GRA","GRA_BUD","GRA_PRO","EXP_LEN","EXP_CU","EXP_CU_W","EXP_CU_I","EXP_CU_I_DOM","EXP_CU_I_EXT","EXP_CU_OTH","EXP_DEV","EXP_DEV_DOM","EXP_DEV_EXT","NLP","NLP_HPP","NLP_HPP_GOU","NLP_HPP_EXBK","NLP_BOU","PAY_ARR_DOM","BAL_DOM","BAL_PRI","BAL_FIS_NGRA","BAL_FIS","FIN","FIN_EXT","FIN_EXT_DEP","FIN_EXT_DIS","FIN_EXT_DIS_BUD","FIN_EXT_DIS_PRO","FIN_EXT_AMO","FIN_DOM","FIN_DOM_BK","FIN_DOM_NBK","EAO","REV_GRA_GDP_PT","REV_GDP_PT","REV_URA_TAX_GDP_PT","GRA_GDP_PT","EXP_LEN_GDP_PT","BAL_PRI_GDP_PT","BAL_FIS_GDP_PT","I_REV_PT","EX_G","EX_G_COF","EX_G_COT","EX_G_TEA","EX_G_TOB","EX_G_FISH","EX_G_MAIZE","EX_G_HISK","EX_G_ELC","EX_G_GOLD","EX_G_SIM","EX_G_BEANS","EX_G_FLO","EX_G_OIL","EX_G_COB","EX_G_OTH","EX_G_MAN","IM_G","TB_G","EX_S","EX_S_TOU","IM_S","IM_S_TRA","CAB_NGRA","FDI","REM","FXR","FXR_M","DBT_DOM_USD","DBT_EXT_USD","DBT_PUB_USD","DBT_DOM_UGX","DBT_EXT_UGX","DBT_PUB_UGX","DBT_DOM_GDP_PT","DBT_EXT_GDP_PT","DBT_PUB_GDP_PT","E_USD","INF_HL","M3","DC","PSC","PSC_AGR","PSC_MIN","PSC_MAN","PSC_WRT","PSC_TRA","PSC_ELW","PSC_BMCR","PSC_BS","PSC_OS","PSC_PHL","PSC_OTH","I_BA_UGX_D","I_LR","I_IBR_OVA","I_TBILL_35","I_TBILL_63","I_TBILL_91","I_TBILL_182","I_TBILL_273","I_TBILL_364","I_TBOND_2","I_TBOND_3","I_TBOND_5","I_TBOND_10","I_TBOND_15","I_TBOND_20","I_RR"
1959-07-01,1959,"Q3","1959/60","Q1","July",8.86422636131464,,,,,,,,,,0.427831442943301,,,,,,,,,,,,,,,,6.536616,,,,65.4515184834632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1960-07-01,1960,"Q3","1960/61","Q1","July",9.13837769207695,3,5.15499926221458,0.82569538832301,3.19843219222693,,,,,0.003056,0.423145605043164,0.00171136,0.00027504,,0.0010696,,56.4104421585027,9.03547014738617,35,,,,,,,,6.791544024,,,0.000449971315683251,62.3047724564325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.48,,,,,,,,,,,,,,,,,,,0.07143000007143,-9.61538461538461,5.92e-05,,0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961-07-01,1961,"Q3","1961/62","Q1","July",9.51914342924682,4,5.2339680986821,0.89772405961345,3.42689163452886,,54.9836036990591,9.43072311375479,36,0.0032,0.441667334611947,0.00176,0.000288,,0.001152,,54.9836036990591,9.43072311375479,36,,,,,,,,7.056414240936,,,0.000453488116023009,62.5909023381487,,,0.4467445,0.4088673,,,0.4088673,,0.0378771999999999,,0.0378771999999999,0.5353495,0.43038878,,,,,,0.10496072,,,,,,,,,,,-0.1264822,-0.088605,,,,,,,,,,,,,,,0,,,,,134.397312053759,39.2692146157077,46.8038639227215,4.50790984180316,0.559988800223996,8.29063418731625,,,,,,,,,,34.9657006859863,,95.0580988380232,39.3392132157357,,,,,,,,,,,,,,,,,,,0.07143000007143,10.6382978723404,5.78e-05,,0.4379,,,,,,,,,,,,,,,,,,,,,,,,,,,
1962-07-01,1962,"Q3","1962/63","Q1","July",9.3512052761958,-2,4.86188485121275,0.892324787647053,3.5534580049544,,51.9920663445283,9.54235054510603,38,0.003134,0.449158233391351,0.00162968,0.0003134,,0.00119092,,51.9920663445283,9.54235054510603,38,,,,,,,,7.3316143963325,,,0.00042746383410013,61.2632101350057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,175.696486070279,56.5672686546269,23.127537449251,5.84908301833963,1.01637967240655,10.127397452051,,,,,,,,,,79.0088198236035,,114.377712445751,61.3187736245275,,,,,,,,,,,,,,,,,,,0.07143000007143,-9.61538461538461,0.000404,,0.469,,,,,,,,,,,,,,,,,,,,,,,,,,,
1963-07-01,1963,"Q3","1963/64","Q1","July",9.42241728999569,1,5.28876627407079,0.80997679781619,3.32367421810871,,56.1296120867643,8.59627389540674,35.2741140178289,0.003518,0.516315231449087,0.00197008,0.00031662,,0.0012313,,56.1296120867643,8.59627389540674,35.2741140178289,,,,,,,,7.61754735778947,,,0.00046182843830995,67.7797205843583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,213.07573848523,76.1752764944701,40.1231975360493,5.89948201035979,1.25997480050399,10.1217975640487,,,,,,,,,,79.4960100797984,,129.917401651967,83.1583368332633,,,,,,,,,,,,,,,,,,,0.07143000007143,9.57446808510638,0.000464,,0.512,,,,,,,,,,,,,,,,,,,,,,,,,,,
1964-07-01,1964,"Q3","1964/65","Q1","July",9.42241728999569,4.77382276603633,5.27510621008662,0.794649316903526,3.35266176300554,,55.9846379939838,8.43360352706147,35.5817584789547,0.003902,0.58924768730035,0.00218512,0.00031216,,0.00140472,,55.9846379939838,8.43360352706147,35.5817584789547,,,,,,,,7.91463170474326,,,0.000493010937914082,74.4504241362504,,,0.855086,0.830102,,,0.830102,,0.024984,,0.024984,0.950851,0.734652,,,,,,0.216199,,,,,,,,,,,-0.120749,-0.095765,,,,,,,,,,,,21.914044079959,21.2737570476679,,0.640287032291133,24.3682983085597,,-2.45425422860072,,206.355872882542,76.820312,44.3987120257595,6.32227355452891,1.9907601847963,17.3372532549349,1.68,3.64,1.1704,,,,,,,52.9961618625227,,161.136777264455,45.2190956180876,,,,,,,-0.0839983200335993,,,,,,,,,,,,0.07143000007143,3.88349514563107,0.000698,,0.5965,,,,,,,,,,,,,,,,,,,,,,,,,,,
1965-07-01,1965,"Q3","1965/66","Q1","July",9.87222679169644,5.33486684950899,5.3764965653206,0.894929524411134,3.6008007019647,,54.4608291398126,9.06512323201349,36.4740476281739,0.004468,0.884502309953801,0.00241272,0.00040212,,0.00160848,,54.4608291398126,9.06512323201349,36.4740476281739,,,,,,,,8.22330234122825,,,0.000543334029882288,107.560475494045,,,0.842986,0.790055,,,0.790055,,0.052931,,0.052931,1.045031,0.812422,,,,,,0.232609,,,,,,,,,,,-0.254976,-0.202045,,,,,,,,,,,,18.8671888988362,17.6825201432408,,1.18466875559534,23.3892345568487,,-4.52204565801254,,217.135657286854,106.126982,46.9354612907742,6.78146437071259,3.06313873722526,22.3827523449531,,5.04,1.232,,0.139997200055999,,,,,25.4338613431331,,166.316673666527,50.8189836203276,,,,,,,1.04997900041999,40.91,,,,,,,,,,,0.07143000007143,18.6915887850467,0.0009722,,0.6801,,,,,,,,,,,,,,,,,,,,,,,,,,,
1966-07-01,1966,"Q3","1966/67","Q1","July",10.398896946115,4.27515538384009,5.6175644720194,0.961406018403034,3.81992645569257,,54.0207725985601,9.24526921831082,36.7339581831291,0.004675,0.925381492370153,0.0025245,0.00042075,,0.00172975,,54.0207725985601,9.24526921831082,36.7339581831291,,,,,,,,8.54401113253615,,,0.000547166890056744,108.307617817379,,,1.016552,0.96537,,,0.96537,,0.051182,,0.051182,1.091185,0.861328,,,,,,0.229857,,,,,,,,,,,-0.125815,-0.0746330000000002,,,,,,,,,,,,21.7444278074866,20.6496256684492,,1.09480213903743,23.3408556149733,,-1.59642780748663,,218.815623687526,146.54885,42.9651406971861,8.91642167156657,1.94036119277614,16.1080778384432,,3.49993000139997,,,0.839983200335993,,,,,2.00314091418173,,159.176816463671,59.6388072238555,,,,,,,0.0139997200055999,34.93,,,,,,,,,,,0.07143000007143,-8.66141732283464,0.0005901,,0.6988,,,,,,,,,,,,,,,,,,,,,,,,,,,
1967-07-01,1967,"Q3","1967/68","Q1","July",10.8434659487668,2.73862263391058,5.24261600191331,1.59482996641647,4.00601998043704,,48.3481575603558,14.707750952986,36.9440914866582,0.004962,0.967240655186896,0.00238176,0.0007443,,0.00183594,,48.3481575603558,14.707750952986,36.9440914866582,,,,,,,,8.87722756670506,,,0.000558958296688314,108.957514935702,,,1.063727,0.972706,,,0.972706,,0.091021,,0.091021,1.143401,0.870332,,,,,,0.273069,,,,,,,,,,,-0.170695,-0.079674,,,,,,,,,,,,21.4374647319629,19.6031035872632,,1.83436114469972,23.0431479242241,,-1.60568319226119,,210.17583648327,139.078017,42.4471510569789,9.72980540389192,3.39773204535909,15.1658966820664,,0.35723429497375,,,,,,,,0,,,11.1577768444631,,,,,,,,49.03,,,,,,,,,,,0.07143000007143,1.72413793103448,0.0007053,,0.7092,,,,,,,,,,,,3.5,,,,,,,,,,,,,,,
1968-07-01,1968,"Q3","1968/69","Q1","July",11.1404275615401,6.86005488043904,5.31063267719184,1.67132285293891,4.15847203140939,,47.6699179439542,15.0023223409196,37.3277597151262,0.006626,1.03737925241495,0.00318048,0.0009939,,0.00245162,,47.6699179439542,15.0023223409196,37.3277597151262,,,,,,,,9.22343944180655,,0.000174836060623943,0.000718387109473144,112.472061963445,,,1.105344,1.071406,,,1.071406,,0.033938,,0.033938,1.481834,1.057252,,,,,,0.424582,,,,,,,,,,,-0.410428,-0.37649,,,,,,,,,,,,16.6819197102324,16.1697253244793,,0.512194385753094,22.3639299728343,,-5.68201026260187,,252.78,166.260179691569,41.3971720565589,12.4017919641607,3.17555648887022,15.5676886462271,,3.59552223052289,,,,,,,,10.3820889220916,,,,,,,,,,,52.27,,,,,,,,,,,0.07143000007143,15,0.0013922,2.36344090423464e-05,0.8417,,,,,,,,,,,,3.5,,,,,,,,,,,,,,,
