"Date","Year","Quarter","FY","QFY","Month","EXP_NWR_SEC","EXP_NWR_RAW","EXP_NWR_AGR","EXP_NWR_EDU","EXP_NWR_HEA","EXP_NWR_WAE","EXP_NWR_JLO","EXP_NWR_ACC","EXP_NWR_EAM","EXP_NWR_TTI","EXP_NWR_LHUD","EXP_NWR_SD","EXP_NWR_ICT","EXP_NWR_PSM","EXP_NWR_PAD","EXP_NWR_PARL","EXP_NWR_STD","EXP_NWR_TOU","EXP_NWR_LGOV","EXP_NWR_I","EXP_NWR_I_DOM","EXP_NWR_I_EXT","EXP_NWR_CEN_TOT","EXP_NWR_LGP_TOT","EXP_NWR_I_TOT","EXP_NWR"
1998-09-01,1998,"Q3","1998/99","Q1","September",,,,,,,,,,,,,,,,,,,,8.09266716,2.697624,5.39504316,26.330334,9.083,8.09266716,43.50600116
1998-10-01,1998,"Q4","1998/99","Q2","October",,,,,,,,,,,,,,,,,,,,5.21546968,1.178278,4.03719168,22.8309546666667,7.648,5.21546968,35.6944243466667
1998-11-01,1998,"Q4","1998/99","Q2","November",,,,,,,,,,,,,,,,,,,,3.3123894,1.119201,2.1931884,44.0452246666667,8.916,3.3123894,56.2736140666667
1998-12-01,1998,"Q4","1998/99","Q2","December",,,,,,,,,,,,,,,,,,,,5.9004748,2.702524,3.1979508,32.8417216666667,11.131,5.9004748,49.8731964666667
1999-01-01,1999,"Q1","1998/99","Q3","January",,,,,,,,,,,,,,,,,,,,3.84756044,1.218683,2.62887744,24.167723,7.081,3.84756044,35.09628344
1999-02-01,1999,"Q1","1998/99","Q3","February",,,,,,,,,,,,,,,,,,,,8.019734,1.133004,6.88673,24.811011,11.325,8.019734,44.155745
1999-03-01,1999,"Q1","1998/99","Q3","March",,,,,,,,,,,,,,,,,,,,8.73460514,2.574636,6.15996914,24.606782,13.95,8.73460514,47.29138714
1999-04-01,1999,"Q2","1998/99","Q4","April",,,,,,,,,,,,,,,,,,,,4.6258096,1.697355,2.9284546,34.606305,5.621,4.6258096,44.8531146
1999-05-01,1999,"Q2","1998/99","Q4","May",,,,,,,,,,,,,,,,,,,,3.6694187,0.920083,2.7493357,34.790782,5.455,3.6694187,43.9152007
1999-06-01,1999,"Q2","1998/99","Q4","June",,,,,,,,,,,,,,,,,,,,6.110302,2.98408,3.126222,39.740498,10.227,6.110302,56.0778
1999-07-01,1999,"Q3","1999/00","Q1","July",,,,,,,,,,,,,,,,,,,,5.4053873,0.852771,4.5526163,15.13598,10.06204,5.4053873,30.6034073
1999-08-01,1999,"Q3","1999/00","Q1","August",,,,,,,,,,,,,,,,,,,,11.575802,1.171028,10.404774,27.064242,10.06204,11.575802,48.702084
1999-09-01,1999,"Q3","1999/00","Q1","September",,,,,,,,,,,,,,,,,,,,11.8938783,4.897946,6.9959323,22.406951,5.5183,11.8938783,39.8191293
1999-10-01,1999,"Q4","1999/00","Q2","October",,,,,,,,,,,,,,,,,,,,6.867931,2.510389,4.357542,23.861306,9.81954,6.867931,40.548777
1999-11-01,1999,"Q4","1999/00","Q2","November",,,,,,,,,,,,,,,,,,,,5.317786,1.258228,4.059558,37.797485,10.53694,5.317786,53.652211
1999-12-01,1999,"Q4","1999/00","Q2","December",,,,,,,,,,,,,,,,,,,,7.9204665,1.685216,6.2352505,34.676663,12.56223,7.9204665,55.1593595
2000-01-01,2000,"Q1","1999/00","Q3","January",,,,,,,,,,,,,,,,,,,,6.5108435,1.613186,4.8976575,21.951944,6.26092,6.5108435,34.7237075
2000-02-01,2000,"Q1","1999/00","Q3","February",,,,,,,,,,,,,,,,,,,,8.4422299,1.711155,6.7310749,32.247851,6.39253,8.4422299,47.0826109
2000-03-01,2000,"Q1","1999/00","Q3","March",,,,,,,,,,,,,,,,,,,,8.634933,2.14116,6.493773,30.703881437,11.17798,8.634933,50.516794437
2000-04-01,2000,"Q2","1999/00","Q4","April",,,,,,,,,,,,,,,,,,,,10.846153,7.107796,3.738357,35.950284,9.14894,10.846153,55.945377
2000-05-01,2000,"Q2","1999/00","Q4","May",,,,,,,,,,,,,,,,,,,,6.681397,2.24244,4.438957,42.642692,9.60523,6.681397,58.929319
2000-06-01,2000,"Q2","1999/00","Q4","June",,,,,,,,,,,,,,,,,,,,5.2544948,2.373846,2.8806488,71.156546,11.20819,5.2544948,87.6192308
2000-07-01,2000,"Q3","2000/01","Q1","July",,,,,,,,,,,,,,,,,,,,4.4348618,2.295659,2.1392028,14.9009474671111,9.89779319955558,4.4348618,29.2336024666667
2000-08-01,2000,"Q3","2000/01","Q1","August",,,,,,,,,,,,,,,,,,,,10.572477,3.230283,7.342194,34.840532167108,14.6126664995587,10.572477,60.0256756666667
2000-09-01,2000,"Q3","2000/01","Q1","September",,,,,,,,,,,,,,,,,,,,20.02133,13.25798,6.76335,25.771473167108,6.40914649955869,20.02133,52.2019496666667
2000-10-01,2000,"Q4","2000/01","Q2","October",,,,,,,,,,,,,,,,,,,,8.3085788,3.340254,4.9683248,31.8248993712008,11.9017152954659,8.3085788,52.0351934666667
2000-11-01,2000,"Q4","2000/01","Q2","November",,,,,,,,,,,,,,,,,,,,5.8182712,2.265772,3.5524992,31.5270606266943,13.9472157399724,5.8182712,51.2925475666667
2000-12-01,2000,"Q4","2000/01","Q2","December",,,,,,,,,,,,,,,,,,,,4.292412,1.973641,2.318771,45.6051175756993,6.4554300909674,4.292412,56.3529596666667
2001-01-01,2001,"Q1","2000/01","Q3","January",,,,,,,,,,,,,,,,,,,,4.859662,2.02248,2.837182,28.4572710203615,8.31178464630513,4.859662,41.6287176666667
