"Date","Year","Quarter","FY","QFY","Month","EXP_NWR_AGRO","EXP_NWR_MID","EXP_NWR_SPD","EXP_NWR_MAN","EXP_NWR_TOD","EXP_NWR_NECLW","EXP_NWR_PSD","EXP_NWR_SED","EXP_NWR_ITIS","EXP_NWR_SUD","EXP_NWR_DIT","EXP_NWR_HCD","EXP_NWR_TTD","EXP_NWR_PST","EXP_NWR_CMC","EXP_NWR_GOS","EXP_NWR_DPI","EXP_NWR_RBD","EXP_NWR_ADJ","EXP_NWR_LEG","EXP_NWR_LGOV","EXP_NWR_I","EXP_NWR_I_DOM","EXP_NWR_I_EXT","EXP_NWR_CEN_TOT","EXP_NWR_LGP_TOT","EXP_NWR_I_TOT","EXP_NWR"
2012-09-01,2012,"Q3","2012/13","Q1","September",6.850594253,1.805532487,0.680942812,4.611434133,32.333331451,0.388441791,5.375236756,10.2097241929167,0.165949242,0.474152424,0.197158457,0.162489402,0.034610968,3.961897184,21.005912496,15.502183429,,,,,,77.5383221839625,65.287977240735,12.2503449432274,102.250158899917,1.509432578,77.5383221839625,181.297913661879
2012-10-01,2012,"Q4","2012/13","Q2","October",3.561594197,0.851823046,0.578654654,5.862564474,3.108042937,0.046880465,10.457757049,12.0138436399167,0.149376629,0.224586987,0.118413879,0.215691024,0,16.319844467,14.412470621,15.3534233,,,,,,79.454211825525,64.3273262563195,15.1268855692054,83.2749673689167,0,79.454211825525,162.729179194442
2012-11-01,2012,"Q4","2012/13","Q2","November",53.291433716,54.397485184,6.756438507,107.045045311843,73.045320796,2.145299372,31.573097759,22.0897672739167,0.027226527,4.310701296,0.609099583,4.032532644,0.748230443,33.13489248566,25.5382068646,17.940311159,,,,,,76.8118026596487,71.0370412474184,5.77476141223033,337.88396228136,98.80112664066,76.8118026596487,513.496891581668
2012-12-01,2012,"Q4","2012/13","Q2","December",8.575806496,11.792043444,1.922286771,4.258815676,7.687314618,0.302122061,10.81126395,10.4977820379167,0.241251951,0.944774692,0.57657155,0.478106681,0.061835847,34.922688791,21.730701036,16.489700381,,,,,,70.0131412674495,62.6259576401414,7.38718362730811,129.692776250917,1.600289732,70.0131412674495,201.306207250366
2013-01-01,2013,"Q1","2012/13","Q3","January",4.864798925,5.507852959,0.750814496,1.258003974,0.986135151,0.176937001,12.09347766,13.1416356109167,0.322905581,0.248471865,0.259647775,0.740645437,0.04032643,14.887968841,28.869860355,16.208130984,,,,,,75.2350156465602,69.5365441318827,5.69847151467749,100.357613044917,0,75.2350156465602,175.592628691477
2013-02-01,2013,"Q1","2012/13","Q3","February",52.340943971,78.319340991,6.289724208,89.501447782,68.281948876,2.570006529,29.399050077,25.0996757179167,0.308820551,1.215002051,0.481895896,3.937491994,0.091456062,45.262232932,28.484599462,16.92415764,,,,,,69.6747934550601,63.4334791117928,6.24131434326727,341.274513118917,107.233281621,69.6747934550601,518.182588194977
2013-03-01,2013,"Q1","2012/13","Q3","March",5.974679841,1.988043455,4.717298096,3.884568615,3.792782078,0.410824357,18.62108263,12.1273053249167,0.533242026,1.082372213,0.382233687,0.45439027,1.627227296,25.061859802,17.175636435,16.341874985,,,,,,76.6742392604088,63.2830887570097,13.3911505033991,114.175421110917,0,76.6742392604088,190.849660371325
2013-04-01,2013,"Q2","2012/13","Q4","April",40.158119754,1.164661365,1.072721599,15.4037613332952,5.062863005,0.140635903,21.320467064,18.7931075469167,0.171406798,0.269461046,0.582817429,2.387187682,0.091819435,18.74074135,37.8526475632554,16.827082099,,,,,,78.6092636634018,62.4692369957411,16.1400266676607,180.039500972467,0,78.6092636634018,258.648764635869
2013-05-01,2013,"Q2","2012/13","Q4","May",13.512176078,25.809046501,10.1130406438254,19.570798785678,44.7472837170883,3.16822977378736,20.587757663,19.3028234816396,0.220181292,1.55899976,0.636724641,3.48966425902562,0.162766491,80.2619217693021,27.406608829,18.318102892,,,,,,73.5755980892959,67.0213820651997,6.55421602409616,221.209464135917,67.6566624414299,73.5755980892959,362.441724666642
2013-06-01,2013,"Q2","2012/13","Q4","June",51.87520854,5.72714452,6.026940446,12.606524212,14.897945324,0.872263911,50.153063042,24.6900102259167,0.578933021,7.372694902,0.504575951,1.278345202,0.122993347,86.341081906,36.214605198,25.05107201,,,,,,68.1839813951066,62.4878577432608,5.69612365184578,324.313401757917,0,68.1839813951066,392.497383153023
