"Date","Year","Quarter","FY","QFY","Month","EXP_DDEV_SEC","EXP_DDEV_RAW","EXP_DDEV_AGR","EXP_DDEV_EDU","EXP_DDEV_HEA","EXP_DDEV_WAE","EXP_DDEV_JLO","EXP_DDEV_ACC","EXP_DDEV_EAM","EXP_DDEV_TTI","EXP_DDEV_LHUD","EXP_DDEV_SD","EXP_DDEV_ICT","EXP_DDEV_PSM","EXP_DDEV_PAD","EXP_DDEV_PARL","EXP_DDEV_STD","EXP_DDEV_TOU","EXP_DDEV_LGOV","EXP_DDEV_I","EXP_DDEV_I_DOM","EXP_DDEV_I_EXT","EXP_DDEV_CEN_TOT","EXP_DDEV_LGP_TOT","EXP_DDEV_I_TOT","EXP_DDEV"
2001-01-01,2001,"Q1","2000/01","Q3","January",,,,,,,,,,,,,,,,,,,,0,0,0,13.336375,12.2142,,25.550575
2001-02-01,2001,"Q1","2000/01","Q3","February",,,,,,,,,,,,,,,,,,,,0,0,0,8.947317362,15.17721,,24.124527362
2001-03-01,2001,"Q1","2000/01","Q3","March",,,,,,,,,,,,,,,,,,,,0,0,0,21.312221,4.3045,,25.616721
2001-04-01,2001,"Q2","2000/01","Q4","April",,,,,,,,,,,,,,,,,,,,0,0,0,10.513966,5.43,,15.943966
2001-05-01,2001,"Q2","2000/01","Q4","May",,,,,,,,,,,,,,,,,,,,0,0,0,29.265005,7.06,,36.325005
2001-06-01,2001,"Q2","2000/01","Q4","June",,,,,,,,,,,,,,,,,,,,0,0,0,74.108697,0.39,,74.498697
2001-07-01,2001,"Q3","2001/02","Q1","July",,,,,,,,,,,,,,,,,,,,0,0,0,0,7.839885,,7.839885
2001-08-01,2001,"Q3","2001/02","Q1","August",,,,,,,,,,,,,,,,,,,,0,0,0,10.975535,9.02693,,20.002465
2001-09-01,2001,"Q3","2001/02","Q1","September",,,,,,,,,,,,,,,,,,,,0,0,0,23.725222,3.68198,,27.407202
2001-10-01,2001,"Q4","2001/02","Q2","October",,,,,,,,,,,,,,,,,,,,0,0,0,31.00353,12.50714,,43.51067
2001-11-01,2001,"Q4","2001/02","Q2","November",,,,,,,,,,,,,,,,,,,,0,0,0,16.050856,33.02419,,49.075046
2001-12-01,2001,"Q4","2001/02","Q2","December",,,,,,,,,,,,,,,,,,,,0,0,0,24.973167,4.65633,,29.629497
2002-01-01,2002,"Q1","2001/02","Q3","January",,,,,,,,,,,,,,,,,,,,0,0,0,24.368082,7.88129,,32.249372
2002-02-01,2002,"Q1","2001/02","Q3","February",,,,,,,,,,,,,,,,,,,,0,0,0,25.881188,19.31177,,45.192958
2002-03-01,2002,"Q1","2001/02","Q3","March",,,,,,,,,,,,,,,,,,,,0,0,0,26.866491,1.40708,,28.273571
2002-04-01,2002,"Q2","2001/02","Q4","April",,,,,,,,,,,,,,,,,,,,0,0,0,24.634604,17.11018,,41.744784
2002-05-01,2002,"Q2","2001/02","Q4","May",,,,,,,,,,,,,,,,,,,,0,0,0,45.031458,8.09262,,53.124078
2002-06-01,2002,"Q2","2001/02","Q4","June",,,,,,,,,,,,,,,,,,,,0,0,0,75.8812619999999,1.21921,,77.1004719999999
2002-07-01,2002,"Q3","2002/03","Q1","July",,,,,,,,,,,,,,,,,,,,0,0,0,4.071031,4.73409067,,8.80512167
2002-08-01,2002,"Q3","2002/03","Q1","August",,,,,,,,,,,,,,,,,,,,0,0,0,22.189908,10.890358,,33.080266
