"Date","Year","Quarter","FY","QFY","Month","EXP_W_AGRO","EXP_W_MID","EXP_W_SPD","EXP_W_MAN","EXP_W_TOD","EXP_W_NECLW","EXP_W_PSD","EXP_W_SED","EXP_W_ITIS","EXP_W_SUD","EXP_W_DIT","EXP_W_HCD","EXP_W_TTD","EXP_W_PST","EXP_W_CMC","EXP_W_GOS","EXP_W_DPI","EXP_W_RBD","EXP_W_ADJ","EXP_W_LEG","EXP_W_LGOV","EXP_W_I","EXP_W_I_DOM","EXP_W_I_EXT","EXP_W_CEN_TOT","EXP_W_LGP_TOT","EXP_W_I_TOT","EXP_W"
1997-07-01,1997,"Q3","1997/98","Q1","July",,,,,,,,,,,,,,,,,,,,,,0,0,0,7.50499635833333,9.67576364166667,,17.18076
1997-08-01,1997,"Q3","1997/98","Q1","August",,,,,,,,,,,,,,,,,,,,,,0,0,0,7.44978635833333,9.72074364166667,,17.17053
1997-09-01,1997,"Q3","1997/98","Q1","September",,,,,,,,,,,,,,,,,,,,,,0,0,0,8.64180635833333,9.58411364166667,,18.22592
1997-10-01,1997,"Q4","1997/98","Q2","October",,,,,,,,,,,,,,,,,,,,,,0,0,0,8.96056635833333,9.73202364166667,,18.69259
1997-11-01,1997,"Q4","1997/98","Q2","November",,,,,,,,,,,,,,,,,,,,,,0,0,0,12.1655663583333,8.14952364166667,,20.31509
1997-12-01,1997,"Q4","1997/98","Q2","December",,,,,,,,,,,,,,,,,,,,,,0,0,0,9.25450635833333,13.3397436416667,,22.59425
1998-01-01,1998,"Q1","1997/98","Q3","January",,,,,,,,,,,,,,,,,,,,,,0,0,0,8.25433635833334,10.8392436416667,,19.09358
1998-02-01,1998,"Q1","1997/98","Q3","February",,,,,,,,,,,,,,,,,,,,,,0,0,0,9.65226635833333,12.1500836416667,,21.80235
1998-03-01,1998,"Q1","1997/98","Q3","March",,,,,,,,,,,,,,,,,,,,,,0,0,0,10.3128863583333,12.9356136416667,,23.2485
1998-04-01,1998,"Q2","1997/98","Q4","April",,,,,,,,,,,,,,,,,,,,,,0,0,0,9.93531635833333,12.1446336416667,,22.07995
1998-05-01,1998,"Q2","1997/98","Q4","May",,,,,,,,,,,,,,,,,,,,,,0,0,0,9.98824635833333,17.2646136416667,,27.25286
1998-06-01,1998,"Q2","1997/98","Q4","June",,,,,,,,,,,,,,,,,,,,,,0,0,0,10.3101963583333,17.7866136416667,,28.09681
1998-07-01,1998,"Q3","1998/99","Q1","July",,,,,,,,,,,,,,,,,,,,,,0,0,0,12.33404964025,13.05924747175,,25.393297112
1998-08-01,1998,"Q3","1998/99","Q1","August",,,,,,,,,,,,,,,,,,,,,,0,0,0,13.63605252825,13.63708747175,,27.27314
1998-09-01,1998,"Q3","1998/99","Q1","September",,,,,,,,,,,,,,,,,,,,,,0,0,0,13.30728252825,13.39069747175,,26.69798
1998-10-01,1998,"Q4","1998/99","Q2","October",,,,,,,,,,,,,,,,,,,,,,0,0,0,13.14575752825,14.82856747175,,27.974325
1998-11-01,1998,"Q4","1998/99","Q2","November",,,,,,,,,,,,,,,,,,,,,,0,0,0,13.63047652825,14.58215747175,,28.212634
1998-12-01,1998,"Q4","1998/99","Q2","December",,,,,,,,,,,,,,,,,,,,,,0,0,0,13.33593052825,14.64206747175,,27.977998
1999-01-01,1999,"Q1","1998/99","Q3","January",,,,,,,,,,,,,,,,,,,,,,0,0,0,11.22673852825,14.45499747175,,25.681736
1999-02-01,1999,"Q1","1998/99","Q3","February",,,,,,,,,,,,,,,,,,,,,,0,0,0,14.96195052825,14.70519747175,,29.667148
1999-03-01,1999,"Q1","1998/99","Q3","March",,,,,,,,,,,,,,,,,,,,,,0,0,0,16.41083552825,14.80910747175,,31.219943
1999-04-01,1999,"Q2","1998/99","Q4","April",,,,,,,,,,,,,,,,,,,,,,0,0,0,13.79669952825,14.91044747175,,28.707147
1999-05-01,1999,"Q2","1998/99","Q4","May",,,,,,,,,,,,,,,,,,,,,,0,0,0,15.64427752825,15.12671747175,,30.770995
1999-06-01,1999,"Q2","1998/99","Q4","June",,,,,,,,,,,,,,,,,,,,,,0,0,0,16.59313052825,14.99378747175,,31.586918
1999-07-01,1999,"Q3","1999/00","Q1","July",,,,,,,,,,,,,,,,,,,,,,0,0,0,12.3746583333333,14.6691796666667,,27.043838
1999-08-01,1999,"Q3","1999/00","Q1","August",,,,,,,,,,,,,,,,,,,,,,0,0,0,11.3966933333333,14.6935296666667,,26.090223
1999-09-01,1999,"Q3","1999/00","Q1","September",,,,,,,,,,,,,,,,,,,,,,0,0,0,16.8097243333333,16.1829996666667,,32.992724
1999-10-01,1999,"Q4","1999/00","Q2","October",,,,,,,,,,,,,,,,,,,,,,0,0,0,9.89766433333333,15.2591896666667,,25.156854
1999-11-01,1999,"Q4","1999/00","Q2","November",,,,,,,,,,,,,,,,,,,,,,0,0,0,22.0788843333333,15.2879896666667,,37.366874
1999-12-01,1999,"Q4","1999/00","Q2","December",,,,,,,,,,,,,,,,,,,,,,0,0,0,15.6389773333333,15.4830796666667,,31.122057
2000-01-01,2000,"Q1","1999/00","Q3","January",,,,,,,,,,,,,,,,,,,,,,0,0,0,16.5028583333333,15.3649096666667,,31.867768
2000-02-01,2000,"Q1","1999/00","Q3","February",,,,,,,,,,,,,,,,,,,,,,0,0,0,14.5331073333333,17.9465896666667,,32.479697
2000-03-01,2000,"Q1","1999/00","Q3","March",,,,,,,,,,,,,,,,,,,,,,0,0,0,16.7282190623333,14.7492796666667,,31.477498729
2000-04-01,2000,"Q2","1999/00","Q4","April",,,,,,,,,,,,,,,,,,,,,,0,0,0,11.7872933333333,15.6209596666667,,27.408253
2000-05-01,2000,"Q2","1999/00","Q4","May",,,,,,,,,,,,,,,,,,,,,,0,0,0,19.7969703333333,15.8911896666667,,35.68816
2000-06-01,2000,"Q2","1999/00","Q4","June",,,,,,,,,,,,,,,,,,,,,,0,0,0,18.7791003333333,16.4148296666667,,35.19393
2000-07-01,2000,"Q3","2000/01","Q1","July",,,,,,,,,,,,,,,,,,,,,,0,0,0,14.6226919311667,17.0372430688333,,31.659935
2000-08-01,2000,"Q3","2000/01","Q1","August",,,,,,,,,,,,,,,,,,,,,,0,0,0,19.4097429311667,17.2396330688333,,36.649376
2000-09-01,2000,"Q3","2000/01","Q1","September",,,,,,,,,,,,,,,,,,,,,,0,0,0,17.4770509311667,17.4482330688333,,34.925284
2000-10-01,2000,"Q4","2000/01","Q2","October",,,,,,,,,,,,,,,,,,,,,,0,0,0,17.2006529311667,17.6687430688333,,34.869396
2000-11-01,2000,"Q4","2000/01","Q2","November",,,,,,,,,,,,,,,,,,,,,,0,0,0,16.7555469311667,17.9648930688333,,34.72044
2000-12-01,2000,"Q4","2000/01","Q2","December",,,,,,,,,,,,,,,,,,,,,,0,0,0,17.0149699311667,18.3447330688333,,35.359703
2001-01-01,2001,"Q1","2000/01","Q3","January",,,,,,,,,,,,,,,,,,,,,,0,0,0,17.4162489311667,18.3438630688333,,35.760112
2001-02-01,2001,"Q1","2000/01","Q3","February",,,,,,,,,,,,,,,,,,,,,,0,0,0,17.8007839311667,18.9157130688333,,36.716497
2001-03-01,2001,"Q1","2000/01","Q3","March",,,,,,,,,,,,,,,,,,,,,,0,0,0,18.5082079311667,19.0131130688333,,37.521321
2001-04-01,2001,"Q2","2000/01","Q4","April",,,,,,,,,,,,,,,,,,,,,,0,0,0,18.4517999311667,19.3312230688333,,37.783023
2001-05-01,2001,"Q2","2000/01","Q4","May",,,,,,,,,,,,,,,,,,,,,,0,0,0,16.9618089311667,19.2958930688333,,36.257702
2001-06-01,2001,"Q2","2000/01","Q4","June",,,,,,,,,,,,,,,,,,,,,,0,0,0,21.0981289311667,20.7721330688333,,41.870262
2001-07-01,2001,"Q3","2001/02","Q1","July",,,,,,,,,,,,,,,,,,,,,,0,0,0,19.2804850166667,23.4563079166667,,42.7367929333333
2001-08-01,2001,"Q3","2001/02","Q1","August",,,,,,,,,,,,,,,,,,,,,,0,0,0,20.2208864166667,23.7373179166667,,43.9582043333333
2001-09-01,2001,"Q3","2001/02","Q1","September",,,,,,,,,,,,,,,,,,,,,,0,0,0,19.9484904166667,23.9096379166667,,43.8581283333333
2001-10-01,2001,"Q4","2001/02","Q2","October",,,,,,,,,,,,,,,,,,,,,,0,0,0,19.5975064166667,24.3012379166667,,43.8987443333333
2001-11-01,2001,"Q4","2001/02","Q2","November",,,,,,,,,,,,,,,,,,,,,,0,0,0,21.0077284166667,24.4515279166667,,45.4592563333333
2001-12-01,2001,"Q4","2001/02","Q2","December",,,,,,,,,,,,,,,,,,,,,,0,0,0,20.5480064166667,25.6171079166667,,46.1651143333333
2002-01-01,2002,"Q1","2001/02","Q3","January",,,,,,,,,,,,,,,,,,,,,,0,0,0,19.8200614166667,24.3392879166667,,44.1593493333333
2002-02-01,2002,"Q1","2001/02","Q3","February",,,,,,,,,,,,,,,,,,,,,,0,0,0,6.84428941666667,25.1233279166667,,31.9676173333333
2002-03-01,2002,"Q1","2001/02","Q3","March",,,,,,,,,,,,,,,,,,,,,,0,0,0,31.7751504166667,26.1402479166667,,57.9153983333333
2002-04-01,2002,"Q2","2001/02","Q4","April",,,,,,,,,,,,,,,,,,,,,,0,0,0,24.0146304166667,26.5301779166667,,50.5448083333333
2002-05-01,2002,"Q2","2001/02","Q4","May",,,,,,,,,,,,,,,,,,,,,,0,0,0,21.6724154166667,26.2100179166667,,47.8824333333333
2002-06-01,2002,"Q2","2001/02","Q4","June",,,,,,,,,,,,,,,,,,,,,,0,0,0,14.4690548166668,28.4350979166667,,42.9041527333334
2002-07-01,2002,"Q3","2002/03","Q1","July",,,,,,,,,,,,,,,,,,,,,,0,0,0,19.8048326266667,27.6293773333333,,47.43420996
2002-08-01,2002,"Q3","2002/03","Q1","August",,,,,,,,,,,,,,,,,,,,,,0,0,0,19.4700146666667,27.3584943333333,,46.828509
2002-09-01,2002,"Q3","2002/03","Q1","September",,,,,,,,,,,,,,,,,,,,,,0,0,0,24.1156886666667,28.0291103333333,,52.144799
2002-10-01,2002,"Q4","2002/03","Q2","October",,,,,,,,,,,,,,,,,,,,,,0,0,0,21.7651986666667,28.3925163333333,,50.157715
2002-11-01,2002,"Q4","2002/03","Q2","November",,,,,,,,,,,,,,,,,,,,,,0,0,0,21.3502538666667,28.4242011333333,,49.774455
2002-12-01,2002,"Q4","2002/03","Q2","December",,,,,,,,,,,,,,,,,,,,,,0,0,0,22.6168859666667,29.0301353333333,,51.6470213
2003-01-01,2003,"Q1","2002/03","Q3","January",,,,,,,,,,,,,,,,,,,,,,0,0,0,22.9365281666667,28.8737799333333,,51.8103081
2003-02-01,2003,"Q1","2002/03","Q3","February",,,,,,,,,,,,,,,,,,,,,,0,0,0,18.6537797096667,28.9108095333333,,47.564589243
2003-03-01,2003,"Q1","2002/03","Q3","March",,,,,,,,,,,,,,,,,,,,,,0,0,0,25.5402931666667,28.9529454333333,,54.4932386
2003-04-01,2003,"Q2","2002/03","Q4","April",,,,,,,,,,,,,,,,,,,,,,0,0,0,21.9279045666667,29.2023083333333,,51.1302129
2003-05-01,2003,"Q2","2002/03","Q4","May",,,,,,,,,,,,,,,,,,,,,,0,0,0,23.5324712266667,29.3615513333333,,52.89402256
2003-06-01,2003,"Q2","2002/03","Q4","June",,,,,,,,,,,,,,,,,,,,,,0,0,0,26.9229415666667,29.5184263333333,,56.4413679
2003-07-01,2003,"Q3","2003/04","Q1","July",,,,,,,,,,,,,,,,,,,,,,0,0,0,17.9124356666667,28.9941122333333,,46.9065479
2003-08-01,2003,"Q3","2003/04","Q1","August",,,,,,,,,,,,,,,,,,,,,,0,0,0,28.0540836666667,29.0361923333333,,57.090276
2003-09-01,2003,"Q3","2003/04","Q1","September",,,,,,,,,,,,,,,,,,,,,,0,0,0,18.9595656666667,35.0253743333333,,53.98494
2003-10-01,2003,"Q4","2003/04","Q2","October",,,,,,,,,,,,,,,,,,,,,,0,0,0,28.8651756666667,31.6173513333333,,60.482527
2003-11-01,2003,"Q4","2003/04","Q2","November",,,,,,,,,,,,,,,,,,,,,,0,0,0,20.4309466666667,31.5958973333333,,52.026844
2003-12-01,2003,"Q4","2003/04","Q2","December",,,,,,,,,,,,,,,,,,,,,,0,0,0,30.5199626666667,32.3163093333333,,62.836272
2004-01-01,2004,"Q1","2003/04","Q3","January",,,,,,,,,,,,,,,,,,,,,,0,0,0,21.2214906666667,32.0144843333333,,53.235975
2004-02-01,2004,"Q1","2003/04","Q3","February",,,,,,,,,,,,,,,,,,,,,,0,0,0,15.4757976666667,32.2213493333333,,47.697147
2004-03-01,2004,"Q1","2003/04","Q3","March",,,,,,,,,,,,,,,,,,,,,,0,0,0,28.1240881666667,32.4533103333333,,60.5773985
2004-04-01,2004,"Q2","2003/04","Q4","April",,,,,,,,,,,,,,,,,,,,,,0,0,0,27.7850846666667,35.7967403333333,,63.581825
2004-05-01,2004,"Q2","2003/04","Q4","May",,,,,,,,,,,,,,,,,,,,,,0,0,0,24.0724246666667,34.2564683333333,,58.328893
2004-06-01,2004,"Q2","2003/04","Q4","June",,,,,,,,,,,,,,,,,,,,,,0,0,0,29.3902291296664,36.7196343333333,,66.1098634629998
