"Date","Year","Quarter","FY","QFY","Month","BK_CD_BP6_USD","BK_BP6_USD","BXGS_BP6_GDP_PT","BMGS_BP6_GDP_PT","BXG_BP6_USD","BMG_BP6_USD","BXS_BP6_USD","BMS_BP6_USD","BS_BP6_USD","BG_BP6_USD","BXIP_BP6_USD","BMIP_BP6_USD","BIP_BP6_USD","BXIS_BP6_USD","BMIS_BP6_USD","BIS_BP6_USD","BXCA_BP6_USD","BMCA_BP6_USD","BCA_BP6_GDP_PT","BCA_BP6_USD","BFFA_BP6_USD","BFFL_BP6_USD","BFF_BP6_USD","BFDA_BP6_USD","BFDL_BP6_USD","BFD_BP6_USD","BFOA_BP6_USD","BFPA_BP6_USD","BFPL_BP6_USD","BFP_BP6_USD","IAFR_BP6_USD","ILFR_BP6_USD","IFR_BP6_USD","BOPFR_BP6_USD","BFFR_BP6_USD","BFOFR_BP6_USD","BFOLFR_BP6_USD","BFRAFR_BP6_USD"
2005-01-01,2005,"Q1","2004/05","Q3","January",0,0,16.056648978271,24.5158043045224,1015.8575762569,1745.5670844372,526.165348586671,608.842749751208,-82.677401164536,-729.709508180297,49.8169784299763,289.126296706973,-239.309318276997,1245.74615628683,144.825842495608,1100.92031379122,2837.58605956038,2788.36197339099,0.512556499753922,49.2240861693945,0,0,0,0,379.808340667061,-379.808340667061,-49.9800389660432,0,-13.359449824206,13.359449824206,2013.66319721982,6934.81007274817,-4921.14687552835,-447.427234660253,-398.20314849086,-124.237084918127,74.2570459520843,92.4828272701239
2006-01-01,2006,"Q1","2005/06","Q3","January",3554.91438616129,3554.91438616129,15.994641852247,27.5185168666583,1187.63915014179,2215.5760961537,547.952900039232,770.481331561373,-222.528431522143,-1027.93694601191,71.8508601063538,301.212652237449,-229.361792131095,1358.89918614819,185.49668015109,1173.4025059971,3166.34209643556,3472.76676010361,-2.82390827357992,-306.424663668051,0,0,0,0,644.262499946512,-644.262499946512,83.4825292346231,0,21.6544023680087,-21.6544023680087,2617.01608598414,4370.09516966858,-1753.07908368443,-12.574629722282,3235.91509277096,3498.87024527768,-3415.38771604306,402.961749807794
2007-01-01,2007,"Q1","2006/07","Q3","January",0,0,18.0710778525572,29.1580239537917,1776.15510860808,2958.17829556832,662.871919794278,977.237682291444,-314.365762497167,-1182.02318696024,97.0569308757252,328.74298645384,-231.686055578115,1379.62551698493,203.20734415115,1176.41817283379,3915.70947626302,4467.36630846475,-4.08729933966444,-551.656832201736,7.64400636986893,9.00258859761204,-1.35858222774312,0,792.305780891244,-792.305780891244,92.3233985344161,0,67.6702316113401,-67.6702316113401,3398.52996465546,5879.07181081959,-2480.54184616414,-26.5118812718813,-578.168713473618,-430.323751319298,522.647149853714,713.489632576008
2008-01-01,2008,"Q1","2007/08","Q3","January",0,0,17.5922790878094,30.6745301283765,2207.62874333645,4042.76553105268,832.090830042777,1257.39877227794,-425.307942235161,-1835.13678771622,130.244058738678,380.490859526061,-250.246800787384,1610.52989185846,323.677525233983,1286.85236662448,4780.49352397636,6004.33268809065,-7.08292972886146,-1223.83916411428,25.7505842699812,32.6364423388431,-6.88585806886188,0,728.860900652408,-728.860900652408,-38.6569189754204,12.0639494227989,29.6603869386291,-17.5964375158302,3084.96432915964,6959.53188517848,-3874.56755601885,87.2161298138043,-1136.62303430048,-426.209363207863,387.552444232441,42.9295251444838
2009-01-01,2009,"Q1","2008/09","Q3","January",0,0,18.0509312359199,28.1398148692744,2326.56199433952,3835.24274951461,1027.18353600285,1392.95169148435,-365.768155481499,-1508.68075517509,44.654350558817,410.586112945288,-365.93176238647,1586.1272814344,393.789493948942,1192.33778748546,4984.52716233559,6032.57004789318,-5.64090205662207,-1048.0428855576,21.1953934424332,15.0212696805061,6.17412376192716,28.8504810480626,841.57080274764,-812.720321699576,213.311339170255,-0.0123455881880986,28.716851095904,-28.7291966840921,3666.00822186022,8846.34883701378,-5180.34061515356,-257.47019131789,-1305.51307687549,-654.92214993433,868.233489104584,184.684467680586
2010-01-01,2010,"Q1","2009/10","Q3","January",0,0,17.1587776878115,30.5682010002185,2163.97407052818,4375.69095249038,1304.10356404105,1802.65672160877,-498.553157567719,-2211.71688196219,60.0111512049738,321.61416075429,-261.603009549316,1612.10359522861,250.0042500218,1362.09934520681,5140.19238100281,6749.96608487524,-7.96457058432103,-1609.77370387242,9.96969506967226,8.54392988307145,1.42576518660081,37.2143038130875,543.872727272728,-506.65842345964,107.070494648598,0.000189761002197624,-110.524169935976,110.524359696978,3572.08666500064,10160.997493764,-6588.91082876339,497.271292507789,-1112.50241136463,-672.993536799413,780.064031448012,-44.8005759891534
2011-01-01,2011,"Q1","2010/11","Q3","January",12.0446438037088,12.0446438037088,20.3651288176257,35.3416520501689,2519.12664263771,4996.71834381037,1779.35270313703,2462.86429588931,-683.511592752279,-2477.59170117267,17.1385518195087,418.570186905445,-401.431635085936,1770.43127048513,295.149769962851,1475.28150052228,6086.04916807937,8173.30259656799,-9.88888895976308,-2087.25342848861,14.6447144353366,20.1030197609663,-5.45830532562958,-11.8465695872761,894.293858,-906.140427587276,-3.14542228981461,-2.55611220903005,256.759878681986,-259.315990891017,3453.68367837218,11645.608758544,-8191.92508017182,482.863225722396,-1592.3455589625,-334.365179215755,331.21975692594,-87.0656559428237
2012-01-01,2012,"Q1","2011/12","Q3","January",21.8012669749248,21.8012669749248,20.1425191074334,31.6191006633783,2810.48087678364,5261.54501148211,2125.35597330409,2486.57831850106,-361.222345196967,-2451.06413469848,75.1496031451181,530.018201808105,-454.868598662987,1759.32249570393,147.759610035629,1611.5628856683,6770.30894893678,8425.90114182691,-6.75626006131344,-1655.59219289013,14.9457336466677,18.7372313717904,-3.79149772512272,46.3370280732152,1205.38848779374,-1159.05145972053,327.593154099023,8.91343687192243,11.9841333000372,-3.0706964281146,4325.10865671078,13701.4687635991,-9376.3601068883,545.444959132527,-1088.34596678267,-451.124482812624,778.717636911647,528.692169903712
2013-01-01,2013,"Q1","2012/13","Q3","January",79.9913915403457,79.9913915403457,19.1091203200318,28.679543947225,2828.71473959046,4974.11784571876,2103.06107589044,2427.63999918192,-324.578923291484,-2145.40310612829,-12.2954817813314,617.464918222533,-629.760400003865,1464.21483494688,207.542095912888,1256.67273903399,6383.69516864644,8226.76485903609,-7.1413303827204,-1843.06969038965,7.48383442461205,9.1597166748532,-1.67588225024116,-47.2073559525664,1096,-1143.20735595257,458.797338471591,194.26356863794,179.775791374994,14.4877772629464,5058.63422422178,15761.2931468979,-10702.6589226761,626.087160588147,-1136.99113826116,-229.976630810421,688.773969282012,223.380953489123
2014-01-01,2014,"Q1","2013/14","Q3","January",94.6684382777702,94.6684382777702,17.5511438642365,27.8172740183747,2724.7731327444,5099.61671324184,2180.52178267183,2674.91546873848,-494.393686066648,-2374.84358049744,28.0962509656348,591.747435177755,-563.65118421212,1460.32183199536,193.421107751367,1266.90072424399,6393.71299837722,8559.70072490944,-7.74990349246143,-2165.98772653222,10.0816321754102,12.6946804054349,-2.61304823002464,27.0182973519362,1058.56454034685,-1031.54624299491,-457.824969686573,147.947783491668,181.088665718316,-33.1408822266479,4848.02550986476,17008.3261018332,-12160.3005919684,324.030692978024,-1747.28859527643,-756.031827089419,298.206857402847,76.0434052645766
2015-01-01,2015,"Q1","2014/15","Q3","January",108.107085767236,108.107085767236,18.759097591004,29.0936624101894,2667.18616680386,4955.39127499701,2061.46252509193,2378.3148391166,-316.852314024667,-2288.20510819315,32.2189774378088,466.30864752865,-434.089670090841,1519.0449914407,151.164603091192,1367.88038834951,6279.9126607743,7951.17936473345,-6.63010877798917,-1671.26670395915,14.9314998780215,19.897348008127,-4.96584813010546,0.287623878637792,737.652140151428,-737.36451627279,528.16270365457,164.846615053211,-47.2245001492539,212.071115202464,5085.15373993514,18470.2399291317,-13385.0861891966,296.309088877071,-1266.85052931484,-344.608135640065,872.770839294635,-391.983144474344
