"Date","Year","Quarter","FY","QFY","Month","FDSB_SA_XDC","FIDR_PA","FID_PA","FITB_PA","FILR_PA","FISR_PA","27A__XDC","26D__XDC","22A__XDC","20N__XDC","20C__XDC","22G__XDC","22D__XDC","22C__XDC","22B__XDC","26G__XDC","24__XDC","26B__XDC","21__XDC","26C__XDC","26J__XDC","27R__XDC","20__XDC","25__XDC","FMA_XDC","FMBCC_XDC","FMBDN_XDC","FMB_XDC","FMBSC_XDC","FASAD_XDC","FASAOF_XDC","FASAOP_XDC","FASAON_XDC","FASAOS_XDC","FASAO_XDC","FASDSD_XDC","FASDSB_XDC","FASDS_XDC","FASDSO_XDC","FASDSS_XDC","FASFD_XDC","FASL_XDC","FASMBC_XDC","FASMB_XDC","FASMBLD_XDC","FASMBLO_XDC","FASAG_XDC","FASG_XDC","FASLG_XDC","FASAF_XDC","FASAFOIL_USD","FASF_XDC","FASLF_XDC","FASLFOIL_USD","FASO_XDC","FASLD_XDC","FASE_XDC","FAA_XDC","26AA_XDC","FDSB_XDC","FDSBC_XDC","FDSBO_XDC","FDSBS_XDC","FDSBT_XDC","FDSDX_XDC","FDSAD_XDC","FDSAO_XDC","FDSAOF_XDC","FDSAOP_XDC","FDSAON_XDC","FDSAOG_XDC","FDSDG_XDC","FDSADG_XDC","FDSLDG_XDC","FDSFD_XDC","FDSI_XDC","FDSL_XDC","FDSF_XDC","FDSAF_XDC","FDSLF_XDC","FDSO_XDC","FDSSX_XDC","FDSE_XDC","FFCC_XDC","FFCD_XDC","FFCAD_XDC","FFCAO_XDC","FFCAOP_XDC","FFCAON_XDC","FFCAOG_XDC","FFCDG_XDC","FFCADG_XDC","FFCLDG_XDC","FFCFD_XDC","FFCI_XDC","FFCL_XDC","FFCF_XDC","FFCAF_XDC","FFCLF_XDC","FFCO_XDC","FFCS_XDC","FFCE_XDC","17A__XDC","16D__XDC","12A__XDC","12E__XDC","12G__XDC","12D__XDC","12C__XDC","12B__XDC","11__XDC","16C__XDC","16J__XDC","17RV_XDC","17R__XDC","14N__XDC","14__XDC","14A__XDC","16B__XDC","16AC_XDC","15__XDC","37A__XDC","32AN_XDC","32G__XDC","32C__XDC","32D__XDC","32B__XDC","32__XDC","31N__XDC","36J__XDC","34__XDC","34__SA_XDC","35L__XDC","37R__XDC","35__XDC","35L__PC_CP_A_PT","36B__XDC","36AA_XDC","36AC_XDC","FOSAAC_XDC","FOSAA_XDC","FOSAAO_XDC","FOSAAR_XDC","FOSAOF_XDC","FOSAOP_XDC","FOSAON_XDC","FOSAOG_XDC","FOSAO_XDC","FOSDX_XDC","FOSFD_XDC","FOSI_XDC","FOSLA_XDC","FOSL_XDC","FOSAG_XDC","FOSG_XDC","FOSLG_XDC","FOSAF_XDC","FOSF_XDC","FOSLF_XDC","FOSD_XDC","FOSO_XDC","FOSSX_XDC","FOSS_XDC","FOSE_XDC","FOST_XDC","FODA_XDC","FFSAD_XDC","FFSAP_XDC","FFSAON_XDC","FFSAOG_XDC","FFSAO_XDC","FFSD_XDC","FFSFD_XDC","FFSI_XDC","FFSL_XDC","FFSAG_XDC","FFSG_XDC","FFSLG_XDC","FFSAF_XDC","FFSF_XDC","FFSLF_XDC","FFSO_XDC","FFSS_XDC","FFSE_XDC","FOFA_XDC"
1977-02-01,1977,"Q1","1976/77","Q3","February",,,,,,,4.792,0.478,16.514,,0,,17.842,2,0.06,0,25.278,,1.542,1.06,,1.782,12.927,17.495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.842,0.06,,,,,,,,17.495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1977-03-01,1977,"Q1","1976/77","Q3","March",,,,,,,5.001,0.392,17.427,,0,,17.952,2,0.071,0,28.219,,2.129,0.597,,1.917,13.848,17.301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.897,0,32.711,0,,0,0.828,,8.64458098433223,3.46074407118045,,0.719836913151785,0.555836913151778,,36.226,24.28,0.044,0,,6.898,49.746,,2.828,17.952,0.071,70.597,6.71583691315179,,52.499,52.1259920634375,69.8,0.570836913151778,17.301,34.8974740544615,0.044,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1977-04-01,1977,"Q2","1976/77","Q4","April",,,,,,,5.003,0.457,17.583,,0,,18.054,2,0.025,0,32.772,,2.349,0.917,,-1.356,15.467,17.685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.054,0.025,,,,,,,,17.685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1977-05-01,1977,"Q2","1976/77","Q4","May",,,,,,,5.152,0.32,18.521,,0,,17.574,3,0.067,0,31.606,,1.26,0.408,,-1.401,13.754,18.091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.574,0.067,,,,,57.49,,,18.091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1977-06-01,1977,"Q2","1976/77","Q4","June",,,,,,,5.228,0.237,18.63,,0,,18.439,3,0.039,0,34.977,,2.564,0.646,,-0.288,16.346,18.218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.44,0,40.168,0,,0,0.867,,9.73603919518881,3.56481165924718,,0.673227535941634,3.39422753594163,,41.31,25.792,0.062,0,,7.668,58.561,,3.867,18.439,0.039,80.906,8.08922753594163,,60.769,60.3482142859375,78.987,2.27822753594163,18.218,41.1238163301769,0.062,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1977-07-01,1977,"Q3","1977/78","Q1","July",,,,,,,5.503,0.227,20.173,,0,,18.712,3,0.04,0,38.396,,2.53,0.526,,-0.022,18.605,18.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.712,0.04,,,,,,,,18.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1977-08-01,1977,"Q3","1977/78","Q1","August",,,,,,,5.438,0.376,18.866,,0,,18.711,4,0.057,0,40.644,,2.649,1.028,,0.017,22.335,19.115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.711,0.057,,,,,64.86,,,19.115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1977-09-01,1977,"Q3","1977/78","Q1","September",,,,,,,5.538,0.539,18.961,,0,,19.321,4,0.051,0,42.088,,3.11,0.909,,0.565,23.91,19.714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.44,0.001,49.773,0,,0,0.962,,7.63732861700641,4.16872786597754,,0.668600751028868,3.18460075102886,,48.575,25.687,0.003,0,,7.978,68.194,,4.962,19.321,0.051,92.528,5.66960075102887,,67.775,67.5079681271875,87.489,2.72760075102887,19.714,57.3599769775891,0.003,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1977-10-01,1977,"Q4","1977/78","Q2","October",,,,,,,5.086,0.298,17.776,,0,,19.651,4,0.079,0,32.459,,3.015,1.185,,0.304,14.036,19.225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.651,0.079,,,,,,,,19.225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1977-11-01,1977,"Q4","1977/78","Q2","November",,,,,,,5.731,0.793,18.814,,0,,20.96,4,0.089,0,28.303,,2.731,1.114,,-0.497,6.301,17.451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.96,0.089,,,,,61.77,,,17.451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1977-12-01,1977,"Q4","1977/78","Q2","December",,,,,,,5.878,0.327,17.345,,0,,23.155,4,0.196,0,28.826,,2.565,0.953,,0.384,5.233,16.126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.44,0.006,38.662,0,,0,1.062,,3.75491106999595,3.66150103369535,,0.630410036300599,2.9974100363006,,34.367,28.891,0.007,0,,8.318,55.674,,5.062,23.155,0.196,84.087,1.7054100363006,,57.717,56.9270216960938,73.843,3.6244100363006,16.126,19.3866002716161,0.007,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1978-01-01,1978,"Q1","1977/78","Q3","January",,,,,,,6.085,0.089,13.776,,0,,23.775,5,0.086,0,29.336,,2.585,0.671,,0.033,8.189,17.197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.775,0.086,,,,,,,,17.197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1978-02-01,1978,"Q1","1977/78","Q3","February",,,,,,,6.116,0.145,14.643,,0,,25.302,5,0.094,0,30.385,,2.065,1.118,,-0.152,8.075,17.567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.302,0.094,,,,,,,,17.567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1978-03-01,1978,"Q1","1977/78","Q3","March",,,,,,,6.364,0.17,15.68,,0,,25.637,5,0.135,0,28.545,,1.842,0.905,,1.416,7.008,17.902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.446,0.001,39.645,0,,0,1.299,,4.12048184392922,3.76467711114033,,0.669804732788892,3.66480473278889,,35.172,28.81,0.016,0,,8.81,55.154,,6.299,25.637,0.135,87.225,1.29280473278889,,57.355,56.8592666003125,75.257,4.43480473278889,17.902,7.81805157593124,0.016,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1978-04-01,1978,"Q2","1977/78","Q4","April",,,,,,,6.52,0.148,15.914,,0,,25.952,5,0.063,0,29.526,,1.621,0.936,,-0.622,6.449,18.491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.952,0.063,,,,,,,,18.491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1978-05-01,1978,"Q2","1977/78","Q4","May",,,,,,,6.635,0.149,16.668,,0,,26.182,5,0.117,0,31.664,,1.727,0.747,,-1.069,7.866,19.434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.182,0.117,,,,,58.62,,,19.434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1978-06-01,1978,"Q2","1977/78","Q4","June",,,,,,,6.784,0.205,17.577,,0,,26.054,5,0.069,0,32.062,,1.251,0.808,,-1.089,9.225,20.406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.446,0,43.175,0,,0,1.405,,2.56412533250513,4.40075716352142,,0.0803681689837096,3.37236816898371,,36.875,28.308,0.05,0,,9.23,60.547,,6.405,26.054,0.069,93.075,-1.39363183101629,,60.37,60.3596403598438,80.776,1.62536816898371,20.406,2.26492967197134,0.05,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1978-07-01,1978,"Q3","1978/79","Q1","July",,,,,,,6.944,0.169,18.191,,0,,25.089,5,0.035,0,31.646,,1.515,0.815,,-0.728,9.93,20.914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.089,0.035,,,,,,,,20.914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1978-08-01,1978,"Q3","1978/79","Q1","August",,,,,,,6.94,0.125,18.412,,0,,24.504,5,0.063,0,32.788,,1.952,0.685,,-2.206,11.243,22.842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.504,0.063,,,,,61.91,,,22.842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1978-09-01,1978,"Q3","1978/79","Q1","September",,,,,,,6.788,0.675,18.498,,0,,24.789,5,0.229,0,33.436,,1.567,0.462,,-1.946,12.263,22.931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.446,0,48.24,0,,0,1.428,,2.92183048027197,4.14716537826308,,0.0206651020088899,4.01866510200889,,41.925,30.19,0.053,0,,9.234,66.063,,6.428,24.789,0.229,97.509,-0.120334897991111,,63.626,63.0485148515625,86.557,1.54466510200889,22.931,-1.06527677765206,0.053,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1978-10-01,1978,"Q4","1978/79","Q2","October",,,,,,,7.134,0.271,18.497,,0,,25.292,5,0.128,0,31.869,,1.63,0.656,,-2.312,10.92,23.849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.292,0.128,,,,,,,,23.849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1978-11-01,1978,"Q4","1978/79","Q2","November",,,,,,,7.351,0.724,19.437,,0,,25.56,5,0.19,0,33.591,,2.448,0.432,,-0.478,11.498,22.513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.56,0.19,,,,,69.09,,,22.513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1978-12-01,1978,"Q4","1978/79","Q2","December",,,,,,,7.293,0.708,19.731,,0,,24.978,5,0.204,0,34.453,,2.336,0.418,,1.284,14.844,22.937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.446,0.001,54.424,0,,0,1.466,,3.90902074048928,3.22172588635368,,0.0262948541356005,3.0212948541356,,51.094,35.312,0.015,0,,9.739,73.446,,6.466,24.978,0.204,105.094,2.6052948541356,,69.765,68.95256917,92.702,5.2432948541356,22.937,25.5393199084544,0.015,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979-01-01,1979,"Q1","1978/79","Q3","January",,,,,,,7.471,0.8,20.308,,0,,23.847,6,0.422,0,37.768,,1.929,0.774,,2.589,20.867,23.971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.446,0.001,53.994,0,,0,1.25,,5.49738938714712,3.21729061861696,,0.530098768530161,-1.32090123146984,,55.698,36.251,0.7,0,,9.917,73.501,,7.25,23.847,0.422,105.02,3.43509876853016,,74.019,69.5014084507042,97.99,-0.15190123146984,23.971,,0.7,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979-02-01,1979,"Q1","1978/79","Q3","February",,,,,,,7.635,1.32,18.893,,0,,23.505,6,0.28,0.078,37.244,,1.806,0.254,,0.851,20.633,23.735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.446,0,57.814,0,,0,1.25,,4.75434212978195,3.3191038396328,,0.492238290149142,-1.04576170985086,,58.286,37.068,0.813,0,,10.081,75.387,,7.25,23.505,0.28,106.422,2.98723829014914,,74.312,72.9980353634578,98.047,0.468238290149137,23.735,,0.813,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979-03-01,1979,"Q1","1978/79","Q3","March",,,,,,,7.235,0.488,17.65,,0,,23.879,6,0.158,0,38.182,,1.369,0.326,,2.102,23.503,24.226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.474,0,60.301,0,,0,1.25,,3.92569949727331,2.63432732039998,,0.103372176873325,-2.17362782312668,,61.768,39.358,0.774,0,,9.709,77.463,,7.25,23.879,0.158,108.75,2.33437217687332,,77.54,78.3232323232323,101.766,-1.16462782312667,24.226,35.2246302669519,0.774,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979-04-01,1979,"Q2","1978/79","Q4","April",,,,,,,7.505,0.995,19.781,,0,,24.222,6,0.138,0,39.62,,1.726,0.325,,4.778,26.112,24.756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.474,0,53.391,0,,0,1.25,,3.99426798171679,2.62873235943494,,0.0725356222818494,-3.04846437771815,,55.845,39.522,0.736,0,,9.979,72.177,,7.25,24.222,0.138,103.787,2.76653562228185,,79.142,82.6116910229645,103.898,-8.05946437771815,24.756,,0.736,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979-05-01,1979,"Q2","1978/79","Q4","May",,,,,,,7.259,0.401,19.623,,0,,24.506,6,0.147,0,41.004,,1.395,0.322,,0.029,23.028,25.684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.474,0.001,55.99,0,,0,1.25,,4.07358793212923,2.7343477943698,,0.0202401377594224,-7.85475986224058,,63.218,40.925,0.741,0,,9.733,75.211,,7.25,24.506,0.147,107.114,2.41224013775942,,81.929,87.2513312034079,107.613,-8.56075986224058,25.684,,0.741,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979-06-01,1979,"Q2","1978/79","Q4","June",,,,,,,7.032,1.368,18.51,,0,,23.596,6,0.056,0,41.251,,1.421,0.319,,-1.106,25.674,26.393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.681,0,62.147,0,,0,1.25,,6.53998282879687,2.73432256818918,,0.0646602606076901,-2.68733973939231,,65.413,40.965,0.796,0,,10.713,79.289,,7.25,23.596,0.056,110.191,4.90766026060769,,82.216,87.74386339381,108.609,-5.01933973939231,26.393,34.4570169357235,0.796,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979-07-01,1979,"Q3","1979/80","Q1","July",,,,,,,7.639,0.917,18.363,,0,,24.837,6,0.024,0,44.241,,1.01,0.568,,0.657,30.116,26.328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.474,0,67.379,0,,0,1.25,,6.75093243893174,4.03433467338027,,0.063597765551467,-1.70240223444854,,70.574,41.542,0,0,,10.113,84.825,,7.25,24.837,0.024,116.936,3.15859776555147,,85.783,87.6230847803881,112.111,-2.12940223444854,26.328,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979-08-01,1979,"Q3","1979/80","Q1","August",,,,,,,7.759,1.437,17.748,,0,,24.222,6,0.025,0,45.066,,1.113,0.426,,-2.805,29.895,27.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.474,0,70.882,0,,0,1.25,,7.38892582750828,4.22263905691964,,0.0252867705886359,-2.17171322941137,,74.996,45.249,0,0,,10.233,87.193,,7.25,24.222,0.025,118.69,3.85328677058864,,90.315,90.315,117.435,-5.12471322941136,27.12,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979-09-01,1979,"Q3","1979/80","Q1","September",,,,,,,8.292,1.019,20.281,,0,,25.079,6,0.018,0,46.556,,3.219,0.391,,0.809,30.301,27.831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.474,0.001,74.622,0,,0,1.25,,5.28025408676327,3.53089331303413,,0.0283607737291381,-2.39063922627087,,76.754,47.539,0.783,0,,10.766,93.883,,7.25,25.079,0.018,126.23,4.57736077372914,,94.095,91.0890609874153,121.926,-2.66763922627087,27.831,40.8620908765322,0.783,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979-10-01,1979,"Q4","1979/80","Q2","October",,,,,,,8.378,0.446,21.025,,0,,24.369,6,0.049,0,52.685,,1.114,0.311,,4.084,46.264,32.917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.474,0,70.127,0,,0,1.25,,5.41315312449711,3.53091738031472,,-0.354764255817615,-19.2887642558176,,89.277,47.471,0.797,0,,10.852,90.706,,7.25,24.369,0.049,122.374,2.68523574418239,,100.156,99.0662710187933,133.073,-19.6627642558176,32.917,,0.797,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979-11-01,1979,"Q4","1979/80","Q2","November",,,,,,,8.513,1.641,23.456,,0,,25.28,6,0.018,0,47.585,,1.737,0.866,,-1.208,32.825,31.919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.474,0,73.52,0,,0,1.25,,2.36923903181119,3.84043401419514,,-0.418194982383945,-8.73019498238395,,78.717,47.371,0.838,0,,10.987,95.335,,7.25,25.28,0.018,127.883,-0.600194982383945,,94.956,92.9119373776908,126.875,-11.417194982384,31.919,,0.838,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979-12-01,1979,"Q4","1979/80","Q2","December",,,,,,,8.571,0.557,22.641,,0,,26.453,6,0.004,0,47.214,,2.438,1.376,,0.392,31.452,30.878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.474,0.001,72.765,0,,0,1.25,,1.67356707956796,4.02905123243103,,-0.410484152863074,-15.9864841528631,,84.32,58.176,0.851,0,,11.045,94.848,,7.25,26.453,0.004,128.555,-1.29348415286307,,105.39,100.659025787966,136.268,-20.9024841528631,30.878,46.9957498220103,0.851,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980-01-01,1980,"Q1","1979/80","Q3","January",,,8,,,,9.206,0.649,20.213,,0,,39.688,7,0.029,0,52.308,,2.642,1.521,,0.495,29.239,34.632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.474,0,80.9412362944331,0,,0,1.25,,3.1811200223778,7.66983224567693,,-1.91671222329913,-6.65247592886604,,79.843,58.249,2.038,0,,11.68,100.505236294433,,8.25,39.688,0.029,148.472236294433,-3.36771222329913,,110.557,104.200754005655,145.189,-13.802475928866,34.632,48.167159914277,2.038,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980-02-01,1980,"Q1","1979/80","Q3","February",,,8,,,,9.449,0.72,19.803,,0,,39.846,8.5,0.005,0,54.528,,2.779,1.612,,2.262,31.942,34.304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.474,0,86.6231971846292,0,,0,1.25,,4.13599482516574,8.95583505938877,,-1.85884023422302,-6.51064304959383,,86.355,59.545,0.735,0,,11.923,105.706197184629,,9.75,39.846,0.005,155.307197184629,-3.65284023422302,,114.073,112.27657480315,148.377,-9.38064304959384,34.304,51.3325241975787,0.735,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980-03-01,1980,"Q1","1979/80","Q3","March",,,8,,,,9.476,0.459,24.077,,0,,41.967,8.3,0.081,0,55.34,,2.612,0.719,,3.779,26.736,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.474,0,82.7788314455463,0,,0,1.25,,4.26309781709076,7.89144085659648,,-1.66134303950572,-4.19251159395945,,81.235,59.385,0.884,0,,11.95,106.396831445546,,9.55,41.967,0.081,157.994831445546,-1.73534303950572,,114.725,115.883838383838,148.725,-5.29951159395945,34,46.1440952774011,0.884,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
