"Date","Year","Quarter","FY","QFY","Month","FS_ODX_B_XDC","FS_ODX_CR_XDC","FS_ODX_LDCDC_XDC","FS_ODX_LDCD_ODX_XDC","FS_ODX_LDCD_ODX_NRES_XDC","FS_ODX_LDCD_ODX_RES_XDC","FS_ODX_LDC_XDC","FS_ODX_LDCO_XDC","FS_ODX_LDD_XDC","FS_ODX_LDL_XDC","FS_ODX_LD_XDC","FS_ODX_LDO_XDC","FS_ODX_LF_XDC","FS_ODX_L_XDC","FS_ODX_AFC_XDC","FS_ODX_AFD_XDC","FS_ODX_AFF_XDC","FS_ODX_AFLG_ODX_XDC","FS_ODX_AFLG_ODX_NRES_XDC","FS_ODX_AFLG_ODX_RES_XDC","FS_ODX_AFLG_XDC","FS_ODX_AFLG_GG_XDC","FS_ODX_AFLG_NODX_XDC","FS_ODX_AFLG_NFC_XDC","FS_ODX_AFLG_NRES_XDC","FS_ODX_AFLG_ODS_XDC","FS_ODX_AFLG_OFM_XDC","FS_ODX_AFL_XDC","FS_ODX_AFLS_XDC","FS_ODX_AF_XDC","FS_ODX_AFO_XDC","FS_ODX_AFE_XDC","FS_ODX_A_XDC","FS_ODX_ANF_XDC","FSASDLD_XDC","FSASDLG_XDC","FSASLNF_XDC","FSASDLN_XDC","FSASDLO_XDC","FSASDLR_XDC","FSASDD_PT","FSASDG_PT","FSASNF_PT","FSASDN_PT","FSASDO_PT","FSASDR_PT","FSASDL_XDC","FSCR_PT","FSDCR_XDC","FSNCR_XDC","FSRR_PT","FSDRR_XDC","FSNRR_XDC"
2011-11-01,2011,"Q4","2011/12","Q2","November",12862206.4739735,1956538.93695541,7605133.37894582,1394171.25707864,245586.3679981,1148584.88908054,8999304.63602446,,35000,702454.13362101,10878439.1362481,1141680.36660264,27228.40077,10905667.5370181,2410370.38445642,2031058.86424363,17501.487,615523.870065,497485.14476,118038.725305,7656653.07703624,7941.51386,7041129.20697124,4268304.72463771,9160.208,2755722.76047353,,7581039.50352365,75613.5735125924,12444596.0521721,357629.581548381,46996.2314,12862206.4739705,417610.421798422,89435.811305,4692.73726,4268304.72463771,9160.208,2669535.72576853,7031968.99897124,1.27019130988893,0.0666475095408538,60.6196051680428,0.130095723721853,37.9134602888055,99.8699042762781,7041129.20697124,5.11421687285615,7041129.20842257,360098.61801675,6.63284402893351,7041129.20842257,467027.11827035
2011-12-01,2011,"Q4","2011/12","Q2","December",12982400.2117928,2001577.74960633,7520258.57035529,1383454.00577236,176648.0751734,1206805.93059896,8903712.57612765,,35000,845875.2667254,10958190.4994965,1173602.65664348,22631.96269,10980822.4621865,2561224.54568472,2074905.756953,10397.649,594065.51404,430405.3153,163660.19874,7575053.8959925,4282.14046,6980988.3819525,4376402.503561,9532.97073,2590770.7672015,,7496367.56422987,78686.3317626274,12552907.3529575,362300.469149889,47711.36794,12982400.2117919,429492.858834417,135438.11595,3599.03979,4376402.503561,9532.97073,2456015.7519215,6971455.4112225,1.94009943205377,0.0515548743685689,62.6902991971027,0.136556175263735,35.1814903212112,99.8634438247363,6980988.3819525,6.11055541228252,6980988.38134679,426577.1633672,6.19456951489113,6980988.38134679,432442.178109
2012-01-01,2012,"Q1","2011/12","Q3","January",12639018.1216224,2077787.22023808,7164160.85471153,1324638.70906056,228083.184767405,1096555.52429316,8488799.56377209,,35000,803767.63218422,10533851.1529243,1206283.95696801,27379.74846,10561230.9013843,2442933.96095568,2118837.20286181,20355.414,379039.7146374,277271.9765626,101767.7380748,7235804.72625316,5241.54763,6856765.01161576,4132764.45030594,7918.1811,2710840.83257982,,7154182.3263565,81622.3998966553,12210056.2407266,426778.152612561,46969.18394,12639018.1216174,428961.880890841,75342.8680748,4574.0895,4132764.45030594,7918.1811,2636165.42263502,6848846.83051576,1.09881070661113,0.0667091477139909,60.2728027474297,0.115479837599599,38.4461975606456,99.8845201624004,6856765.01161576,,,,,,
2012-02-01,2012,"Q1","2011/12","Q3","February",12741867.1964417,2149892.13646656,7592321.92866717,1267916.00974142,231025.0813873,1036890.92835412,8860237.93840859,,35000,550517.02273907,10568086.1543351,1122331.19318744,23888.90564,10591975.0599751,2373131.70140274,2308452.00280045,15274.994,385737.7524024,248212.4314818,137525.3209206,7272181.15576138,5371.034,6886443.40335898,4567040.2222776,7794.415,2306237.73208138,,7177292.41694696,94888.7388144153,12311164.0968384,389668.999048248,47343.98264,12741867.1964367,430703.099598303,107445.0829206,4881.42,4567040.2222776,7794.415,2199282.26316078,6878648.98835898,1.560240557095,0.0708844858525811,66.3192878351392,0.113184913364686,31.9364022085485,99.8868150866353,6886443.40335898,,,,,,
2012-03-01,2012,"Q1","2011/12","Q3","March",13462878.8575096,2186596.73985666,8027699.05039498,1087422.24720856,76392.1056599,1011030.14154866,9115121.29760354,,35000,951501.931810341,11258001.4481429,1156378.21872898,18280.66951,11276282.1176529,2519933.10527783,2328438.34860565,15088.65758,707992.7076804,508653.61647,199339.0912104,7806791.02343818,5362.801,7098798.31575778,4751654.80568046,10005.40627,2331775.30280732,,7697590.61772029,109200.405717895,13025268.9307867,417691.97460295,46526.227,13462878.8575066,437609.926719885,166552.0812104,5002.484,4751654.80568046,10005.40627,2165609.09495692,7088818.46584778,2.34619261177292,0.0704691944766847,66.9358036102804,0.140944562792979,30.506590020677,99.859055437207,7098823.87211778,,,,,,
2012-04-01,2012,"Q2","2011/12","Q4","April",13468174.2744655,2218449.90042453,7932860.43701397,1031559.62032105,128879.326004344,902680.29431671,8964420.05733502,,36523.071,906035.34199078,11230780.003931,1323801.53360516,18944.37011,11249724.374041,2602667.59936876,2335265.8107064,15256.72075,536031.65729244,313909.62203,222122.03526244,7651450.31348306,3567.402753,7115418.65619062,4599547.54181385,1494.61981,2510809.09181377,,7524752.98227867,126697.331204395,13022676.4929712,497881.164867415,46852.215,13468174.2744716,445497.781500362,190450.07826244,3227.653143,4599547.54181385,1494.61981,2320698.76316133,7113924.03638062,2.67658288942342,0.0453613947254087,64.6419805222861,0.0210053671079443,32.6150698264572,99.9789946328921,7115418.65619062,,,,,,
2012-05-01,2012,"Q2","2011/12","Q4","May",13501346.1659697,2230174.39533328,8018690.78892064,1105786.95286101,136725.951768,969061.001093006,9124477.74178165,,35478.743,782383.69155985,11252352.6488864,1310012.47254485,18819.12175,11271171.7706364,2388115.27255939,2432729.02902773,20546.67569,685182.74685126,433521.14184626,251661.605005,7817669.78579363,3654.27271,7132487.03894237,4665051.61371884,1307.865,2462473.28751353,,7684359.56834154,133310.217452088,13047715.1050375,476915.29241883,45049.267,13501346.1659665,453631.060929008,219780.417005,3328.29528,4665051.61371884,1307.865,2243018.84793853,7131179.17394237,3.08139945863245,0.0466638812216269,65.4056795091014,0.0183367315336045,31.447920419511,99.9816632684664,7132487.03894237,,,,,,
2012-06-01,2012,"Q2","2011/12","Q4","June",14411714.9459862,2240425.7037748,8568282.98854447,1164251.084552,136725.951768,1027525.132784,9732534.07309647,,34996.689,909061.643089,12152953.1444514,1476360.7392659,18336.09776,12171289.2422114,3033556.97228844,2580556.933522,19036.526,692266.862767,361266.70476,331000.158007,7909300.49296262,4586.75032,7217033.63019562,4850640.25523962,1132.50728,2360674.117356,,7771343.236622,137957.256340615,13949593.0590252,502606.150592725,42493.24,14411714.9459872,462121.88696203,300810.738007,4272.10193,4850640.25523962,1132.50728,2060178.027739,7215901.12291562,4.16806618093654,0.0591947072565353,67.2109969800451,0.0156921435873828,28.5460499881744,99.9843078564126,7217033.63019562,,,,,,
2012-07-01,2012,"Q3","2012/13","Q1","July",13713371.5738721,2267495.54498307,8017576.62869762,1189338.67345316,104249.50534871,1085089.16810445,9206915.30215078,,34709.713,905335.95396522,11423680.158049,1276719.18893301,22195.87084,11445876.028889,2603746.96228431,2644583.91527823,20162.93349,418418.8348084,154009.26937,264409.5654384,7614314.91791005,3559.8354,7195896.08310165,4896214.04198025,1096.3016,2295025.9041214,,7458466.7055281,155848.212381953,13242423.9462528,472702.513672187,42760.916,13713371.5738671,470947.627614275,232739.2904384,3239.79431,4896214.04198025,1096.3016,2062606.654773,7194799.78150165,3.23433367784381,0.0450228056740301,68.0417558207682,0.0152350949393847,28.6636526007745,99.9847649050606,7195896.08310165,,,,,,
2012-08-01,2012,"Q3","2012/13","Q1","August",14397904.4131359,2380566.62544689,8509362.83375537,1201282.75494262,79994.3613103557,1121288.39363226,9710645.58869799,,35095.018,894336.8926335,11988587.881274,1348510.38194248,28749.906415,12017337.787689,3047232.92650908,2859958.05647083,16954.029608,405959.06341525,155160.26863,250798.79478525,7645206.85077339,2509.451,7239247.78735814,4931473.68864256,1151.20168492891,2304113.44603065,,7478131.5242251,167075.326548285,13917212.8034029,471905.7225899,43030.544,14397904.413138,480691.609735115,219457.52378525,2211.353,4931459.40564156,1151.20168492891,2084968.3032464,7238096.58567321,3.03149623043001,0.0305467234297695,68.1211577569335,0.0159022279488657,28.8008970612578,99.9840977720511,7239247.78735814,,,,,,
