"Date","Year","Quarter","FY","QFY","Month","EX","EX_COF","EX_ELC","EX_GOLD","EX_COT","EX_TEA","EX_TOB","EX_FISH","EX_HISK","EX_SIM","EX_MAIZE","EX_BEANS","EX_FLO","EX_OIL","EX_COB","EX_OTH","EX_OTH_BAKW","EX_OTH_BMP","EX_OTH_BEER","EX_OTH_CPHO","EX_OTH_CEM","EX_OTH_COCB","EX_OTH_COTL","EX_OTH_CROIL","EX_OTH_EFATS","EX_OTH_FRVEG","EX_OTH_GNUTS","EX_OTH_OPUL","EX_OTH_PAPAIN","EX_OTH_PLP","EX_OTH_RICE","EX_OTH_SOAP","EX_OTH_SUGAR","EX_OTH_TEX","EX_OTH_VAN","EX_OTH_H2O","EX_OTH_OTH","EX_FORM","EX_ICBT","EX_ICBT_MAIZE","EX_ICBT_BEANS","EX_ICBT_SUGAR","EX_ICBT_OGR","EX_ICBT_BAN","EX_ICBT_OTH_AGR","EX_ICBT_FISH","EX_ICBT_IND","EX_ICBT_OTH","EX_COF_VOL","EX_COT_VOL","EX_TEA_VOL","EX_TOB_VOL","EX_BEANS_VOL","EX_SIM_VOL","EX_OPUL_VOL","EX_MAIZE_VOL","EX_SOR_VOL","EX_FISH_VOL","EX_FRVEG_VOL","EX_HISK_VOL","EX_CEM_VOL","EX_FLO_VOL","EX_COCB_VOL","EX_SUGAR_VOL","EX_RICE_VOL","EX_VAN_VOL","EX_GOLD_VOL","EX_COB_VOL","EX_EFATS_VOL","EX_SOAP_VOL","EX_PLP_VOL","EX_PEP_VOL","EX_ELC_VOL","EX_BEER_VOL"
1992-12-01,1992,"Q4","1992/93","Q2","December",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,105002,347.43,307.56,232.32,1909.97,90.91,1,1806.38,,119.01,9.62,860,,,,,,,,,,,,,26.4,
1993-01-01,1993,"Q1","1992/93","Q3","January",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,132689,27.2,1026.2,400.7,2272.7,507.7,160,6340,,191.2,35.5,654.6,,,,,,,,5,,,,,25.5,
1993-02-01,1993,"Q1","1992/93","Q3","February",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,145768,386.8,720.4,334.4,5259,1334.1,121,4684.7,,101.9,9.3,320.4,,,,,,,,50.3,,,,,19.9,
1993-03-01,1993,"Q1","1992/93","Q3","March",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,245122,461.2,878.8,511.8,6241.2,2439.4,61,5020.7,,258.6,34.1,500.5,,,,,,,,276,,,,,20.4,
1993-04-01,1993,"Q2","1992/93","Q4","April",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,247190,203.5,770.7,364.3,4396.3,1544,35,20440,,268,0.2,307,,,,,,,,20,,,,,18.4,
1993-05-01,1993,"Q2","1992/93","Q4","May",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,201190,703,883.4,143.7,2446.9,1556.6,246.4,6607.1,,288.5,33.9,443.4,,,,,,,,96,,,,,22.3,
1993-06-01,1993,"Q2","1992/93","Q4","June",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,156917,473.4,762.1,660.6,2364.5,315,134,13328.6,,219.5,,625,,,,,,,,43.5,,,,,20,
1993-07-01,1993,"Q3","1993/94","Q1","July",12.388888,5.269,0.05,0,0.478,1.268452,0.934,0.607,0.621,0.173,0.191,1.286,0,0.765436,0,0.746,,,,,,,,,,,,,,,,,,,,,,12.388888,0,0,0,0,0,0,0,0,0,0,105462,491.9,1088.8,643.2,4802.7,541.2,129.7,825.4,,356.6,33.2,533.3,,,,,,,,25.2,,,,,20.5,
1993-08-01,1993,"Q3","1993/94","Q1","August",15.8021905,9.914,0.06,0,0.394,0.9570475,0.137,0.727,0.654,0.101,0.338,1.532,0,0.346143,0,0.642,,,,,,,,,,,,,,,,,,,,,,15.8021905,0,0,0,0,0,0,0,0,0,0,188819,410.3,821.5,94.8,6102.8,328.4,360,2032.1,,414.5,27.1,547.4,,,,,,,,61.3,,,,,21.9,
1993-09-01,1993,"Q3","1993/94","Q1","September",21.757333,12.922,0.05,0,0.446,0.867925,0.65,0.576,0.506,0.11,3.06,1.015,0,0.619408,0,0.935,,,,,,,,,,,,,,,,,,,,,,21.757333,0,0,0,0,0,0,0,0,0,0,211926,456.6,745.6,,3608.7,355,568.9,11164.4,,402,,444.8,,,,,,,,54,,,,,20.3,
