"Date","Year","Quarter","FY","QFY","Month","EX_EUU","EX_AUT","EX_BEL","EX_DNK","EX_FRA","EX_DEU","EX_ITA","EX_NLD","EX_POL","EX_PRT","EX_ESP","EX_SWE","EX_GBR","EX_EUU_OTH","EX_ROE","EX_BGR","EX_NOR","EX_CHE","EX_TUR","EX_ROE_OTH","EX_AMC","EX_USA","EX_CAN","EX_MEX","EX_BRA","EX_ARG","EX_LAC_OTH","EX_MIE","EX_BHR","EX_ISR","EX_SAU","EX_ARE","EX_JOR","EX_MIE_OTH","EX_ASI","EX_IND","EX_JPN","EX_MYS","EX_CHN","EX_THA","EX_SGP","EX_PAK","EX_KOR","EX_IDN","EX_VNM","EX_TWN","EX_HKG","EX_ASI_OTH","EX_COM","EX_ETH","EX_KEN","EX_MWI","EX_NAM","EX_MUS","EX_ZMB","EX_SWZ","EX_BDI","EX_RWA","EX_MDG","EX_SDN","EX_EGY","EX_COD","EX_SSD","EX_COM_OTH","EX_ROA","EX_TZA","EX_ZAF","EX_NGA","EX_ROA_OTH","EX_UCL","EX_AUS","EX_ISL","EX_UCL_OTH","EX_F_TOT","EX_IF_BDI","EX_IF_COD","EX_IF_KEN","EX_IF_RWA","EX_IF_SSD","EX_IF_TZA","EX_IF_TOT","EX"
1998-01-01,1998,"Q1","1997/98","Q3","January",25.637,0.094,4.581,0.444,1.143,2.765,1.778,3.994,,0.508,6.35,0.021,3.923,0.0359999999999978,4.842,,0.1,2.73,,2.012,0.859,0.639,0.22,,,,0,0.673,,0.078,,0.54,0.055,,0.467,0.075,0.027,0,,,0.247,0.089,,,,,0.029,,5.405,,3.371,,,,,,,0.346,,1.236,0.318,0.134,,,0.223,0.215,0.008,,0,4.877,0.857,,4.02,42.983,,,,,,,,42.983
1998-02-01,1998,"Q1","1997/98","Q3","February",31.025,0.075,5.205,0.526,1.619,3.201,2.103,5.485,,0.601,7.359,0.013,4.838,,5.221,,0.114,2.865,,2.242,0.343,0.067,0.276,,,,0,0.573,,0.032,,0.183,0.065,0.293,1.281,0,0.21,0,,,,0.981,,,,,0.09,,9.424,,5.37,,,,0.019,,0.038,1.191,,1.591,0.371,0.844,,,0.68,0.673,0.007,,0,2.972,0.506,,2.466,51.519,,,,,,,,51.519
1998-03-01,1998,"Q1","1997/98","Q3","March",23.56,0.056,3.983,0.393,1.131,2.362,1.571,4.65,,0.549,5.499,0.016,3.35,,8.512,,0.094,6.687,,1.731,0.659,0.365,0.294,,,,0,0.504,,0.253,,0.068,0.049,0.134,1.79,0.138,0.516,0.044,,,0.2,0.69,,,,,0.192,0.01,7.45,,3.655,,,,,,,1.121,,1.094,0.369,1.211,,,0.916,0.649,0.267,,0,5.119,0.604,,4.515,48.51,,,,,,,,48.51
1998-04-01,1998,"Q2","1997/98","Q4","April",14.314,0.033,2.518,0.232,0.596,1.436,0.945,2.637,,0.265,3.245,0.016,2.391,,2.586,,0.087,1.511,,0.988,0.75,0.608,0.115,,,,0.0270000000000001,0.204,,0.014,0.016,0.016,0.029,0.129,0.491,0.011,0.244,0,,,,0.228,,,,,0.008,,6.228,,3.392,,,,0.003,,0.097,1.325,,0.645,0.174,0.593,,-0.00100000000000033,0.57,0.567,0.003,,0,3.368,0.187,,3.181,28.511,,,,,,,,28.511
1998-05-01,1998,"Q2","1997/98","Q4","May",14.264,0.036,2.523,0.291,0.645,1.654,1.042,2.313,,0.287,3.512,0.011,1.95,,2.254,,0.068,1.091,,1.095,0.19,0.042,0.124,,,,0.024,0.333,,0.106,,,0.031,0.196,1.145,0.01,0.353,0,,,0.144,0.388,,,,0.015,0.207,0.028,5.6,,2.951,,,,0,,,1.373,,0.697,0.17,0.408,,0.000999999999999446,0.549,0.516,0.005,,0.028,2.077,0.32,,1.757,26.412,,,,,,,,26.412
1998-06-01,1998,"Q2","1997/98","Q4","June",30.205,0.077,5.422,0.542,1.441,3.208,2.205,4.639,,0.619,7.583,0.01,4.459,,9.575,,0.108,7.157,,2.31,0.411,0.121,0.268,,0.022,,,0.668,,0.118,,0.025,0.067,0.458,0.907,0,0.217,0.044,,,0.17,0.274,,,,,0.2,0.002,6.552,0.018,2.526,,,,0,,,1.468,,1.558,0.368,0.562,,0.0519999999999996,0.917,0.434,0.004,,0.479,1.988,0.491,,1.497,51.223,,,,,,,,51.223
1998-07-01,1998,"Q3","1998/99","Q1","July",30.649,0.078,6.228,0.59,1.428,3.487,2.383,3.75,,0.625,7.657,,4.422,0.00100000000000122,5.36,,0.034,2.995,,2.331,0.338,0.068,0.27,,,,,0.778,,0.372,,0.025,0.068,0.313,0.468,0.02,0.121,0,,,,,,,,,0.327,,7.583,,4.57,,,,0,,,,,1.521,0.422,1.07,,0,0.027,,0,,0.027,4.9295,0.847,,4.0825,50.1325,,,,,,,,50.1325
1998-08-01,1998,"Q3","1998/99","Q1","August",29.489,0.065,5.259,0.454,1.241,3.063,1.842,6.324,,0.92,6.356,0.032,3.933,,3.239,,0.162,1.142,,1.935,0.392,0.168,0.224,,,,,0.412,,0.074,0.246,0.022,0.056,0.014,0.516,0,0.071,0.047,,,,0.203,,,,,0.195,,4.889,,1.839,,,,0,,,0.602,,1.652,0.309,0.487,,,0.745,0.664,0.081,,0,3.3045,0.401,,2.9035,42.9865,,,,,,,,42.9865
1998-09-01,1998,"Q3","1998/99","Q1","September",17.926,0.039,2.592,0.27,0.726,2.069,1.508,4.125,,0.481,3.782,0.007,2.327,,1.835,,0.098,0.586,,1.151,0.187,0.053,0.134,,,,,0.936,,0.167,0.406,0.029,0.033,0.301,0.74,0.01,0.114,,,,0.047,0.302,,,,,0.267,,6.359,0.002,3.794,,,,0.008,,,1.363,,0.84,0.184,0.142,,0.0259999999999998,0.592,0.59,0.002,,0,2.1295,0.217,,1.9125,30.7045,,,,,,,,30.7045
1998-10-01,1998,"Q4","1998/99","Q2","October",19.449,0.02,1.948,0.437,1.029,2.008,0.61,5.8,,0.613,1.916,0.034,5.034,,1.718,,0.377,0.757,,0.584,0.454,0.017,0.068,,,,0.369,0.763,,0.008,0.49,,0.017,0.248,0.549,0.002,0.008,,,,0.094,0.147,,,,,0.298,,3.927,0.023,2.129,,,,,,,1.089,,0.436,0.102,0.148,,,1.816,0.97,0.846,,0,0.2525,0.144,,0.1085,28.9285,,,,,,,,28.9285
