"Date","Year","Quarter","FY","QFY","Month","E_BWA_B","E_IFEM_B","E_BWA_S","E_IFEM_S","E_BWA_MR","E_OFF_MR","E_IFEM_MR","NEER","NEER_IX_10","NEER_IX_17","REER_IX_10","REER_IX_17","E_IFEM_PUR","E_IFEM_SAL","E_PA","E_EP"
1988-06-01,1988,"Q2","1987/88","Q4","June",,,,,,60,,11.7285708226867,3.76587526566933,2.90988215468401,,,,,60,60
1988-07-01,1988,"Q3","1988/89","Q1","July",,,,,,150,,28.2466156544624,9.06958169415231,7.0080425028554,,,,,150,150
1988-08-01,1988,"Q3","1988/89","Q1","August",,,,,,150,,27.8371107219522,8.93809555489254,6.90644350043802,,,,,150,150
1988-09-01,1988,"Q3","1988/89","Q1","September",,,,,,150,,27.7943429172255,8.92436342841081,6.89583272154172,,,,,150,150
1988-10-01,1988,"Q4","1988/89","Q2","October",,,,,,150,,28.1248275299251,9.03047728042784,6.97782662271101,,,,,150,150
1988-11-01,1988,"Q4","1988/89","Q2","November",,,,,,150,,28.7680636717653,9.23701114658781,7.13741481113444,,,,,150,150
1988-12-01,1988,"Q4","1988/89","Q2","December",,,,,,165,,31.3826965298756,10.0765321213103,7.7861105141223,,,,,165,165
1989-01-01,1989,"Q1","1988/89","Q3","January",,,,,,165,,30.9216408236697,9.92849377065824,7.67172166043445,,,,,165,165
1989-02-01,1989,"Q1","1988/89","Q3","February",,,,,,165,,30.6046416648883,9.82670990377964,7.59307352767104,,,,,165,165
1989-03-01,1989,"Q1","1988/89","Q3","March",,,,,,200,,35.0029308374427,11.2389372464449,8.68429797162458,,,,,200,200
1989-04-01,1989,"Q2","1988/89","Q4","April",,,,,,200,,36.2798256513697,11.6489297910887,9.00109815884496,,,,,200,200
1989-05-01,1989,"Q2","1988/89","Q4","May",,,,,,200,,34.9679624116646,11.2277093882763,8.67562223442798,,,,,200,200
1989-06-01,1989,"Q2","1988/89","Q4","June",,,,,,200,,34.0495442807012,10.9328185464827,8.44776083765328,,,,,200,200
1989-07-01,1989,"Q3","1989/90","Q1","July",,,,,,200,,34.8811538534348,11.199836409784,8.65408485546804,,,,,200,200
1989-08-01,1989,"Q3","1989/90","Q1","August",,,,,,200,,34.4855019096304,11.0727982657925,8.55592280758107,,,,,200,200
1989-09-01,1989,"Q3","1989/90","Q1","September",,,,,,200,,33.9064704831194,10.8868796095377,8.41226393895348,27.3533038494201,24.8527147480553,,,200,200
1989-10-01,1989,"Q4","1989/90","Q2","October",,,,,,340,,41.3637269845349,13.2812973295647,10.2624243672297,32.0674285067166,29.1358827353493,,,340,340
1989-11-01,1989,"Q4","1989/90","Q2","November",,,,,,340,,59.8171931360329,19.2064396846222,14.8407666612833,44.9967143870756,40.8831969043993,,,340,370
1989-12-01,1989,"Q4","1989/90","Q2","December",,,,,,370,,65.1198205444762,20.9090370174439,16.1563592515519,48.246643910253,43.8360238036816,,,370,370
1990-01-01,1990,"Q1","1989/90","Q3","January",,,,,,375,,66.5897261756415,21.3810025572321,16.5210458130999,45.6285235840425,41.4572472580185,,,375,375
1990-02-01,1990,"Q1","1989/90","Q3","February",,,,,,379,,67.5938358075658,21.7034077065082,16.7701674446657,46.6500386143043,42.3853772491049,,,379,379
1990-03-01,1990,"Q1","1989/90","Q3","March",,,,,,379,,66.0337716860752,21.2024935732521,16.3831123792261,46.1839554178082,41.961902527545,,,379,379
1990-04-01,1990,"Q2","1989/90","Q4","April",,,,,,379,,65.692437395328,21.0928960457884,16.2984266509781,46.3391429891327,42.1029031344114,,,379,379
