"dsid","ok","rows","cols","file","error"
"BOU_CPI",TRUE,252,39,"data/raw/mofped_bulk/datasets/BOU_CPI.csv",""
"BOU_BTI",TRUE,168,54,"data/raw/mofped_bulk/datasets/BOU_BTI.csv",""
"IMF_IFS",TRUE,787,355,"data/raw/mofped_bulk/datasets/IMF_IFS.csv",""
"IMF_IFS_Q",TRUE,262,519,"data/raw/mofped_bulk/datasets/IMF_IFS_Q.csv",""
"IMF_BOP",TRUE,105,1564,"data/raw/mofped_bulk/datasets/IMF_BOP.csv",""
"IMF_BOPAGG",TRUE,14,44,"data/raw/mofped_bulk/datasets/IMF_BOPAGG.csv",""
"IMF_PCTOT",TRUE,543,12,"data/raw/mofped_bulk/datasets/IMF_PCTOT.csv",""
"IMF_ED",TRUE,53,9,"data/raw/mofped_bulk/datasets/IMF_ED.csv",""
"IMF_PCPS",TRUE,426,198,"data/raw/mofped_bulk/datasets/IMF_PCPS.csv",""
"IMF_CPI",TRUE,186,19,"data/raw/mofped_bulk/datasets/IMF_CPI.csv",""
"IMF_GFSMAB",TRUE,26,64,"data/raw/mofped_bulk/datasets/IMF_GFSMAB.csv",""
"IMF_GFSR",TRUE,26,170,"data/raw/mofped_bulk/datasets/IMF_GFSR.csv",""
"IMF_GFSE",TRUE,25,98,"data/raw/mofped_bulk/datasets/IMF_GFSE.csv",""
"IMF_FM",TRUE,33,11,"data/raw/mofped_bulk/datasets/IMF_FM.csv",""
"IMF_PGCS",TRUE,58,21,"data/raw/mofped_bulk/datasets/IMF_PGCS.csv",""
"IMF_WRLD",TRUE,29,17,"data/raw/mofped_bulk/datasets/IMF_WRLD.csv",""
"IMF_FAS",TRUE,21,126,"data/raw/mofped_bulk/datasets/IMF_FAS.csv",""
"IMF_FDI",TRUE,42,15,"data/raw/mofped_bulk/datasets/IMF_FDI.csv",""
"IMF_FSI",TRUE,126,59,"data/raw/mofped_bulk/datasets/IMF_FSI.csv",""
"IMF_MFS",TRUE,722,191,"data/raw/mofped_bulk/datasets/IMF_MFS.csv",""
"WB_WDI",TRUE,66,1281,"data/raw/mofped_bulk/datasets/WB_WDI.csv",""
"WB_GEM",TRUE,471,35,"data/raw/mofped_bulk/datasets/WB_GEM.csv",""
"WB_HEA",TRUE,66,450,"data/raw/mofped_bulk/datasets/WB_HEA.csv",""
"WB_GFD",TRUE,62,89,"data/raw/mofped_bulk/datasets/WB_GFD.csv",""
"ILO_EMP_T",TRUE,34,30,"data/raw/mofped_bulk/datasets/ILO_EMP_T.csv",""
"ILO_EMP_S",TRUE,34,30,"data/raw/mofped_bulk/datasets/ILO_EMP_S.csv",""
