date,var,value,source_file
2008-07-01,activity_indicator,2008.0,UBOS_GDP_KP.csv
2008-10-01,activity_indicator,2008.0,UBOS_GDP_KP.csv
2009-01-01,activity_indicator,2009.0,UBOS_GDP_KP.csv
2009-04-01,activity_indicator,2009.0,UBOS_GDP_KP.csv
2009-07-01,activity_indicator,2009.0,UBOS_GDP_KP.csv
2009-10-01,activity_indicator,2009.0,UBOS_GDP_KP.csv
2010-01-01,activity_indicator,2010.0,UBOS_GDP_KP.csv
2010-04-01,activity_indicator,2010.0,UBOS_GDP_KP.csv
2010-07-01,activity_indicator,2010.0,UBOS_GDP_KP.csv
2010-10-01,activity_indicator,2010.0,UBOS_GDP_KP.csv
2011-01-01,activity_indicator,2011.0,UBOS_GDP_KP.csv
2011-04-01,activity_indicator,2011.0,UBOS_GDP_KP.csv
2011-07-01,activity_indicator,2011.0,UBOS_GDP_KP.csv
2011-10-01,activity_indicator,2011.0,UBOS_GDP_KP.csv
2012-01-01,activity_indicator,2012.0,UBOS_GDP_KP.csv
2012-04-01,activity_indicator,2012.0,UBOS_GDP_KP.csv
2012-07-01,activity_indicator,2012.0,UBOS_GDP_KP.csv
2012-10-01,activity_indicator,2012.0,UBOS_GDP_KP.csv
2013-01-01,activity_indicator,2013.0,UBOS_GDP_KP.csv
2013-04-01,activity_indicator,2013.0,UBOS_GDP_KP.csv
2013-07-01,activity_indicator,2013.0,UBOS_GDP_KP.csv
2013-10-01,activity_indicator,2013.0,UBOS_GDP_KP.csv
2014-01-01,activity_indicator,2014.0,UBOS_GDP_KP.csv
2014-04-01,activity_indicator,2014.0,UBOS_GDP_KP.csv
2014-07-01,activity_indicator,2014.0,UBOS_GDP_KP.csv
2014-10-01,activity_indicator,2014.0,UBOS_GDP_KP.csv
2015-01-01,activity_indicator,2015.0,UBOS_GDP_KP.csv
2015-04-01,activity_indicator,2015.0,UBOS_GDP_KP.csv
2015-07-01,activity_indicator,2015.0,UBOS_GDP_KP.csv
2015-10-01,activity_indicator,2015.0,UBOS_GDP_KP.csv
2016-01-01,activity_indicator,2016.0,UBOS_GDP_KP.csv
2016-04-01,activity_indicator,2016.0,UBOS_GDP_KP.csv
2016-07-01,activity_indicator,2016.0,UBOS_GDP_KP.csv
2016-10-01,activity_indicator,2016.0,UBOS_GDP_KP.csv
2017-01-01,activity_indicator,2017.0,UBOS_GDP_KP.csv
2017-04-01,activity_indicator,2017.0,UBOS_GDP_KP.csv
2017-07-01,activity_indicator,2017.0,UBOS_GDP_KP.csv
2017-10-01,activity_indicator,2017.0,UBOS_GDP_KP.csv
2018-01-01,activity_indicator,2018.0,UBOS_GDP_KP.csv
2018-04-01,activity_indicator,2018.0,UBOS_GDP_KP.csv
2018-07-01,activity_indicator,2018.0,UBOS_GDP_KP.csv
2018-10-01,activity_indicator,2018.0,UBOS_GDP_KP.csv
2019-01-01,activity_indicator,2019.0,UBOS_GDP_KP.csv
2019-04-01,activity_indicator,2019.0,UBOS_GDP_KP.csv
2019-07-01,activity_indicator,2019.0,UBOS_GDP_KP.csv
2019-10-01,activity_indicator,2019.0,UBOS_GDP_KP.csv
2020-01-01,activity_indicator,2020.0,UBOS_GDP_KP.csv
2020-04-01,activity_indicator,2020.0,UBOS_GDP_KP.csv
2020-07-01,activity_indicator,2020.0,UBOS_GDP_KP.csv
2020-10-01,activity_indicator,2020.0,UBOS_GDP_KP.csv
2021-01-01,activity_indicator,2021.0,UBOS_GDP_KP.csv
2021-04-01,activity_indicator,2021.0,UBOS_GDP_KP.csv
2021-07-01,activity_indicator,2021.0,UBOS_GDP_KP.csv
2021-10-01,activity_indicator,2021.0,UBOS_GDP_KP.csv
2022-01-01,activity_indicator,2022.0,UBOS_GDP_KP.csv
2022-04-01,activity_indicator,2022.0,UBOS_GDP_KP.csv
2022-07-01,activity_indicator,2022.0,UBOS_GDP_KP.csv
2022-10-01,activity_indicator,2022.0,UBOS_GDP_KP.csv
2023-01-01,activity_indicator,2023.0,UBOS_GDP_KP.csv
2023-04-01,activity_indicator,2023.0,UBOS_GDP_KP.csv
2023-07-01,activity_indicator,2023.0,UBOS_GDP_KP.csv
2023-10-01,activity_indicator,2023.0,UBOS_GDP_KP.csv
2024-01-01,activity_indicator,2024.0,UBOS_GDP_KP.csv
2024-04-01,activity_indicator,2024.0,UBOS_GDP_KP.csv
2024-07-01,activity_indicator,2024.0,UBOS_GDP_KP.csv
2024-10-01,activity_indicator,2024.0,UBOS_GDP_KP.csv
2025-01-01,activity_indicator,2025.0,UBOS_GDP_KP.csv
2025-04-01,activity_indicator,2025.0,UBOS_GDP_KP.csv
2025-07-01,activity_indicator,2025.0,UBOS_GDP_KP.csv
2025-10-01,activity_indicator,2025.0,UBOS_GDP_KP.csv
2026-01-01,activity_indicator,2026.0,UBOS_GDP_KP.csv
1985-07-01,central_bank_rate,1985.0,BOU_MMI_FY.csv
1986-01-01,central_bank_rate,1986.0,BOU_MMI_CY.csv
1986-07-01,central_bank_rate,1986.0,BOU_MMI_FY.csv
1987-01-01,central_bank_rate,1987.0,BOU_MMI_CY.csv
1987-07-01,central_bank_rate,1987.0,BOU_MMI_FY.csv
1988-01-01,central_bank_rate,1988.0,BOU_MMI_CY.csv
1988-07-01,central_bank_rate,1988.0,BOU_MMI_FY.csv
1989-01-01,central_bank_rate,1989.0,BOU_MMI_CY.csv
1989-07-01,central_bank_rate,1989.0,BOU_MMI_FY.csv
1990-01-01,central_bank_rate,1990.0,BOU_MMI_CY.csv
1990-07-01,central_bank_rate,1990.0,BOU_MMI_FY.csv
1991-01-01,central_bank_rate,1991.0,BOU_MMI_CY.csv
1991-07-01,central_bank_rate,1991.0,BOU_MMI_FY.csv
